,0
0,LINC00115
1,FAM41C
2,NOC2L
3,KLHL17
4,PLEKHN1
5,AL645608.7
6,HES4
7,ISG15
8,AGRN
9,TNFRSF4
10,B3GALT6
11,C1QTNF12
12,PUSL1
13,DVL1
14,MXRA8
15,CCNL2
16,ANKRD65
17,ATAD3C
18,FNDC10
19,FO704657.1
20,GNB1
21,AL109917.1
22,FAAP20
23,MORN1
24,AL139246.3
25,LRRC47
26,RNF207
27,GPR153
28,ACOT7
29,TNFRSF25
30,PLEKHG5
31,NOL9
32,THAP3
33,VAMP3
34,Z98884.1
35,PARK7
36,ERRFI1
37,SLC45A1
38,RERE
39,ENO1-AS1
40,CA6
41,GPR157
42,SPSB1
43,PIK3CD
44,PIK3CD-AS1
45,CLSTN1
46,CTNNBIP1
47,CENPS
48,DFFA
49,AL139423.1
50,TARDBP
51,MTOR
52,FBXO2
53,DRAXIN
54,AGTRAP
55,FHAD1
56,EFHD2
57,CASP9
58,SLC25A34
59,SZRD1
60,NECAP2
61,ALDH4A1
62,EMC1
63,CAPZB
64,HTR6
65,UBXN10
66,HP1BP3
67,EIF4G3
68,LINC01635
69,C1QA
70,C1QC
71,C1QB
72,ELOA
73,ELOA-AS1
74,PITHD1
75,HMGCL
76,CNR2
77,NIPAL3
78,SELENON
79,AL020996.1
80,MTFR1L
81,STMN1
82,SH3BGRL3
83,CD52
84,CRYBG2
85,ZNF683
86,PIGV
87,ZDHHC18
88,KDF1
89,WDTC1
90,MAP3K6
91,WASF2
92,BX293535.1
93,AHDC1
94,RPA2
95,XKR8
96,PTAFR
97,ATP5IF1
98,AL353622.1
99,SESN2
100,RCC1
101,LINC01715
102,MECR
103,MATN1
104,SNRNP40
105,PEF1
106,ADGRB2
107,SPOCD1
108,KHDRBS1
109,TMEM39B
110,IQCC
111,FAM167B
112,LCK
113,HDAC1
114,MARCKSL1
115,FAM229A
116,BSDC1
117,ZBTB8OS
118,RBBP4
119,SYNC
120,S100PBP
121,RNF19B
122,AZIN2
123,ZSCAN20
124,ZMYM1
125,ZMYM4
126,TFAP2E
127,AGO3
128,COL8A2
129,EVA1B
130,CSF3R
131,ZC3H12A
132,SNIP1
133,C1orf122
134,SF3A3
135,FHL3
136,AL139260.1
137,MYCBP
138,AKIRIN1
139,MACF1
140,HPCAL4
141,OXCT2
142,AL033527.3
143,MFSD2A
144,PPT1
145,COL9A2
146,ZFP69B
147,ZFP69
148,AL603839.3
149,EXO5
150,RIMS3
151,CTPS1
152,ZMYND12
153,ERMAP
154,AL512353.1
155,SLC2A1-AS1
156,TIE1
157,AL139289.1
158,SZT2
159,HYI
160,KDM4A
161,KDM4A-AS1
162,DPH2
163,ATP6V0B
164,ARMH1
165,PLK3
166,PTCH2
167,TOE1
168,TESK2
169,AKR1A1
170,NASP
171,LRRC41
172,MKNK1
173,MOB3C
174,PDZK1IP1
175,CMPK1
176,SPATA6
177,BEND5
178,OSBPL9
179,ORC1
180,TUT4
181,COA7
182,ZYG11B
183,ECHDC2
184,SCP2
185,PODN
186,SLC1A7
187,AL606760.3
188,LRP8
189,LINC01771
190,LRRC42
191,CYB5RL
192,AL161644.1
193,TTC4
194,PARS2
195,USP24
196,PLPP3
197,DAB1
198,MYSM1
199,JUN
200,LINC01135
201,CYP2J2
202,NFIA
203,PATJ
204,L1TD1
205,DOCK7
206,ALG6
207,ITGB3BP
208,PGM1
209,RAVER2
210,JAK1
211,AK4
212,DNAJC6
213,LEPROT
214,AL513493.1
215,MIER1
216,IL23R
217,GADD45A
218,WLS
219,LRRC7
220,LRRC40
221,SRSF11
222,HHLA3
223,LRRIQ3
224,FPGT
225,ERICH3
226,MIGA1
227,NEXN
228,FUBP1
229,DNAJB4
230,AC103591.3
231,IFI44L
232,LINC01781
233,PRKACB
234,GNG5
235,CTBS
236,SSX2IP
237,MCOLN3
238,SYDE2
239,AL078459.1
240,PKN2
241,RBMXL1
242,GBP1
243,GBP2
244,AC099063.4
245,GBP5
246,LRRC8D
247,ZNF644
248,TGFBR3
249,EPHX4
250,TMED5
251,DR1
252,BCAR3
253,DNTTIP2
254,GCLM
255,CNN3
256,FRRS1
257,SLC35A3
258,SASS6
259,RTCA-AS1
260,AMY2B
261,VAV3
262,AL359258.2
263,FAM102B
264,HENMT1
265,AKNAD1
266,WDR47
267,TAF13
268,AL356488.2
269,CELSR2
270,SORT1
271,AMIGO1
272,AMPD2
273,GSTM2
274,GSTM1
275,GSTM3
276,AL160006.1
277,LINC02586
278,KCNC4
279,AL355488.1
280,AL365361.1
281,AL360270.1
282,LRIF1
283,DRAM2
284,AL355816.2
285,OVGP1
286,WDR77
287,C1orf162
288,TMIGD3
289,INKA2
290,MOV10
291,RHOC
292,PPM1J
293,LRIG2
294,MAGI3
295,RSBN1
296,BCL2L15
297,HIPK1
298,CSDE1
299,TSPAN2
300,SLC22A15
301,ATP1A1
302,CD2
303,PTGFRN
304,TENT5C
305,PHGDH
306,REG4
307,NOTCH2
308,NBPF26
309,FAM72B
310,AC246785.3
311,AC245014.3
312,GPR89A
313,CD160
314,POLR3C
315,PIAS3
316,PEX11B
317,LIX1L
318,ANKRD34A
319,AC243547.2
320,POLR3GL
321,NBPF10
322,FMO5
323,BCL9
324,NBPF14
325,PDE4DIP
326,SV2A
327,VPS45
328,APH1A
329,TARS2
330,ECM1
331,FALEC
332,ADAMTSL4
333,CTSS
334,ARNT
335,MINDY1
336,CDC42SE1
337,GABPB2
338,AL391069.1
339,SELENBP1
340,PSMB4
341,TUFT1
342,SNX27
343,OAZ3
344,AL589765.4
345,RORC
346,C2CD4D
347,THEM4
348,S100A11
349,S100A9
350,S100A12
351,S100A8
352,S100A6
353,S100A5
354,S100A4
355,AL162258.2
356,INTS3
357,AL358472.5
358,CRTC2
359,SLC39A1
360,AL358472.2
361,RAB13
362,TPM3
363,C1orf43
364,UBAP2L
365,HAX1
