,0
0,HES4
1,ISG15
2,TTLL10
3,TNFRSF18
4,TNFRSF4
5,PUSL1
6,ANKRD65
7,VWA1
8,ATAD3A
9,SSU72
10,NADK
11,PEX10
12,PRDM16
13,MEGF6
14,SMIM1
15,KCNAB2
16,RPL22
17,ACOT7
18,TNFRSF25
19,UTS2
20,TNFRSF9
21,PARK7
22,ENO1
23,SLC2A5
24,H6PD
25,SPSB1
26,CTNNBIP1
27,NMNAT1
28,RBP7
29,PGD
30,CENPS
31,AGTRAP
32,MIIP
33,TNFRSF1B
34,EFHD2
35,DDI2
36,EPHA2
37,SPATA21
38,NECAP2
39,ATP13A2
40,PADI2
41,ARHGEF10L
42,CAPZB
43,CDA
44,USP48
45,HSPG2
46,CDC42
47,C1QA
48,C1QC
49,C1QB
50,KDM1A
51,RPL11
52,GALE
53,FUCA1
54,CNR2
55,NIPAL3
56,RCAN3
57,CLIC4
58,RUNX3
59,LDLRAP1
60,STMN1
61,PAFAH2
62,ZNF593
63,SH3BGRL3
64,UBXN11
65,CD52
66,ZNF683
67,HMGN2
68,ZDHHC18
69,SYTL1
70,FCN3
71,FGR
72,IFI6
73,THEMIS2
74,SMPDL3B
75,PTAFR
76,ATP5IF1
77,EPB41
78,MECR
79,LAPTM5
80,PTP4A2
81,KHDRBS1
82,CCDC28B
83,LCK
84,MARCKSL1
85,ZBTB8A
86,RBBP4
87,S100PBP
88,PSMB2
89,CLSPN
90,SH3D21
91,EVA1B
92,CSF3R
93,FHL3
94,MYCBP
95,NDUFS5
96,MACF1
97,PABPC4
98,TRIT1
99,MYCL
100,CAP1
101,PPT1
102,COL9A2
103,SMAP2
104,YBX1
105,EBNA1BP2
106,TIE1
107,CDC20
108,HYI
109,ATP6V0B
110,ARMH1
111,RPS8
112,PTCH2
113,UROD
114,HPDL
115,PRDX1
116,AKR1A1
117,NASP
118,RAD54L
119,UQCRH
120,FAAH
121,TAL1
122,CMPK1
123,BEND5
124,RNF11
125,ORC1
126,TUT4
127,GPX7
128,COA7
129,ZYG11B
130,MRPL37
131,SSBP3
132,TTC4
133,TACSTD2
134,JUN
135,NFIA
136,ATG4C
137,ROR1
138,RAVER2
139,JAK1
140,AK4
141,DNAJC6
142,LEPROT
143,AL513493.1
144,PDE4B
145,TCTEX1D1
146,IL23R
147,IL12RB2
148,GADD45A
149,NEGR1
150,PIGK
151,NEXN
152,AC103591.3
153,IFI44L
154,ADGRL4
155,LINC01781
156,ADGRL2
157,SAMD13
158,GNG5
159,MCOLN2
160,COL24A1
161,LMO4
162,GBP1
163,GBP2
164,GBP4
165,GBP5
166,CDC7
167,TGFBR3
168,RPL5
169,CCDC18
170,FNBP1L
171,DPYD
172,CDC14A
173,DPH5
174,AC093157.1
175,S1PR1
176,VAV3
177,GPSM2
178,GSTM1
179,GSTM5
180,GSTM3
181,CSF1
182,AHCYL1
183,KCNA3
184,CD53
185,DENND2D
186,ATP5PB
187,C1orf162
188,RAP1A
189,CTTNBP2NL
190,RHOC
191,PPM1J
192,MAGI3
193,PHTF1
194,PTPN22
195,BCAS2
196,CSDE1
197,TSPAN2
198,CD58
199,CD2
200,TENT5C
201,PHGDH
202,NOTCH2
203,NBPF26
204,FCGR1B
205,AC245014.3
206,CD160
207,ANKRD34A
208,TXNIP
209,NBPF10
210,NBPF19
211,FCGR1A
212,MTMR11
213,PLEKHO1
214,ANP32E
215,APH1A
216,C1orf54
217,TARS2
218,MCL1
219,GOLPH3L
220,CTSS
221,AL391069.2
222,PSMB4
223,TUFT1
224,SNX27
225,RORC
226,THEM4
227,S100A10
228,S100A11
229,S100A9
230,S100A12
231,S100A8
232,S100A6
233,S100A4
234,S100A13
235,ILF2
236,AL358472.2
237,RAB13
238,RPS27
239,TPM3
240,ATP8B2
241,IL6R
242,PMVK
243,AL451085.1
244,PBXIP1
245,CKS1B
246,KRTCAP2
247,THBS3
248,KHDC4
249,UBQLN4
250,LAMTOR2
251,LMNA
252,SEMA4A
253,PMF1
254,GLMP
255,TTC24
256,HDGF
257,SH2D2A
258,NTRK1
259,ETV3
260,FCRL5
261,FCRL3
262,FCRL2
263,FCRL1
264,CD1D
265,CD1A
266,CD1C
267,CD1E
268,SPTA1
269,MNDA
270,PYHIN1
271,AIM2
272,ACKR1
273,FCER1A
274,DUSP23
275,FCRL6
276,SLAMF8
277,TAGLN2
278,PIGM
279,PEA15
280,SLAMF6
281,CD84
282,SLAMF1
283,CD48
284,SLAMF7
285,LY9
286,CD244
287,F11R
288,TSTD1
289,ARHGAP30
290,PFDN2
291,FCER1G
292,FCGR2A
293,FCGR3A
294,FCGR3B
295,FCGR2B
296,FCRLA
297,SH2D1B
298,UAP1
299,NUF2
300,PBX1
301,UCK2
302,GPA33
303,CD247
304,CREG1
305,RCSD1
306,SFT2D2
307,TBX19
308,XCL2
309,XCL1
310,ATP1B1
311,F5
312,SELL
313,TNFSF18
314,PRDX6
315,CACYBP
316,MRPS14
317,RALGPS2
318,TOR3A
319,TOR1AIP2
320,IER5
321,GLUL
322,RGS16
323,NCF2
324,ARPC5
325,C1orf21
326,TRMT1L
327,SWT1
328,TPR
329,RGS18
330,RGS1
331,RGS2
332,B3GALT2
333,ASPM
334,DENND1B
335,PTPRC
336,MIR181A1HG
337,GPR25
338,KIF21B
