,0
0,HES4
1,ISG15
2,TTLL10
3,TNFRSF18
4,TNFRSF4
5,PUSL1
6,ANKRD65
7,SSU72
8,SMIM1
9,RPL22
10,ACOT7
11,TNFRSF25
12,UTS2
13,PARK7
14,RERE
15,ENO1
16,SLC2A5
17,H6PD
18,SPSB1
19,CTNNBIP1
20,RBP7
21,PGD
22,CENPS
23,SRM
24,AGTRAP
25,MIIP
26,TNFRSF1B
27,EFHD2
28,EPHA2
29,SPATA21
30,NECAP2
31,BX284668.5
32,ATP13A2
33,ARHGEF10L
34,IFFO2
35,CAPZB
36,CDA
37,HSPG2
38,CDC42
39,C1QA
40,C1QC
41,C1QB
42,RPL11
43,PITHD1
44,GALE
45,FUCA1
46,CNR2
47,RCAN3
48,CLIC4
49,RUNX3
50,LDLRAP1
51,STMN1
52,PAFAH2
53,ZNF593
54,SH3BGRL3
55,CD52
56,ZNF683
57,HMGN2
58,ZDHHC18
59,FGR
60,IFI6
61,FAM76A
62,THEMIS2
63,SMPDL3B
64,PTAFR
65,ATP5IF1
66,EPB41
67,LAPTM5
68,KHDRBS1
69,CCDC28B
70,LCK
71,MARCKSL1
72,ZBTB8A
73,S100PBP
74,PSMB2
75,CLSPN
76,SH3D21
77,EVA1B
78,CSF3R
79,YRDC
80,FHL3
81,MYCBP
82,NDUFS5
83,MACF1
84,HPCAL4
85,TRIT1
86,MYCL
87,CAP1
88,PPT1
89,COL9A2
90,SMAP2
91,EXO5
92,YBX1
93,EBNA1BP2
94,TIE1
95,CDC20
96,ATP6V0B
97,CCDC24
98,ARMH1
99,RPS8
100,PTCH2
101,HECTD3
102,UROD
103,HPDL
104,MMACHC
105,PRDX1
106,NASP
107,RAD54L
108,UQCRH
109,FAAH
110,PDZK1IP1
111,TAL1
112,CMPK1
113,SPATA6
114,BEND5
115,FAF1
116,RNF11
117,ZFYVE9
118,TUT4
119,GPX7
120,ZYG11B
121,TMEM59
122,MRPL37
123,TACSTD2
124,JUN
125,NFIA
126,ATG4C
127,ROR1
128,RAVER2
129,JAK1
130,AK4
131,DNAJC6
132,LEPROT
133,AL513493.1
134,PDE4B
135,TCTEX1D1
136,IL12RB2
137,GADD45A
138,NEGR1
139,LRRIQ3
140,ACADM
141,PIGK
142,NEXN
143,AC103591.3
144,IFI44L
145,LINC01781
146,PRKACB
147,SAMD13
148,GNG5
149,MCOLN2
150,COL24A1
151,LMO4
152,GBP1
153,GBP2
154,GBP5
155,CDC7
156,TGFBR3
157,RPL5
158,FNBP1L
159,DPYD
160,AC104506.1
161,AC093157.1
162,S1PR1
163,VAV3
164,GPSM2
165,PSMA5
166,GSTM1
167,GSTM3
168,CSF1
169,KCNA3
170,DENND2D
171,CHI3L2
172,ATP5PB
173,C1orf162
174,RAP1A
175,CTTNBP2NL
176,RHOC
177,PPM1J
178,PHTF1
179,PTPN22
180,BCAS2
181,TSPAN2
182,ATP1A1
183,CD2
184,TENT5C
185,PHGDH
186,NOTCH2
187,NBPF26
188,FCGR1B
189,AC245014.3
190,NBPF20
191,CD160
192,ANKRD34A
193,TXNIP
194,NBPF10
195,FCGR1A
196,SV2A
197,MTMR11
198,ANP32E
199,C1orf54
200,MCL1
201,CTSS
202,CERS2
203,AL391069.2
204,TUFT1
205,SNX27
206,RORC
207,C2CD4D
208,THEM4
209,S100A10
210,S100A11
211,S100A9
212,S100A12
213,S100A8
214,S100A6
215,S100A4
216,S100A13
217,ILF2
218,INTS3
219,CREB3L4
220,AL358472.2
221,RAB13
222,RPS27
223,TPM3
224,ATP8B2
225,IL6R
226,PMVK
227,AL451085.1
228,PBXIP1
229,THBS3
230,KHDC4
231,UBQLN4
232,LAMTOR2
233,LMNA
234,SEMA4A
235,PMF1
236,TTC24
237,HDGF
238,SH2D2A
239,NTRK1
240,ETV3
241,FCRL5
242,FCRL3
243,FCRL2
244,FCRL1
245,CD1D
246,CD1C
247,CD1E
248,SPTA1
249,MNDA
250,PYHIN1
251,AIM2
252,FCER1A
253,DUSP23
254,FCRL6
255,SLAMF8
256,TAGLN2
257,PIGM
258,PEA15
259,SLAMF1
260,CD48
261,SLAMF7
262,LY9
263,CD244
264,F11R
265,TSTD1
266,ARHGAP30
267,PFDN2
268,B4GALT3
269,FCER1G
270,FCGR2A
271,FCGR3A
272,FCGR2B
273,FCRLA
274,SH2D1B
275,UAP1
276,HSD17B7
277,NUF2
278,PBX1
279,UCK2
280,GPA33
281,CD247
282,CREG1
283,RCSD1
284,MPZL1
285,SFT2D2
286,XCL2
287,XCL1
288,ATP1B1
289,F5
290,SELL
291,DNM3
292,PRDX6
293,MRPS14
294,KIAA0040
295,CLEC20A
296,RALGPS2
297,TOR3A
298,TOR1AIP2
299,GLUL
300,RGS16
301,NCF2
302,ARPC5
303,RGL1
304,C1orf21
305,TRMT1L
306,SWT1
307,TPR
308,RGS18
309,RGS1
310,RGS2
311,ASPM
312,DENND1B
313,PTPRC
314,MIR181A1HG
315,GPR25
316,KIF21B
317,CSRP1
318,NAV1
319,KDM5B
320,ADIPOR1
321,BTG2
322,FMOD
323,CDK18
324,SLC45A3
325,NUCKS1
326,RAB29
327,RAB7B
328,RHEX
329,RASSF5
330,MAPKAPK2
331,FCMR
332,PIGR
333,PFKFB2
334,YOD1
335,CD55
336,CR1
