,0
0,A1BG
1,A1BG-AS1
2,A2M-AS1
3,A2MP1
4,A4GALT
5,AACS
6,AAED1
7,AAGAB
8,AAK1
9,AAMDC
10,AARS
11,AARS2
12,AASDHPPT
13,AASS
14,AATF
15,AATK
16,ABCA1
17,ABCA10
18,ABCA2
19,ABCA5
20,ABCA6
21,ABCA7
22,ABCA9
23,ABCB1
24,ABCB4
25,ABCB6
26,ABCB7
27,ABCC1
28,ABCC10
29,ABCC6
30,ABCD2
31,ABCD4
32,ABCE1
33,ABCF1
34,ABCF3
35,ABHD10
36,ABHD12
37,ABHD14A
38,ABHD15
39,ABHD2
40,ABHD5
41,ABHD6
42,ABI1
43,ABI2
44,ABI3
45,ABI3BP
46,ABL2
47,ABLIM1
48,ABR
49,ABT1
50,AC002044.1
51,AC002075.2
52,AC002454.1
53,AC002467.1
54,AC003075.4
55,AC003102.1
56,AC003681.1
57,AC004069.1
58,AC004130.2
59,AC004148.2
60,AC004241.3
61,AC004494.1
62,AC004556.3
63,AC004585.1
64,AC004687.1
65,AC004812.2
66,AC004825.2
67,AC004865.2
68,AC004889.1
69,AC004893.11
70,AC004951.1
71,AC004967.1
72,AC004980.1
73,AC005037.1
74,AC005083.1
75,AC005253.1
76,AC005261.3
77,AC005300.1
78,AC005332.4
79,AC005520.2
80,AC005632.3
81,AC005838.2
82,AC005839.1
83,AC005842.1
84,AC005921.3
85,AC005944.1
86,AC005972.3
87,AC006001.3
88,AC006033.2
89,AC006064.4
90,AC006077.2
91,AC006460.2
92,AC006480.2
93,AC006511.3
94,AC006978.1
95,AC007038.1
96,AC007182.2
97,AC007246.3
98,AC007278.1
99,AC007349.2
100,AC007381.1
101,AC007382.1
102,AC007406.5
103,AC007613.1
104,AC007688.1
105,AC007952.4
106,AC008026.1
107,AC008026.2
108,AC008040.5
109,AC008083.2
110,AC008105.1
111,AC008105.2
112,AC008105.3
113,AC008124.1
114,AC008443.1
115,AC008443.4
116,AC008443.5
117,AC008467.1
118,AC008549.2
119,AC008555.4
120,AC008735.1
121,AC008735.2
122,AC008764.10
123,AC008850.1
124,AC008875.2
125,AC008969.1
126,AC009005.1
127,AC009005.2
128,AC009060.1
129,AC009113.1
130,AC009133.1
131,AC009133.12
132,AC009245.1
133,AC009302.1
134,AC009403.1
135,AC009495.3
136,AC009506.1
137,AC009831.3
138,AC009950.1
139,AC009951.1
140,AC009961.1
141,AC009996.1
142,AC010226.4
143,AC010287.1
144,AC010331.1
145,AC010336.8
146,AC010343.1
147,AC010422.3
148,AC010468.1
149,AC010618.3
150,AC010632.2
151,AC010642.1
152,AC010883.3
153,AC010969.2
154,AC011043.1
155,AC011379.2
156,AC011446.2
157,AC011450.1
158,AC011462.5
159,AC011477.1
160,AC011498.6
161,AC011498.7
162,AC011603.2
163,AC011893.3
164,AC011899.3
165,AC011912.1
166,AC011939.1
167,AC012020.1
168,AC012236.1
169,AC012291.3
170,AC012306.2
171,AC012354.2
172,AC012618.1
173,AC012640.2
174,AC012645.3
175,AC012673.1
176,AC013264.1
177,AC013394.1
178,AC013461.1
179,AC015799.1
180,AC015849.4
181,AC015871.1
182,AC015871.7
183,AC015883.1
184,AC015912.3
185,AC015917.2
186,AC015969.1
187,AC015982.1
188,AC015987.1
189,AC016394.1
190,AC016588.2
191,AC016596.1
192,AC016734.1
193,AC016735.2
194,AC016739.1
195,AC016773.1
196,AC016831.4
197,AC016831.5
198,AC016876.1
199,AC016949.1
200,AC017002.1
201,AC017002.3
202,AC017104.6
203,AC018521.5
204,AC018628.1
205,AC018647.2
206,AC018738.1
207,AC018761.2
208,AC019163.1
209,AC019205.1
210,AC020571.3
211,AC020656.1
212,AC020659.1
213,AC020663.3
214,AC020909.2
215,AC020910.4
216,AC020910.5
217,AC020911.2
218,AC020915.1
219,AC020915.2
220,AC020916.1
221,AC021016.2
222,AC021054.1
223,AC021074.1
