,0
0,A1BG
1,A1BG-AS1
2,A2M
3,A2M-AS1
4,A2MP1
5,A4GALT
6,AADAT
7,AAED1
8,AAK1
9,AAMDC
10,AAMP
11,AARSD1
12,ABCA1
13,ABCA3
14,ABCA6
15,ABCA8
16,ABCB1
17,ABCB10
18,ABCB9
19,ABCC10
20,ABCC4
21,ABCF1
22,ABCF3
23,ABCG1
24,ABCG2
25,ABHD10
26,ABHD15
27,ABHD17A
28,ABHD3
29,ABHD5
30,ABI2
31,ABI3
32,ABI3BP
33,ABL2
34,ABLIM1
35,ABO
36,ABRACL
37,ABRAXAS1
38,AC002454.1
39,AC002467.1
40,AC003075.4
41,AC004057.1
42,AC004069.1
43,AC004148.2
44,AC004381.2
45,AC004386.1
46,AC004453.1
47,AC004453.8
48,AC004556.1
49,AC004656.1
50,AC004687.1
51,AC005261.3
52,AC005262.1
53,AC005300.1
54,AC005632.2
55,AC005632.3
56,AC005726.5
57,AC005839.1
58,AC005912.1
59,AC005921.2
60,AC005921.3
61,AC006001.3
62,AC006064.4
63,AC006077.2
64,AC006129.2
65,AC006978.1
66,AC007036.2
67,AC007246.3
68,AC007325.4
69,AC007382.1
70,AC007686.3
71,AC007952.4
72,AC007969.1
73,AC007969.5
74,AC008026.1
75,AC008035.1
76,AC008038.1
77,AC008443.4
78,AC008555.5
79,AC008875.3
80,AC009005.1
81,AC009302.1
82,AC009501.4
83,AC009951.1
84,AC010186.2
85,AC010326.4
86,AC010343.1
87,AC010422.3
88,AC010468.1
89,AC010615.2
90,AC011445.2
91,AC011447.3
92,AC011472.2
93,AC011495.1
94,AC011498.6
95,AC011498.7
96,AC011603.2
97,AC011893.3
98,AC011933.2
99,AC011979.1
100,AC012306.2
101,AC012354.2
102,AC012360.3
103,AC012618.1
104,AC013264.2
105,AC013394.1
106,AC013461.1
107,AC015883.1
108,AC015912.3
109,AC015982.1
110,AC015987.1
111,AC016065.1
112,AC016549.1
113,AC016734.1
114,AC016735.2
115,AC016739.1
116,AC016739.2
117,AC016831.4
118,AC016831.5
119,AC016831.7
120,AC017002.1
121,AC017035.1
122,AC018523.1
123,AC018738.1
124,AC020571.3
125,AC020656.1
126,AC020910.4
127,AC020915.3
128,AC020916.1
129,AC021078.1
130,AC022182.2
131,AC022210.1
132,AC022400.7
133,AC023590.1
134,AC024075.1
135,AC024293.1
136,AC025159.1
137,AC025164.1
138,AC025171.3
139,AC025181.2
140,AC026124.2
141,AC026401.3
142,AC026403.1
143,AC026412.1
144,AC026471.4
145,AC026904.1
146,AC026979.2
147,AC027290.2
148,AC027559.1
149,AC034236.1
150,AC040162.1
151,AC044787.1
152,AC044849.1
153,AC046185.3
154,AC058791.1
155,AC060780.1
156,AC064799.1
157,AC067930.6
158,AC068137.1
159,AC068580.1
160,AC068631.3
161,AC069213.3
162,AC069218.1
163,AC073332.1
164,AC073349.1
165,AC073861.1
166,AC073896.3
167,AC073896.4
168,AC074117.1
169,AC078817.1
170,AC079140.2
171,AC079250.1
172,AC079305.1
173,AC079767.4
174,AC079922.1
175,AC084824.1
176,AC087190.1
177,AC087276.1
178,AC087343.1
179,AC087633.2
180,AC090114.1
181,AC090152.1
182,AC090181.3
183,AC090204.1
184,AC090498.1
185,AC090559.1
186,AC090617.10
187,AC091181.1
188,AC091390.3
189,AC091729.3
190,AC092069.1
191,AC092117.2
192,AC092139.3
193,AC092140.1
194,AC092171.1
195,AC092171.3
196,AC092368.3
197,AC092580.4
198,AC092620.2
199,AC092821.3
200,AC092953.1
201,AC093010.2
202,AC093157.1
203,AC093591.1
204,AC093673.1
205,AC095055.1
206,AC096579.7
207,AC096667.1
208,AC096733.2
209,AC096775.1
210,AC097263.1
211,AC097376.2
212,AC097634.1
213,AC098591.2
214,AC099560.2
215,AC099689.1
216,AC099789.1
217,AC100801.1
218,AC103591.3
219,AC103706.1
220,AC104024.1
221,AC104046.1
