,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
B cell,GNAQ,JSRP1,PARP8,CALCA,PPP1R14B,LCP2,NGLY1,CPD,MTUS1,BMP2K,FLNA,NNMT,C3,TNFSF10,MGST2,NR4A1,DAPP1,NFIB,HPGD,SDC4,MTRNR2L12,TIMP3,NECTIN2,FN1,ALDH2,KDM4B,QSOX1,FAM129C,CD3G,LCN15,UROS,FAM46A,EREG,CD4,GIPC1,ENG,PRF1,CAV1,METRNL,THBS1,FNIP2,FAM49A,FCER2,COL1A1,DOK3,PLD3,FAM129B,IGSF6,APOL6,IFI6,IGFBP7,ST6GAL1,S100A13,PDLIM1,CTBP2,IGLV3-1,SLC9A3R2,TBC1D2B,GNG11,PTRF,RNASEH2B,HEXB,CXCL1,PMP22,GZMK,YIPF5,ORAI2,COCH,ZEB2,CNOT9,PLEKHO1,SYNGR1,SYNC,TCEAL9,IFNG,SNX5,LTBR,HVCN1,CXCL2,CD68,SEL1L3,CCNC,EIF3M,ICOS,RNF130,ITM2A,CD8A,IQGAP2,HNMT,PRSS23,SPARCL1,ADAM15,SERPING1,TP53INP1,HDHD2,EIF1,PLIN2,PSAP,HSCB,MBD4,MIR155HG,CTSB,ALDH1A1,LCN2,CTSL,FCHSD2,HLA-DMA,CD27,DDX39A,CFD,S100A9,GRAMD1C,OSBPL10,SOD2,IL7R,ALOX5AP,CH507-42P11.8,P2RX5,STX7,EIF1AY,TPD52,MALAT1,TYROBP,GSTO1,CCL4,RMI2,CST3,AIM2,CCL22,TNFRSF1B,AICDA,STRBP,KLRB1,CCDC50,GZMB,AGTRAP,SDCBP,TNFRSF1A,KLRD1,SYVN1,IGFBP4,MAFF,AP1S2,PCNP,GLIPR2,RNF149,CPVL,NCF1,LY96,HLA-DQA2,EDEM1,LY86,YBX1,CXCL16,YEATS4,CLU,COBLL1,HCLS1,SERPINA1,PPIH,ARID3A,PPFIBP2,ETS2,IGLC7,CXCR5,FRMD4B,IFITM2,FOSL2,CNTRL,KLF4,MCL1,IGKJ5,SP140,FKBP11,LINC01480,TRAT1,PLXDC2,PIM2,CHPT1,PLSCR1,RASSF6,THEMIS2,FCRL2,IGHE,FCGR3A,MUC1,RAB13,AXL,CD3D,MT1E,FAM46C,SCIMP,TRBC1,HLA-DMB,IGHA2,RAB30,CD2,NEAT1,PKIG,TLR10,PLAUR,BCL11A,SSPN,FCMR,MEF2C,RP5-887A10.1,IGHD,HLA-DOB,ACTB,ACY3,IGHG1,HERPUD1,ADAM28,HLA-DPA1,IGHG4,HLA-DPB1,VPREB3,RUBCNL,STAG3,IGLC2,HLA-DQA1,EAF2,EBI3,AFF3,HLA-DQB1,MARCKSL1,HLA-DRA,HLA-DRB1,CD9,PTPN6,DERL3,STOM,CXCR4,GZMA,CD79B,CD79A,CD74,MS4A1,MARCH1,IGHA1,IGHG3,IGHM,CD40,NCOA3,AL928768.3,CD24,CD22,SEC11C,AC079767.4,BCAS4,SMARCB1,S100A6,SMAP2,CCR7,SWAP70,IRF8,GNG7,TNFRSF17,TNFRSF13C,CLECL1,GLUL,LYL1,LY9,JCHAIN,ARHGAP24,TCF4,IFITM3,LSP1,TCL1A,POU2F2,POU2AF1,RALGPS2,BTK,PKHD1L1,SPIB,LRMP,BRI3,CTSH,RCSD1,MZB1,PNOC,S100A4,TFEB,FGD2,HSH2D,RP11-693J15.5,NFKBID,BLK,CTSD,FCRLA,LINC00926,FCRL5,FAM30A,FCER1G,PLCG2,LGALS3,BANK1,BASP1,TIMP1,CD19
DC_Langerhans,POC1B,CD33,MAPK13,HVCN1,PRKCD,YIF1B,LINC01480,ICAM1,GGCT,MPC2,TES,BHLHE40,ADGRG5,IFITM2,TRAPPC6A,TAF6L,RASA4B,LGALS3,RNF5,PRCP,MYOM1,CASP9,SNX20,NR4A1,SF3A3,CD3D,PLAGL1,CHRAC1,SIGLEC5,MYL9,CHP1,UCHL3,NGLY1,CHMP4B,ARF3,OAZ2,CLCN5,RAPGEF1,ADAM19,GYPC,RCOR1,SVBP,CEACAM3,MT-ND2,CXCR4,TRPC6,GRASP,CYSLTR1,WAS,RAB21,ITM2A,SLC18B1,ITPR2,PLSCR1,LYRM1,AMPD2,TIGAR,PPP1R1A,ITGAX,GEM,DLGAP4,GBGT1,PARVB,CD59,TNFAIP8L2,TCTN3,CNOT9,UCP2,ARHGEF35,HPRT1,GATM,GCA,DNAJC4,DENND1B,DOCK5,GK,DCLRE1B,RPS6KA4,ADCY3,RP11-668G10.2,HLA-DOA,SEMA4A,STX7,NOTCH4,CREB5,SYK,COL9A2,IER5,ZW10,CAT,SMAP1,CEACAM4,CDC42,MEF2C,ENPP2,PLEKHO1,EIF1,SPIB,PLEK2,SPI1,PLD4,PKIB,PDLIM7,PARM1,ATP8B4,ARHGAP31,PALD1,AVPI1,PAK1,OPN3,OLFM2,OGFRL1,NXT1,STK38L,NRN1,ZNF385A,BID,BLOC1S6,PPIF,NINJ1,PPM1N,SUSD3,BZW2,SNX8,NDRG2,APOC2,SNX3,CA2,ZNF267,SYT2,CAMK1,CAPG,AP1S3,NAGA,NAALADL1,TAP2,CBFA2T3,PRKAR2B,CBR3,MYBPC2,TBC1D4,MT-CYB,CCDC88A,PRSS3,CCL22,MOB3A,ZMIZ1,MICAL1,CD1A,CD1C,MGST2,PSTPIP2,CD300A,MCOLN2,CD74,CD86,MAP3K7,PTPN6,MAP2K1,MALAT1,CDH17,SMCO4,MACC1,M1AP,LY86,LST1,LSP1,ALOX5,TLR10,LPCAT2,LPAR3,CERS6,CFP,ALDOC,RAP1A,ALDH2,CHAF1A,LINC00877,LILRB1,LGALS9,LGALS2,SLC8A1,CIB3,CIITA,LAMP3,CLEC4A,CLEC5A,KLF4,AIF1,CLEC7A,CLECL1,KCNMB1,IL18BP,REPIN1,IL18,IGSF6,TNNI2,IFI30,IDO2,RGS12,RGS19,COMMD10,IDO1,RHEB,COPS4,CD207,HPS5,CPVL,HPGDS,RIPK2,HLX,CD4,RMND1,RNASE6,HLA-DRB5,CSF1R,AFF3,CSF2RA,HLA-DRB1,RNF144B,HLA-DRA,HLA-DQB2,HLA-DQB1,RNPEP,HLA-DQA2,HLA-DQA1,HLA-DPB1,HLA-DPA1,CSRP2,FLT1,HLA-DOB,CST3,HLA-DMB,HLA-DMA,HIC1,TRIM36,HDAC9,CTNNBIP1,CTNND1,HEBP1,ADAP2,HCK,CTSH,CTSS,GZF1,GSN,GRK3,CYBB,ACY3,TRPM4,SLC1A4,ACTR3,GPR84,GPR82,DAPP1,GPR157,GPR137B,GPAT3,GNGT2,GNA13,GLIPR2,GLA,DEFA4,S100B,SAMHD1,SCARF1,GHRL,GAS2L3,FNDC4,FILIP1L,TYROBP,SCPEP1,DOK1,ACAA1,DPP3,FES,DSE,FCGBP,FCER1A,UBE2E2,RUNX3,VASP,FAM96A,FAM49B,ABI3,FAM49A,SERPINB9,SERPINF1,FAM26F,UVRAG,UTS2,FAM109A,UNC119,ERCC1,SFTPD,EPB41L2,SH3D21,SH2B2,ENTPD1,MMP9
DC_Mature,DCAF6,FAM26F,KLF7,CMTM6,IQSEC2,PDGFB,ACOT13,FAM174B,ZBTB34,RHEB,IRAK2,CYTH1,SAMD14,BRCA2,RIPK2,ZNF467,AC003092.1,MOB3A,L3MBTL4,TMEM8A,EPSTI1,FSCN1,NR6A1,FTL,ANKRD22,ZNF296,FUOM,ANTXR2,ST3GAL6,ZNF267,NRP2,ST3GAL5,NRXN1,PRCP,AOC1,AP3B2,NMRK1,ENTHD1,PRKAR2B,ENOX1,G0S2,APPL1,NINJ1,ARHGAP10,NFKBID,NFKB2,NUAK2,NUB1,EMILIN2,ARHGAP31,ERICH1,SLC31A2,PPIF,ALOX5AP,PRRG4,NET1,ZFP36L1,NEK6,SSTR2,NDE1,ARL8A,ARL8B,NCKAP1L,SLC44A2,GBP1,ARNTL2,NAV1,SULF2,FRMD4A,PTGIR,ZBTB10,NABP1,N4BP2L1,SLC1A3,SLC1A2,SRSF12,ALDH2,PXDC1,SLC15A3,FOXD4L1,SIRPA,SYNPO2,RAB11FIP1,SIAH1,RAB5B,RAB8B,RAB9A,GPR137B,GPR157,BASP1,BATF3,SRGAP2B,MREG,EBI3,RAMP1,SRGAP1,MPPED2,MOSPD2,GRASP,RAP2B,OGFRL1,BCL2A1,BCL2L11,SH3PXD2A,BCL2L14,GRINA,GRK3,RASGRF1,RASSF2,POGLUT1,MMD,GRN,GRSF1,IL4I1,BHLHE40,RBFOX3,SGTB,GSN,BLVRA,BMP2K,PNMA1,MIR155HG,SLCO5A1,MIIP,MGLL,DSC2,RECQL5,DRAM2,FILIP1L,PLXNC1,TBC1D4,RELB,TBC1D8,AFDN,REPIN1,TBC1D9,EYA4,VOPP1,DPYSL2,VMO1,BTN2A2,BZW2,RFTN1,H2AFY2,SERPINF1,H6PD,MED13L,HAPLN3,UVRAG,DNM1,SERPINB1,MCOLN2,MBOAT2,HCK,MB21D2,DLGAP4,SEMA4A,USP12,CASP7,MARCKSL1,MARCKS,CBX6,UPB1,RNF144B,MAP3K13,PLEK,CCDC88A,CCL17,CCL19,CCL22,HIVEP1,ROR2,CCNG2,CCR7,CD200,LYST,DENND5A,PLCD1,TGFBR1,UBE2F,UBE2E2,HLA-DOA,UBD,HLA-DPA1,HLA-DPB1,LSP1,HLA-DQA1,ADAM12,CD40,HLA-DQA2,PC,CD58,HLA-DQB1,LRRK1,TYROBP,CD74,HLA-DQB2,HLA-DRA,CD80,CD84,HLA-DRB1,CD86,SPIB,LRP8,HLA-DRB5,SPI1,TWF2,HLX,CDC42,TIFAB,LMOD3,TUBB6,TUBB2B,LINC01170,DAPP1,SAMD9L,HOMER2,LIMCH1,CELA1,TSPAN15,TSPAN13,LGALS9,LGALS2,S100B,HPS5,CYB5A,CEP350,CEP68,CXCL9,LAMP3,CERS6,LAD1,LACTB,KYNU,CFP,CXCL16,CXCL11,TRIP10,ID2,KLF4,CHST2,TMCC3,CHST7,IL15,RUFY3,KIF2A,CIITA,TRIM36,SNN,PIK3CG,CTSH,CLCN1,IL7R,TRIB1,CLECL1,CLIC2,KDM2B,CLLU1OS,TRAFD1,KCNN1,TRADD,CTB-58E17.1,AC005477.1,KCNMB1,TMEM176A,TMEM176B,ICOSLG,SNX11,CTA-384D8.35,IDO1,RP11-568N6.1,CSTA,FARP2,IDO2,JAK2,IFI30,TOMM34,FAM49A,CSF2RB,CSF2RA,TNNT2,S100A4,IFNGR2,TNFSF13B,CREG1,ABCB10,TNFRSF11B,IRF4,TNFAIP6,TNFAIP2,PHF23,INSM1,INPP5F,IGLV3-25,CREB3L1,IL13RA1,FAM60A,IL18,IL6R,BHLHE22
Epithelial,NCKAP1L,NAV2,CDCA7L,CD300A,ZEB2,LY86,PSMB8-AS1,CPVL,CASP1,ANKRD36C,METRNL,GGA2,TMEM71,CDKN2A,AGR3,TNF,AGR2,APP,ITGA4,HECA,A2M,CAPS,TNFRSF9,OTUD1,SLC34A2,SUSD3,KLRD1,SPP1,PIM2,RPS6KA3,FCGR2B,PDE3B,SUSD2,CD86,NFKBIA,ASS1,MTRNR2L8,THEMIS2,RAB9A,ROPN1L,IL10RA,HLA-DMB,GALE,CCR6,AKR1C1,PRCP,AKR1C2,MORN2,S100A13,CLIC6,ENG,PLAC8,ZNF831,C1QC,RNF168,IRF1,RNF166,SPI1,C1QA,LPCAT1,SHOC2,FERMT3,BTK,ITPR1,CLECL1,NCF1,MS4A7,BAIAP2L1,TAF10,RBFOX2,CLDN7,SHC1,XIST,LY96,RNASET2,NECAP1,CYB5A,ETV4,HSPA6,IQGAP2,AOAH,HSPH1,TMEM125,CD2AP,FRMPD2,GNA13,NLRC5,JUN,HLA-DRB5,DEF6,C4BPA,CD68,SDCBP,TMC8,NEDD4L,SDSL,RGS2,ANKRD44,KCNAB2,STAT4,LDLRAD4,F11R,SERPINB9,SERPINB5,ICAM2,DCAF13,CD28,DCK,MYO1F,PRF1,VPREB3,SP140,SOX2,NKX2-1,PSTPIP1,HERPUD1,CP,SMCHD1,CNN3,NOL3,SMAP2,SLPI,KRT15,KRT17,GLIPR2,MUC1,KLF6,KRT5,PTPN22,SPINK1,CASC15,KLF5,PTPN6,ITK,MCL1,AFDN,CRNDE,PTRF,ITGB6,GIMAP4,TMSB10,PIGR,AIF1,ACP5,GDF15,TNFRSF1B,CLTC,LST1,TNFSF12,RAB25,LSP1,MDK,IRX3,RAB8B,IRF8,MT-CYB,HLA-DMA,MSLN,CCR7,HLA-DPA1,TPM1,HLA-DPB1,RASAL3,CTSS,MAF,FXYD3,BTG2,HLA-DQA1,MS4A1,CLEC2D,HLA-DQB1,CXCL17,TFF3,CXCR3,CXCR4,ZFP36,GPRC5A,ALOX5AP,FTL,CLDN4,HLA-DRA,CD24,HLA-DRB1,CD27,BRI3,PHACTR1,CYFIP2,SFTPC,SFTPB,SFTPA2,SFTPA1,SFTA3,SFTA2,LCN2,LCP2,CD69,CYP4B1,ZC3HAV1,PPP1R14B,CD74,PGC,HCLS1,CD79A,PPM1K,CD2,CYR61,HMGB3,FOLR1,CD3D,CD3E,CD3G,INPP5D,SEMA4D,CD44,CD8A,RGCC,LGALS9,PLK3,SELL,CD9,RGS1,SELK,ABI3,FLRT3,NAPSA,YWHAE,DDX24,EPCAM,MRC1,MPZL2,BCL2A1,TUBA1A,RNASE1,GZMA,GZMB,LPXN,RNASE6,GSTA1,ID2,RND3,MPC1,S100P,S100A6,S100A2,TYROBP,S100A14,AP1S2,FCMR,IL16,DKC1,MGP,WIPF1,IL7R,WFDC3,ITM2A,KLRB1,WFDC2,RP1,FCER1G,IKZF3,DNAJB1,HAVCR2,PON2,OXNAD1,UCHL1,APOBEC3G,UCP2,SWAP70,DUSP10,TBC1D10C,ECI1,APOL3,PDE4B,EIF1,PRDM1,USP15,MAL2,IGFBP2,RCSD1,EML4,RUNX3,EMP2,ENAH,GYPC,FAM46C,ARHGAP30,TGFB1,ERAP2,TACSTD2,VAMP5,VSIG2,ARHGAP9,TRAC,TRBC1,TRBC2,VEGFA,FAM133B,IFI27,F3,CEACAM6
LRRC15_myofibroblast,DCBLD1,GPR68,SNX24,FBXO32,CDC42EP1,IL15RA,HES7,HECW2,TUSC1,EFEMP1,IKBIP,RP11-54O7.17,CACNA2D1,ZNF664,SMIM3,ALDH2,ALDH1A3,KIAA1755,MTRNR2L1,GAL,HOXB7,TUBB6,PLS3,BHLHE22,CYP27B1,FAM151B,PLA2G5,PDE10A,PKIG,IGF1,SEPT11,CDH11,RBFOX2,ACSS3,TAX1BP3,DPT,NACAD,LRP1,FNDC1,COL15A1,CCDC8,MT-ND2,PGRMC1,FRMD6,C3,CLIC4,CNIH3,BMPR1B,BFSP1,STC1,RAB34,ENAH,CEMIP,SSTR2,SYDE1,ADAMDEC1,CSRNP3,LOXL1,CDKL5,SCD5,HAPLN3,SELM,SEPT8,KIAA1462,SPARCL1,AOC3,DAPK3,HOXA4,HOXB8,IGFBP4,PAM,SMOC2,IFITM3,CD248,AK5,DPYSL4,P3H3,ZEB1,OSR2,DPYSL3,MYO1D,OLFML2B,CCDC80,CCL26,OLFML3,NUPR1,NUAK1,P3H4,NTM,P4HA2,PALLD,NNMT,PANX1,NID2,PARVA,PCOLCE,NDRG1,PDGFRB,PDLIM3,NBL1,PDPN,PDZRN3,FAM20A,TPST1,MYL9,CALD1,MXRA8,TPM2,MXRA5,TPM1,CHI3L1,MTRNR2L12,CHRDL1,MT-CYB,MSRB3,C1S,TPBG,C1R,MSANTD3,C1QTNF1,PIEZO2,A2M,MMP9,PLAT,MMP2,MMP14,PLOD2,MMP11,MMP1,MME,PMP22,PODNL1,CNN3,MMD,MGP,COL10A1,COL14A1,POSTN,COL1A1,BICC1,COL1A2,BGN,MFGE8,PRKCDBP,BEND6,COL27A1,COL3A1,PRR16,PRRX1,COL5A1,PRSS23,COL5A2,COL6A1,PTK7,PTN,COL6A2,COL6A3,PTRF,PTX3,MFAP5,COL8A2,TMEM98,COLEC12,RARB,RARRES2,COMP,TWIST1,RBP1,TWIST2,RBPMS,MEG3,CPE,ASPN,RCN3,CREB3L1,MAFB,TMEM45A,UBD,RIN2,TMEM263,RND3,RNF187,ROR2,LURAP1L,CRISPLD2,LUM,CRYAB,CSRP2,LPAR1,TMEM176A,RRAD,TMEM158,LOXL2,RUNX1T1,LOX,SAMD11,LMOD1,SCG5,SCN7A,SDC2,CTGF,CTHRC1,APOL1,LINC01615,CTSK,UGDH,LCA5,CXCL12,CYBRD1,SERPINF1,SERPING1,KIAA1324L,SERPINH1,ANTXR1,SFRP2,SFRP4,SGIP1,CYR61,TCEAL7,SLC12A8,KDELR3,KDELC1,ITGBL1,SLC38A5,ITGA10,ENPP1,ISLR,DCN,TIMP3,TIMP2,INHBA,DDR2,IGFBP7,ALDH1B1,IGFBP5,DIO2,DKK3,IGFBP2,VAMP5,ID3,SNAI2,DOK5,VCAM1,THY1,SNHG18,VCAN,HSPA6,DSEL,HOXB6,HOXB3,VPS37A,THBS2,SPARC,ECM1,HES1,EFEMP2,EGFL6,AEBP1,SPHK1,SPOCK1,ADM,EGR1,TGFBI,TGFB3,GUCY1A3,TGFB1I1,GRP,ADAMTS2,GPX8,ADAMTS16,GPR176,GOLM1,EMP2,GJB2,GBP1,PRKG1,GAS6,GALNT15,SUGCT,SULF1,TENM3,FSTL1,FRZB,SUSD5,FN1,TEAD1,FILIP1L,WNT5A,TAGLN,FGF1,FERMT2,FBXO17,FBLN1,TBX3,FBLIM1,FAM114A1,FAP,TCF4,FAM127A,TCEAL9
Macrophage,COL8A2,FAM46A,CTNND1,MRC1,NARS,KCNMA1,LAT2,MAFG,POLDIP2,AVPI1,MARCO,ADORA3,CREG1,SLC27A3,ADM,SLC31A2,HLA-DMB,PTPN6,CCDC88A,MPHOSPH6,FMNL2,USO1,LAIR1,CD1A,ATP5G3,RASD1,MSR1,FUT4,ZNF697,TNIK,SECTM1,TPP1,KB-1507C5.4,HIST2H2AA3,ITPR2,ECM1,S100A9,CLEC4A,ABI3,NAGA,ZNF106,SLC7A7,SDF2L1,SLC43A2,APOBEC3A,BNIP3L,SOD2,THBD,RNASE2,EPB41L3,RGL1,CECR5,UCHL3,IFITM2,TRAC,SLC7A8,MANBA,MALAT1,TNFSF13B,P4HA1,TNFAIP8L2,OSM,HLA-DRA,SCNM1,TNNI2,OLR1,HMOX1,SAP30,SAMHD1,HLA-DQB1,SDSL,HLA-DQA2,PAK1,ODF3B,S100A8,CSF1R,KLF4,PAPSS2,GK,HNMT,CSF2RA,BMP2K,HLA-DQA1,NUDT16,GAPT,HLA-DPB1,ZNF385A,CORO1C,HLA-DPA1,C5AR1,RP5-899E9.1,CA2,LACTB,CST3,KIAA0930,PDGFC,CST6,CSTA,FBP1,TREM1,PDLIM7,TREM2,CSTB,HLA-DOA,BID,EIF1,NRP2,KCTD12,SGK1,GLRX,GLUL,CAPG,KCNN4,KCNMB1,FAM49A,G0S2,PHF5A,NPC2,HLA-DMA,KCNAB2,ELANE,TMIGD3,RP11-54O7.17,FUOM,HK2,NME2,SIGLEC12,SIRPA,PKD2L1,PLA2G7,PLAC8,GNA13,PLAUR,BCL2A1,GNAQ,NHSL1,SLAMF8,PLD4,SLAMF9,TRPM2,FRMD4A,GNB4,LGALS3,ETS2,SLC1A3,CTSB,CTSG,FPR3,CTSH,ITGAM,PLSCR1,PLXDC2,NEAT1,PMP22,AP1S2,CCL3,NDUFA7,CCL7,LILRB4,NCF2,APAF1,CLEC7A,CLEC5A,DTD1,DSC2,ALOX5,LINC00528,DPYSL2,FAM26F,DOCK4,CD14,CD163,FABP5,TUBB6,CLEC11A,CLEC10A,SLC8A1,CYBB,GPNMB,CD33,PPIF,IL4I1,TYROBP,FN1,SMCHD1,CD68,TM6SF1,FAM214B,SMIM3,MT-CYB,DAB2,MSRA,LINC01094,TIRAP,MS4A7,SNX10,ZYX,PPT1,GPR84,CIITA,ATP6V1B2,RNPEP,ZFAND2A,CD1D,CD2,FCER1G,IL1B,CHP1,CD3D,APOC2,LMO2,CD4,PSAP,RNF144B,CHMP4B,RNF130,MRAS,THEMIS2,GRINA,PSMG1,SPI1,DNAJA4,PSTPIP2,RNASE6,GRN,SPP1,HEBP1,SPRED1,MMP9,FCGR2A,PTGS1,MMP19,MMP12,GSN,IL13RA1,SQRDL,LPCAT2,TGFBI,ALCAM,FCGR2B,FKBP15,MIR3945HG,RHOQ,RHOB,PTPRE,GSTO1,ABCA1,IL17RB,LRP1,FCGRT,PXDC1,TFEC,IL7R,ADAMDEC1,ITM2A,VDR,IGSF6,MGST2,QKI,ASGR2,ST3GAL6,STAB1,MFSD1,LST1,HCK,CEBPB,RENBP,RAB20,MEF2A,CFP,IGSF21,STX11,FGL2,RAB32,LTA4H,FCN1,RAB3IL1,UQCRHL,RBP4,RBP1,HSPA6,ARHGAP18,LY86,RBM47,ADAP2,CES1,MB21D2,HBEGF,LYSMD2,IFI30,IFI27,IER5,LYZ,ARL8B,TRBC2,EREG,MAFB,ICOSLG,AIF1,ANPEP
Macrophage_Alveolar,CD2,SUSD3,ALKBH3,CORO1C,GIMAP4,UBE2L3,CPPED1,USF3,TNFAIP8L2,RPS6KA1,SLAMF9,DAPL1,RNF130,BTBD19,BHLHE41,DNTTIP1,ARHGEF2,DERA,EMC1,GTPBP2,ACAA2,TXNDC11,APOE,GSTO1,TPP1,HLA-DMB,CCDC90B,CALM3,FAM214B,KLHL21,CMKLR1,ATF5,VAC14,NAGK,METTL10,SLC25A11,RIPK2,RP11-147L13.11,UBE2F,TNNI2,CLEC2D,DPYSL2,IFI30,NME2,ARHGEF10L,P2RY6,NUP133,TCF7L2,ALDH1A1,PCBD2,DCP2,SPG21,SPINK1,MTMR14,STAC3,CCL13,NDUFAB1,DIRC2,TGFBI,ZMYND15,SDHB,SCPEP1,FFAR4,TRMT1L,PCK2,IL1RAP,IL4I1,MRC1,ALDH2,FCER1A,FCER1G,SNX10,SNX3,FCGBP,SOD2,RAB32,MPC1,FAM96A,FAM89A,FAM49B,FAM26F,RAB20,SMIM4,MS4A4A,MS4A7,ALOX5,MNDA,FCGRT,SMCO4,SPI1,MSRA,MMP19,AIF1,FGD2,FGR,FHL1,MINOS1,MT-CYB,RBM47,FABP4,MTHFD1L,MTMR10,FABP3,AGRP,FIBP,AMZ2,SLC8A1,SRP19,CCDC88A,ST3GAL6,CAPG,RBP4,RBP7,ZNF385A,FTCDNL1,VMO1,CCL17,ENPP4,MFF,FUOM,NAAA,GABARAP,CCL4,CCL7,UCP2,RETN,C8B,UCHL3,GCA,ELK1,EIF3M,PRPS2,NCF2,RGS12,VPS41,NDUFA7,RGS18,MDM2,GK,ANPEP,EFHD2,RILP,C1QB,SLC15A3,CD1C,RIN3,C1QA,GLIPR2,UBE2E2,CD300LF,ADAMTSL4,RMDN3,DUSP3,PRAM1,UBASH3B,VSIG4,GLRX,SLC11A1,MCEMP1,CD68,CD69,GLUL,SLAMF8,AP1S2,GNB4,RNF144B,CD74,DOK1,MARCO,TYROBP,CD86,DNASE2B,PPARG,NPC2,BRI3,DNASE1L3,DNAJC5B,SHKBP1,GRN,APOC1,GS1-600G8.5,GSN,SERPINF1,TEX14,TWF2,TFEC,MALAT1,TFPT,SERPINB1,TUBB6,TICAM1,GYPC,MAFB,TIMM17B,BEX4,DAPP1,LYZ,LY96,HAVCR2,BCL2L14,PMP22,TLCD2,HCK,LST1,LSP1,SDCCAG8,CYSTM1,LRRK1,CD3D,TLR4,LRP1,CYP27A1,LPL,NUP214,CYBB,SCCPDH,CEBPA,LIPA,NUPR1,LINC01272,BATF3,BASP1,HLA-DMA,HLA-DOA,OAS2,OASL,CXCR4,PLEK,HLA-DOB,PLD4,OLR1,HLA-DPA1,HLA-DPB1,LGALS9,LGALS3,PLCB2,LGALS2,RP11-356N1.2,RP11-37B2.1,HLA-DQA1,KYNU,TMEM167B,PLAUR,RP11-443B7.1,TMEM170B,OSCAR,CTSH,OTOA,CES1,HLA-DQB1,KLF4,CTD-2319I12.2,ARL8B,HLA-DQB2,HLA-DRA,HLA-DRB1,SAMHD1,ARPIN,HMOX1,CSTB,CSTA,CST3,CSF2RA,ARRDC4,HNMT,TRPC6,CHP1,CPVL,S100B,KCTD12,KCNMB1,PICALM,KCNMA1,KCNK6,S100A9,ASGR1,PBX3,KB-1507C5.4,HSD3B7,TPMT,ATP6V0D1,PCOLCE2,YBX1,TRIQK,ATP5G3,IRF8,IRF1,YIF1B,RRAGD,IDH3G,CLEC9A,CLEC7A,TRAC,IDO1,RP5-839B4.8,IL18,RP3-460G2.2,CLEC4E,INHBA,CLEC4A
