,0
0,A2M
1,A2M-AS1
2,A4GNT
3,AADAC
4,AADAT
5,AAMDC
6,AARD
7,ABALON
8,ABCA3
9,ABCA6
10,ABCA8
11,ABCA9
12,ABCB4
13,ABCC1
14,ABCC10
15,ABCC11
16,ABCC5
17,ABCC8
18,ABCD2
19,ABCF1
20,ABCG1
21,ABHD14B
22,ABHD17B
23,ABHD17C
24,ABHD18
25,ABHD2
26,ABHD4
27,ABHD6
28,ABHD8
29,ABLIM1
30,ABR
31,AC007383.3
32,AC007743.1
33,AC007950.2
34,AC008268.1
35,AC009506.1
36,AC012368.1
37,AC015987.1
38,AC083843.1
39,AC104024.1
40,AC104653.1
41,AC144831.1
42,ACACA
43,ACACB
44,ACADL
45,ACADSB
46,ACAP3
47,ACBD4
48,ACE2
49,ACKR1
50,ACKR2
51,ACKR4
52,ACO2
53,ACOT7
54,ACOX1
55,ACOX3
56,ACOXL
57,ACP2
58,ACP5
59,ACP6
60,ACSL4
61,ACSM1
62,ACSS1
63,ACTB
64,ACTG2
65,ACTL10
66,ACTN1
67,ACVR1B
68,ACVR2B
69,ACYP2
70,ADAM12
71,ADAM23
72,ADAM28
73,ADAMDEC1
74,ADAMTS1
75,ADAMTS10
76,ADAMTS3
77,ADAMTS4
78,ADAMTS6
79,ADAMTS9
80,ADARB2
81,ADAT2
82,ADAT3
83,ADCK1
84,ADCK2
85,ADCY1
86,ADCY10
87,ADCY3
88,ADCY6
89,ADCYAP1
90,ADD3
91,ADGB
92,ADGRB1
93,ADGRB3
94,ADGRE5
95,ADGRF3
96,ADGRG2
97,ADGRG6
98,ADH1B
99,ADH1C
100,ADH7
101,ADIPOR1
102,ADIPOR2
103,ADIRF
104,ADK
105,ADM
106,ADM5
107,ADNP-AS1
108,ADORA1
109,ADORA2B
110,ADPRM
111,ADPRS
112,ADRB3
113,AEBP1
114,AEBP2
115,AFAP1L1
116,AFAP1L2
117,AFDN
118,AFDN-DT
119,AFF3
120,AFG1L
121,AGAP5
122,AGBL3
123,AGER
124,AGFG1
125,AGO1
126,AGPAT3
127,AGR3
128,AGRN
129,AGRP
130,AGTR2
131,AGTRAP
132,AHCY
133,AHCYL2
134,AHRR
135,AIF1L
136,AIFM3
137,AIM2
138,AIRN
139,AJM1
140,AK1
141,AK2
142,AK3
143,AK4
144,AK7
145,AK9
146,AKAP1
147,AKAP11
148,AKAP6
149,AKAP8
150,AKR1B10
151,AKR1C1
152,AKR1C2
153,AKR1C3
154,AKR1E2
155,ALCAM
156,ALDH18A1
157,ALDH1B1
158,ALDH1L2
159,ALDH3A1
160,ALDH6A1
161,ALDH7A1
162,ALG1
163,ALG10
164,ALG10B
165,ALG11
166,ALG1L2
167,ALG5
168,ALG9
169,ALK
170,ALKAL2
171,ALKBH1
172,ALKBH2
173,ALOX15
174,ALOX15B
175,ALOX5AP
176,ALPK2
177,ALPK3
178,ALPL
179,AMIGO2
180,AMOT
181,AMOTL1
182,AMPD1
183,AMPH
184,ANGPT2
185,ANGPT4
186,ANGPTL1
187,ANGPTL4
188,ANKIB1
189,ANKMY1
190,ANKRD1
191,ANKRD11
192,ANKRD12
193,ANKRD13A
194,ANKRD17
195,ANKRD18A
196,ANKRD18B
197,ANKRD20A1
198,ANKRD20A2P
199,ANKRD20A3P
200,ANKRD24
201,ANKRD34A
202,ANKRD39
203,ANKRD53
204,ANKRD55
205,ANKRD6
206,ANKRD62
207,ANKRD66
208,ANKRD7
209,ANKS3
210,ANO10
211,ANO8
212,ANTXR1
213,ANXA1
214,ANXA10
215,ANXA6
216,ANXA8L1
217,AOAH
218,AOC1
219,AOPEP
220,AP1G1
221,AP1M2
222,AP2A1
223,AP3S2
224,AP5B1
225,APBB1
226,APBB2
227,APCDD1L
228,APEX2
229,APH1A
230,APLN
231,APLNR
232,APLP1
233,APMAP
234,APOA1
235,APOBEC3B
236,APOBEC4
237,APOC1
238,APOE
239,APOL1
240,APP
241,APTR
242,AQP1
243,AQP4
244,AQP5
245,AQP7
246,AR
247,ARAP3
248,AREL1
249,ARF4-AS1
250,ARF5
251,ARFIP2
252,ARHGAP1
253,ARHGAP11A
254,ARHGAP17
255,ARHGAP18
256,ARHGAP21
257,ARHGAP24
258,ARHGAP25
259,ARHGAP28
260,ARHGAP40
261,ARHGAP45
262,ARHGAP6
263,ARHGDIA
264,ARHGEF12
265,ARHGEF15
266,ARHGEF16
267,ARHGEF26
268,ARHGEF28
269,ARHGEF37
270,ARHGEF38
271,ARHGEF40
272,ARID1A
273,ARID5B
274,ARIH2OS
275,ARL10
276,ARL13B
277,ARL15
278,ARL17B
279,ARL3
280,ARL4D
281,ARL5A
282,ARMC2
283,ARMC3
284,ARMC9
285,ARMCX6
286,ARMH2
287,ARMH4
288,ARNTL2
289,ARPC2
290,ARPC4
291,ARSB
292,ARSD
293,ARSG
294,ARSJ
295,ARSK
296,ARSL
297,ART4
298,ASAH2B
299,ASAP3
300,ASB13
301,ASB3
302,ASCC3
303,ASGR2
304,ASMT
305,ASMTL-AS1
306,ASPG
307,ASPHD1
308,ASPM
309,ASPN
310,ASTL
311,ASTN1
312,ATAD2
313,ATAD3B
314,ATF3
315,ATF6
316,ATG10
317,ATG16L1
318,ATG16L2
319,ATG4C
320,ATG9B
321,ATP10A
322,ATP12A
323,ATP13A4
324,ATP1A4
325,ATP1B1
326,ATP1B3-AS1
327,ATP2A1-AS1
328,ATP2A3
329,ATP2B1
330,ATP2C1
331,ATP5F1A
332,ATP5F1C
333,ATP5MF
334,ATP5MGL
335,ATP5MK
336,ATP5PD
337,ATP6V0A1
338,ATP6V0D2
339,ATP6V0E2
340,ATP6V0E2-AS1
341,ATP6V1B2
342,ATP6V1F
