,0
0,A2M
1,A2ML1-AS1
2,AADACL4
3,AADAT
4,ABCA1
5,ABCA10
6,ABCA13
7,ABCA4
8,ABCA5
9,ABCA6
10,ABCA7
11,ABCA9
12,ABCC8
13,ABCG2
14,ABCG5
15,ABHD11
16,ABHD12
17,ABHD14A
18,ABHD15-AS1
19,ABHD8
20,ABLIM3
21,ABTB2
22,AC000068.5
23,RP11-226E21.4
24,AC002066.1
25,COL1A2-AS1
26,PPP1R9A-AS1
27,RP1-193H18.3
28,AC003984.1
29,AC004237.1
30,RP11-556I14.2
31,ITGB8-AS1
32,AC004156.3
33,AC004160.4
34,RP1-197B17.3
35,MGC4859
36,MIOS-DT
37,TAX1BP1-AS1
38,AC003090.1
39,AC002539.1
40,RP11-147L13.11
41,AC005387.2
42,AC005609.16
43,AC005616.2
44,RP1-66C13.4
45,RP11-281P23.2
46,RP11-192H23.4
47,AC015923.1
48,RP5-940J5.6
49,ZNF45-AS1
50,AC006273.4
51,RP1-56K13.5
52,CTC-459F4.5
53,AC007040.11
54,AKAP1-DT
55,MAST3-AS1
56,RP11-166B2.5
57,RP11-396B14.2
58,ENSG00000278817.1
59,RP11-99E15.2
60,MAP4K3-DT
61,AC007682.1
62,AC010987.5
63,RP11-412D9.4
64,RP11-490O6.2
65,RP11-960B9.3
66,RP11-467J12.4
67,RP11-493L12.3
68,FMNL1-DT
69,RP11-352M15.2
70,RP11-729I10.2
71,CTC-535M15.2
72,CTC-308K20.1
73,CTC-523E23.11
74,CTC-564N23.6
75,CTB-161M19.4
76,CTD-2623N2.5
77,CTD-2260A17.1
78,CTD-2366F13.1
79,RP11-252A24.5
80,RP11-304L19.13
81,AC009133.12
82,RP11-55K13.1
83,RP11-77K12.9
84,AC009228.1
85,AC009478.1
86,RP11-16B9.1
87,RP11-504I13.3
88,RP11-48B3.5
89,AC009961.3
90,RP11-59N23.3
91,RP11-77I22.2
92,AC010226.4
93,CTD-2525I3.6
94,CTD-3001H11.2
95,CTD-2247C11.1
96,CTD-2561J22.3
97,CSGALNACT2-DT
98,AC010967.2
99,AC010976.2
100,ENSG00000276256.1
101,AC011288.2
102,AC011294.3
103,CTB-46B19.2
104,CTC-215O4.4
105,CTC-301O7.4
106,CTC-360G5.8
107,CTC-471J1.11
108,CTC-559E9.4
109,RP11-15E18.1
110,AC011997.1
111,RP11-130L8.1
112,RP11-1060G2.1
113,AC012485.2
114,RP11-120I21.2
115,RP11-61O11.1
116,RP11-66B24.1
117,RP5-1029F21.4
118,CTC-297N7.9
119,RP11-210M15.1
120,SNHG31
121,RP11-36B6.2
122,RP11-42B7.1
123,RP11-68E19.2
124,AC018462.2
125,RP11-6N17.6
126,RP11-507B12.1
127,RP11-274B21.10
128,AC067959.1
129,CTC-339F2.2
130,RP11-154B12.3
131,AC079135.1
132,AC105461.1
133,AC013463.2
134,AC114765.1
135,RP11-196H14.2
136,RP11-666O2.2
137,CTD-2528A14.3
138,KLF2-DT
139,MIR23AHG
140,KC6
141,RP11-438L19.1
142,RP11-574K11.29
143,CTD-2297D10.2
144,RP11-283G6.4
145,RP11-531A24.5
146,RP11-666F17.1
147,RP11-752D24.2
148,CTD-3118D11.2
149,RP11-82O19.1
150,RP11-713N11.6
151,AC023669.1
152,FLJ12825
153,RP11-709D24.6
154,RP11-37C7.3
155,RP11-513G19.1
156,RP11-370I10.12
157,RP11-981P6.1
158,PRANCR
159,RP11-220C2.1
160,RP11-542G1.1
161,RP11-196H14.4
162,RP11-57G22.3
163,RP11-23N2.4
164,RP11-1022B3.1
165,AC026167.1
166,RP11-654K19.6
167,RP11-452L6.5
168,RP11-452L6.1
169,RP11-509A17.3
170,RP11-506H20.1
171,RP11-318C2.1
172,DCTN6-DT
173,RP11-526I2.5
174,RP11-35G9.3
175,RP11-35G9.5
176,CTB-25B13.12
177,RP11-455O6.8
178,RP11-351M8.2
179,RP11-603J24.4
180,RP11-583F2.2
181,CTD-2026D20.2
182,RP11-809O17.1
183,RP11-589P10.7
184,RP11-35J10.5
185,RP11-847H18.3
186,RP11-631N16.2
187,RP11-39E3.3
188,DIS3L-AS1
189,RP11-138A9.2
190,RP11-38H17.1
191,AC067956.1
192,RP11-802D6.1
193,RP11-817O13.9
194,RP11-13N12.1
195,RP11-675F6.4
196,RP11-76G10.1
197,RP11-317G6.1
198,RP11-306G20.1
199,AC003075.4
200,RP11-476H24.1
201,TMEM139-AS1
202,AC073343.13
203,RP11-120D5.1
204,RP11-530C5.1
205,RP11-83B20.1
206,AC073834.3
207,RP11-627D16.1
208,RP11-272K23.3
209,MECOM-AS1
210,AC009784.3
211,RP11-114H23.1
212,RP11-457K10.1
213,RP11-159H10.3
214,RP11-111J6.2
215,RP11-466A19.3
216,RP11-111H13.1
217,RP11-142A5.1
218,RP11-124N2.1
219,RP11-379F4.9
220,NCRNA00250
221,RP11-61G19.1
222,CTD-2517M22.17
223,RP11-815J21.4
224,RP11-552F3.12
225,RP11-396O20.1
226,RP11-536G4.2
227,RP11-886H22.1
228,RP11-566D24.2
229,RP11-630C16.2
230,RP11-266O8.1
231,RP11-798G7.6
232,AC091153.4
233,CAPS2-AS1
234,RP11-760H22.2
235,RP11-804N13.1
236,CTD-2033A16.1
237,CTD-2270P14.5
238,CTD-2600O9.1
239,CTD-2649C14.2
240,RP11-413H22.2
241,RP11-510J16.5
242,TMEM18-DT
243,RP11-1275H24.3
244,RP11-15H20.8
245,AC133680.1
246,RP11-2H3.7
247,RP11-384F7.2
248,RP11-550H2.2
249,RP11-231E6.1
250,RP11-379B18.6
251,RP11-666A20.4
252,AC093110.3
253,CTB-12A17.3
254,RP11-20I23.13
255,RP11-20I23.8
256,AC093627.12
257,RP11-629B11.5
258,RP11-397E7.6
259,RP11-724O16.1
260,LINC02778
261,SAP30-DT
262,GS1-594A7.3
263,AC098828.2
264,RP4-620F22.3
265,RP4-613B23.5
266,CTD-3088G3.8
267,PATJ-DT
268,AC100830.3
269,CTD-2017F17.2
270,RP11-357H14.17
271,RP11-382A20.4
272,AC104088.1
273,EPS15-AS1
274,RP11-424N24.2
275,RP11-469A15.2
276,RP11-569A11.1
277,RP4-549L20.3
278,RP11-284M14.1
279,RP11-254F7.3
280,RP11-774O3.3
281,MAPK10-AS1
282,RP11-513H8.1
283,RP11-752G15.8
284,AC105760.2
285,SIRLNT
286,NSMCE1-DT
287,RP11-381K20.2
