,0
0,A2M
1,ABAT
2,ABCA10
3,ABCA13
4,ABCA4
5,ABCA6
6,ABCA8
7,ABCA9
8,ABCB1
9,ABCC2
10,ABCC3
11,ABCC9
12,ABI3BP
13,ABLIM2
14,ABLIM3
15,ABR
16,ABTB2
17,RP11-768F21.1
18,AC003984.1
19,RP11-556I14.2
20,CTC-490G23.6
21,AC004901.1
22,AC003090.1
23,AC002539.1
24,RP11-192H23.4
25,AC006460.2
26,AC007040.11
27,RP11-114N19.3
28,MMADHC-DT
29,AC007682.1
30,RP11-541G9.1
31,RP11-96H19.1
32,CTC-535M15.2
33,CTC-513N18.6
34,RP11-252A24.5
35,RP11-426C22.5
36,AC009478.1
37,RP11-1028N23.4
38,AC018890.6
39,CTC-471J1.9
40,RP11-759A24.3
41,AC012593.1
42,AC013472.4
43,RP11-624L4.1
44,RP11-120I21.2
45,CTB-51A17.1
46,SNHG31
47,AC092684.1
48,LINC02889
49,AC013463.2
50,RP11-1143G9.4
51,MIR23AHG
52,CTD-3118D11.2
53,AC023590.1
54,RP11-63A11.1
55,RP11-608O21.1
56,AC026167.1
57,RP11-324E6.6
58,RP11-509A17.3
59,RP11-941H19.3
60,RP11-35J10.5
61,RP11-231C18.3
62,RP11-290H9.2
63,RP11-573D15.8
64,RP11-473C18.6
65,AC069277.2
66,RP11-531H8.2
67,AC003075.4
68,RP11-530C5.1
69,RP11-627D16.1
70,RP11-114H23.1
71,RP11-457K10.1
72,RP11-290O12.2
73,CTD-2201G3.1
74,RP11-396O20.1
75,RP11-437L7.2
76,RP11-66B24.5
77,HMGA2-AS1
78,RP11-373N22.3
79,AC159540.1
80,RP11-384F7.2
81,RP11-550H2.2
82,RP11-125O18.1
83,RP11-556I14.1
84,MFF-DT
85,CTC-391G2.1
86,RP11-436K8.1
87,CTD-2337A12.1
88,CTC-340A15.2
89,AC108938.5
90,EDIL3-DT
91,DSEL-AS1
92,RP11-875H7.5
93,RP11-133F8.2
94,RP11-394O4.6
95,RP11-511B23.2
96,RP11-368L12.1
97,PSMD7-DT
98,LINC02798
99,CH17-360D5.2
100,LL22NC03-2H8.5
101,ACER2
102,ACMSD
103,ACOXL
104,ACP3
105,ACSF2
106,ACSL1
107,ACSL4
108,ACSM2A
109,ACSM2B
110,ACSM3
111,ACSM5
112,ACTA1
113,ACTA2
114,ACVRL1
115,ADAM15
116,ADAM19
117,ADAM23
118,ADAM33
119,ADAMTS1
120,ADAMTS12
121,ADAMTS15
122,ADAMTS16
123,ADAMTS17
124,ADAMTS18
125,ADAMTS19
126,ADAMTS3
127,ADAMTS6
128,ADAMTS9
129,ADAMTS9-AS1
130,ADAMTSL1
131,ADAMTSL2
132,ADAMTSL3
133,ADARB2
134,ADCY3
135,ADCY7
136,ADCYAP1
137,ADGRA2
138,ADGRB3
139,ADGRD1
140,ADGRE5
141,ADGRF1
142,ADGRF5
143,ADGRG6
144,ADGRL2
145,ADGRL3
146,ADGRL4
147,ADIRF
148,ADM
149,ADORA2A-AS1
150,ADRA1A
151,ADTRP
152,AEBP1
153,GS1-24F4.2
154,AFAP1L1
155,AFF2
156,AFF3
157,AFM
158,AGBL1
159,AGBL4
160,AGR2
161,AGTR1
162,AGXT2
163,AIF1
164,AJ006998.2
165,AK4
166,AK5
167,AKAP12
168,AKR1B1
169,AKR1C1
170,AKR7A3
171,LNC-LBCS
172,RP11-307P5.1
173,RP1-209A6.1
174,RP11-189B4.7
175,RP13-143G15.4
176,MIR3659HG
177,RP11-141M1.3
178,RP11-16B13.1
179,RP11-305L7.3
180,RP11-163F15.1
181,RP11-403A3.3
182,RP11-554D15.1
183,RP11-72M17.1
184,RP11-418J17.3
185,RP11-139E24.1
186,RP11-370B11.4
187,LINC02884
188,RP13-188A5.1
189,RGS5-AS1
190,RP11-226B15.1
191,RP11-154D17.1
192,RP11-596C23.6
193,TSBP1-AS1
194,RP11-293M10.1
195,RP11-407P15.2
196,ALB
197,ALCAM
198,ALDH1A2
199,ALDH1A3
200,ALDH6A1
201,ALDOB
202,ALK
203,ALOX5
204,ALPK2
205,ALS2CL
206,ALX1
207,AMN
208,ANGPT1
209,ANGPTL3
210,ANK2
211,ANKH
212,ANKRD29
213,ANKRD33B
214,ANKRD44
215,ANKS1A
216,ANKUB1
217,ANO1
218,ANO2
219,ANO4
220,ANPEP
221,ANTXR2
222,ANXA1
223,AOAH
224,AOC1
225,AOX1
226,AP000282.2
227,AP000318.2
228,KB-208E9.1
229,RP11-838N2.5
230,AP000233.4
231,AP001347.6
232,RP11-142C4.6
233,AP1S2
234,AP1S3
235,APBA1
236,APBB1IP
237,APELA
238,APOD
239,APOE
240,APOL3
241,APOO
242,AQP1
243,AQP2
244,AQP3
245,AQP4-AS1
246,AQP6
247,AR
248,ARAP3
249,ARG2
250,ARHGAP10
251,ARHGAP15
