,0
0,A1CF
1,AARS1
2,ABCA12
3,ABCA13
4,ABCA3
5,ABCA4
6,ABCA5
7,ABCA6
8,ABCA8
9,ABCA9
10,ABCB1
11,ABCC9
12,ABCD3
13,ABCG8
14,ABHD11
15,ABI3
16,ABI3BP
17,RP11-226E21.4
18,PPP1R9A-AS1
19,AC003682.16
20,AC004076.9
21,CTC-524C5.2
22,AC004158.3
23,AC004160.4
24,CTC-542B22.2
25,AC004485.3
26,RP5-1101C3.1
27,RP11-269F21.3
28,CTC-490G23.6
29,AC004870.3
30,RP11-523H20.5
31,CPVL-AS1
32,AC003090.1
33,AC002539.1
34,AC005324.8
35,RP5-1021I20.5
36,RP5-1021I20.1
37,RP1-66C13.4
38,RP11-281P23.2
39,MADCAM1-AS1
40,PARP11-AS1
41,RP11-264B14.1
42,RP11-227G15.10
43,RP11-700H6.1
44,RP11-287D1.3
45,RP11-17A1.3
46,AC007040.11
47,RP11-166P13.4
48,RP11-396B14.2
49,AC007277.3
50,AC007292.4
51,RP11-437L7.1
52,RP11-99E15.2
53,AC007383.3
54,RP11-21B23.3
55,AC007563.5
56,AC007620.3
57,RP11-541G9.1
58,XXbac-B444P24.14
59,RP11-467J12.4
60,RP11-993B23.3
61,RP11-89N17.1
62,RP3-405J10.4
63,AC008440.5
64,CTC-490E21.14
65,CTC-508F8.1
66,CTB-113I20.2
67,CTB-5E10.3
68,CTD-2623N2.5
69,CTC-429P9.2
70,CTD-2197I11.1
71,CTD-2227I18.1
72,CTD-2366F13.2
73,CEROX1
74,ATP6V0D1-DT
75,RP11-426C22.8
76,RP11-432I5.6
77,RP11-481J2.4
78,RP11-58A18.1
79,AC009227.2
80,RP11-557N21.1
81,RP11-390P24.1
82,RP11-996F15.2
83,AC009404.2
84,AC009478.1
85,RP11-48B3.5
86,RP11-460M2.1
87,RP11-174G6.1
88,RP11-59N23.3
89,RP11-114J13.1
90,CTC-366B18.4
91,CTD-2192J16.20
92,CTD-2583A14.10
93,CTA-481E9.4
94,PGLS-DT
95,AC010761.6
96,AC018890.6
97,AC010976.2
98,RP11-1H15.2
99,CTB-178M22.1
100,SLIT3-AS1
101,CTC-260E6.6
102,CTC-360G5.8
103,CTC-471J1.11
104,RP11-13N12.2
105,RP11-114F10.3
106,RP11-219B4.5
107,RP11-16C1.3
108,RP11-395A13.2
109,AC012358.8
110,RP11-884K10.7
111,MYO3B-AS1
112,AC013271.7
113,AC013472.4
114,RP11-16L14.2
115,RP11-624L4.1
116,RP11-159D12.5
117,RP11-60A24.3
118,RP11-296E23.1
119,CTC-297N7.9
120,AC037445.1
121,RP11-115C21.2
122,MIR924HG
123,RP11-152N13.16
124,RP11-79E3.3
125,RP11-210M15.1
126,RP11-210M15.2
127,RP11-410E4.1
128,AC017074.2
129,AC018462.2
130,RP11-507B12.1
131,AC018647.3
132,UBE2D3-AS1
133,DNAJA2-DT
134,LINC02889
135,AC013463.2
136,RP11-196H14.2
137,RP11-666O2.2
138,RP11-2I17.4
139,CTD-2162K18.4
140,AC021218.2
141,RP11-779O18.3
142,CTD-2297D10.2
143,RP11-382A20.5
144,RP11-752D24.2
145,RP11-467L13.7
146,CTD-3118D11.2
147,ATF7-NPFF
148,AC023590.1
149,RP11-97C16.1
150,RP11-513G19.1
151,RP11-608O21.1
152,RP11-900F13.3
153,HEATR6-DT
154,RP11-571M6.7
155,AC025171.1
156,CTD-2035E11.5
157,RP11-611O2.5
158,RP11-196H14.4
159,RP11-1113L8.1
160,KPNB1-DT
161,RP11-297L17.2
162,TTC23L-AS1
163,RP11-318C2.1
164,RP11-398J10.2
165,RP11-463D19.1
166,RP11-723G8.1
167,RP11-792A8.5
168,CTD-2012K14.3
169,RP11-603J24.5
170,CTC-479C5.12
171,RP11-35J10.5
172,AC046143.3
173,RP11-39E3.3
174,RP11-546K22.1
175,RP11-150C16.1
176,RP11-12J10.3
177,RP11-654A16.1
178,RP11-675F6.4
179,AC069277.2
180,SUV39H2-DT
181,AC072062.3
182,RP11-317G6.1
183,AC073333.8
184,AC073343.13
185,RP11-458J1.1
186,RP11-302B13.5
187,RP11-977G19.10
188,RP11-977G19.11
189,SCAT2
190,RP11-184M15.2
191,AC093818.1
192,RP11-457K10.1
193,RP11-468H14.2
194,RP11-427M20.1
195,RP11-144F15.1
196,RP11-61G19.1
197,RP11-6E9.5
198,RP11-815J21.4
199,RP11-396O20.1
200,RP11-173D3.1
201,RP11-522B15.3
202,RP11-798K3.2
203,RP11-613D13.5
204,RP11-255M2.2
205,RP11-370I10.6
206,RP11-521M14.1
207,CTD-2309O5.3
208,RP11-566D24.2
209,RP11-1129I3.1
210,RP11-799B12.4
211,CTD-2054N24.2
212,LINC02742
213,RP11-111A22.1
214,CTD-2245F17.6
215,RP11-208K4.1
216,RP11-266K4.14
217,RP11-510J16.5
218,RP11-1275H24.1
219,RP11-1275H24.2
220,CTD-2288F12.1
221,ZNF566-AS1
222,AC133680.1
223,RP11-384F7.2
224,RP11-582E3.2
225,RP11-550H2.1
226,RP11-550H2.2
227,RP11-399E6.1
228,CTD-2528L19.4
229,RP11-374A4.1
230,CTD-2515O10.6
231,RP11-517I3.1
232,AC093627.12
233,RP11-218F10.3
234,ANK2-AS1
235,THORLNC
236,RP11-134G8.7
237,RP11-327O17.2
238,RP11-810P8.1
239,ARHGAP29-AS1
240,LINC02778
241,RP11-319G6.1
242,SAP30-DT
243,C1QTNF7-AS1
244,RP4-620F22.3
245,LRRC8D-DT
246,RP11-708J19.1
247,LGR4-AS1
248,RP11-557C18.3
249,RP11-126O1.4
250,CTD-2643I7.5
251,RP11-674E16.5
252,RP11-507B12.2
253,FLJ31356
254,LINCR-0001
255,VPS13B-DT
256,RP11-429J17.7
257,RP11-525K10.3
258,STIM2-AS1
259,RP11-538P18.2
260,RP11-1252I4.2
261,RP11-274H2.2
262,RP11-278I4.2
263,AC108488.4
264,CTD-2544N14.3
265,RP11-679C8.2
266,RP11-215P8.3
267,RP11-72L22.1
268,CTD-2013N24.2
269,RP11-371F15.3
270,RP11-622C24.2
271,RP11-143J24.1
272,AC108938.5
273,RP11-268G12.3
274,RP11-714G18.1
275,RP11-348J24.1
276,RP11-463I20.3
277,CTD-2503O16.4
278,AC116366.7
279,CTD-2095E4.5
280,CTD-3185P2.1
281,RP11-338K17.8
282,RP11-83A16.1
283,RP11-624C23.1
284,RP11-1000B6.8
285,RP11-678G14.2
286,RP11-678G14.3
287,HNRNPD-DT
288,RP11-127B20.2
289,RNF213-AS1
290,RP11-133F8.2
291,CTD-2349P21.5
292,RP13-726E6.1
293,RP1-178F10.1
294,RP11-10O22.1
295,RP13-516M14.2
296,NARF-AS2
297,RP11-22P6.2
298,CTD-2194A8.2
299,RP11-511B23.2
300,MIR4733HG
301,PSMD7-DT
302,RP13-582O9.6
303,RP13-582O9.7
304,RP11-223C24.1
305,RP11-1348G14.8
306,RP11-497H16.9
307,AF196970.3
308,AC142528.1
309,MIR325HG
310,THBS3-AS1
311,RP4-791M13.3
