,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
CCR7hi DC,WWP1,PER2,4930568A12RIK,PHF7,4930522L14RIK,TRAPPC2,ZBTB2,KLRB1B,IL15,MLST8,ITGA9,ZFP605,PTPN4,UTF1,AUTS2,PPIF,MARCH9,NRBP1,GOSR2,ETV3,FNIP1,METTL1,DNAJB5,LZTS1,OLFR259,LSP1,DSCAML1,AHCYL2,LAGE3,1700047I17RIK2,USP37,ATP4A,MMS19,PDE4DIP,CCL5,XPR1,SF3B5,KBTBD11,FBXL15,MRPL49,SHMT2,ROM1,TCP11L2,FAM234A,RNF115,AKR1B8,DCTN6,MVK,APOA2,FAIM,PRPF19,RHOC,IGSF8,SSSCA1,SSPO,PTH1R,CFAP20,RHBDD1,ZFP606,EIF1AX,RFC3,SPATA24,TROVE2,SNX21,NHSL1,CRELD2,PPP4R2,NHEJ1,GLCCI1,RAP1A,RAP2B,ADAM9,ZFP442,ZFP429,NUDT17,ADNP,ADORA2A,RBM14,NOSIP,ZFP319,RBM8A,RELL2,REM1,ALOX5AP,ALPK1,ZFP583,NDUFC1,RFLNB,OLFR373,NDUFAF7,NDUFAF3,RGL2,RAD51C,ANKFY1,NCK2,NCF4,ACTG1,ANKRD52,ANXA3,RHOX8,OPRD1,NADK,RILP,RIT1,N4BP2L1,MTHFSD,ACE,ARC,MTAP7D3,RNF170,ARG2,ARGLU1,ARHGAP18,ARHGAP39,RNF44,YIF1A,OSTF1,MORF4L2,ATAD2B,MLLT6,RPL36AL,RPL9,ABLIM1,ATP5S,PAICS,WFDC21,RPS17,WDR54,PAPSS2,MED17,MED13L,MDK,RSF1,RTN4,S1PR1,MAGI3,BMP2K,VPS18,VCP,LPCAT1,C330013E15RIK,VAMP1,PCBP4,LDAH,CACNB3,ZFP760,LCP1,QSOX2,CADM3,LAD1,KYNU,CAPSL,ZFP78,PCNX,KPNA4,KMT2C,KLF8,CBX6,KIF5B,KIF13B,SEZ6L,PDLIM4,KATNBL1,JADE3,CD200,PDZK1IP1,SH3BP5,ITPR2,ISCU,9130008F23RIK,CD36,ZFP850,CD63,SIN3B,SIRPB1A,SIRT4,SKIV2L,SLBP,ZFP870,CDKN2B,SLC17A9,PTPA,CEP85,PTMA,PFKFB3,IFI204,CERKL,4933424G06RIK,HYLS1,CFAP126,SLC2A1,HPS5,PTCRA,CHAC2,ZFP948,PHF11A,CHFR,HIVEP3,HEATR9,TTC8,TTC36,HAVCR2,CLU,CMTM6,H2-M2,TSPAN3,H2-DMA,PSME2,H2-D1,TSPAN13,COQ8B,CORO1B,SNTA1,SNX14,TRP53INP1,COX14,GPX1,COX6A1,GPRC5C,PIRB,TRMT13,SOCS2,TRIQK,4632428C04RIK,CRISPLD2,GNMT,GNL2,GNAI2,TRIM44,GM9776,CTSH,GM6377,2810408A11RIK,2810029C07RIK,PLAC8,CX3CR1,2610528A11RIK,CXCL10,CXCR5,SPRED1,PLBD1,SRC,TRAF3IP3,SRGAP3,PRPF4B,GM2A,GM28874,GM26882,GM26711,DAPK2,DAXX,GM26610,GM26541,PLSCR1,GM26535,ST8SIA4,GM17669,GM15326,DCUN1D4,DDX20,GM12066,STK35,TNIP1,DET1,TNFSF12,TNFRSF9,TNFRSF4,GJB2,GCLC,TNFRSF10B,GBE1,DKK2,SYAP1,SYNPO2,FSCN1,PRIMPOL,DND1,TMEM251,FCER2A,TMEM198B,FBRS,FAM89A,FAM71B,FAM46C,TMEM158,FAM213B,ECT2,TESC,FAM129C,FAM117B,TMEM123,FAAP20,TMCO4,PPP1R11,TMCC3,ELL2,TLE2,ENO2,EPM2AIP1,KLHL21
Monocyte,ZFP516,SLC6A6,STAT5B,GM26720,KPNA3,CD5L,GM28557,A430073D23RIK,AA467197,GM17430,CCP110,RPL21-PS4,USP1,GLCCI1,GM20186,RPL9,GBP5,URB2,GATC,ROM1,RNF144A,TATDN1,RND1,GM37168,RGS11,ZFYVE16,UMAD1,GM43062,S1PR5,4933406P04RIK,4930579G24RIK,GM5148,FOSL1,FLNB,RASSF8,TESC,GPR157,4930568A12RIK,GYPA,ADAM11,FKBP3,RAB8B,4930562F07RIK,TFB2M,FCGR2B,UBD,CADM3,HECTD2,SH2D3C,PSME2B,PRUNE1,ADPRM,HIST1H4H,HIST3H2A,3110062M04RIK,TYROBP,HMGXB3,CDK9,ZFP952,HPGD,CDON,FAM13B,HSPA9,TIGD2,IER3IP1,CDPF1,FAM114A1,IKBKG,POU5F2,BEX1,SLC16A14,ERF,POLG2,EML4,SLC5A3,CHAC2,ZFP526,CHAF1A,KDM4C,PIK3R4,SMPDL3B,KLHDC4,SNRPG,SNX5,CHORDC1,SPCS2,ZFP59,PICK1,XDH,PEX12,LIMA1,DNAJB3,PER2,PER1,DNAJB2,ANKRD35,ZCCHC8,B4GALNT1,CLCN7,TRIM13,CLEC4A3,SRSF3,SSSCA1,PDCD10,STK35,MAPK1IP1L,ANP32E,TRAPPC2,CPSF1,DDX55,D630036H23RIK,TRA2A,AP2S1,APBB1,CNNM4,ATP4A,STAG3,API5,TMEM71,CNR2,CYB5D1,ARHGEF6,NIPA2,TMSB15L,MS4A6B,NDUFS1,STK10,MTMR4,NAPSA,TNFRSF23,MSRB1,MPHOSPH8,MOCS2,ARL15,TMF1,MOB3A,MLXIP,NOC2L,ATG14,NUMA1,ARGLU1,NUP54,NUPR1,OAF,TMEM33,MFSD4B4,ATP5S,ORC5,METRNL,TRAK2,OSTC,OSTF1,PAF1,MBLAC1,PAIP2,MAPRE3,PAPOLG,TREM3,PDZK1IP1,TREML4,MAFK,B4GALT6,LY6I,LTC4S,LILRA5,ANKRD11,PFDN5,ANKIB1,KPNA6,TMEM150A,PGM3,BAZ2B,KLRA2,KLHDC9,KDM5B,PILRA,PILRB1,KDM1B,PLPPR2,PLS3,KBTBD6,ZFP90,TM7SF3,PNCK,PNKD,TLN2,ITGA9,TSPYL5,ISPD,IFI35,PPARG,PPM1H,IFI203,HSPE1,HSD11B1,TIAM2,PRKCDBP,AFMID,HP,ADSSL1,C5AR1,HIP1,HEPACAM2,HEMK1,HCK,PWP1,HCFC1,TEX15,H2AFJ,H2-EB1,RAB9,GNMT,RAP1B,UBR7,UBTD1,ACE,ACBD4,GM9242,RCHY1,GM45043,ULK1,CC2D1B,RELB,GM37933,RNASE4,CCDC158,GM28556,RNF180,RNF19B,GM26830,GM26522,RP24-175C20.18,ABCA17,CCND2,USP2,RPL23A-PS3,GM15326,RPL3L,RPL8,GM13564,GCHFR,RPS2-PS6,RRAS,9930111J21RIK1,RREB1,ZMPSTE24,5730480H06RIK,CD300E,FRMD6,RUNX2,FRMD4A,4933424G06RIK,CD68,SBF2,FPR2,VEGFA,FFAR4,FFAR2,FCGR4,TAF3,4632428C04RIK,FCGR1,TACSTD2,FAM71B,FAM60A,VSIG10L,FABP4,SLC16A3,WDFY3,ZSCAN18,EML5,EIF2S3Y,SLC35B2,EGR3,CFL1,E130309D02RIK,DYRK3,DYRK1A,SNN,ZDHHC3,CHKA,DUSP22,SUB1,SPACA9,DOK3,SPIDR,1700037C18RIK,SPN,CLCN1,SRD5A1,ZCCHC3,1190002N15RIK,XPO6,DHRS3,ZC4H2,YPEL3,YRDC,STARD8,CYP4F18,MBD6
Siglec-H DC,PSMA1,CCNG2,MDN1,GCHFR,CARMIL1,PTGES2,ARC,SNX22,BANK1,CD86,ALG9,SOAT1,LENG9,PI16,SLA2,SKIV2L,LY6I,LTN1,AP2A1,LEFTY1,LYRM5,CD8B1,SIN3B,CD9,TREML2,SOX4,SIGLECH,CD209D,PFDN5,SPACA9,GSR,LAG3,TUBA1A,MAGED1,GSTO1,TRAPPC5,LACTB,TUBB3,GTF2E1,SNX18,SPN,EXOSC5,CYP7B1,BLOC1S4,FAM83E,TRAFD1,TRAF4,SGCB,PDIA5,DTX3,ACADS,SRA1,KREMEN1,SRGN,TXK,ZFP429,MAP2K5,TPM4,CMTR1,YME1L1,YLPM1,SF3B1,GM2004,H2-DMB2,ETV3,CYP4F16,LGALS1,DMWD,PREB,POLR3F,PRG2,TOX4,DAB2,SEPT4,KLRD1,2810408A11RIK,CCR1,ESD,PRKCDBP,FAM46A,SELPLG,DVL2,AKR1B3,CDC5L,SEC61G,KLF6,STAMBPL1,KLF2,CRLF2,D16ERTD472E,SNTB2,UBAP2,APOO,CD300C,CLCF1,GPRASP1,MCC,STIM1,GM13564,KLC1,ATXN7L3,PIGU,GM12066,PSMC2,SNRNP70,HCFC2,UBE2D2A,STRN3,MDH2,ANXA9,ZFP146,TSPYL5,HDAC3,GM10250,STX3,CYCS,2310057M21RIK,CREM,GM4631,ZC3H12D,KIF1BP,SCN2B,PSME2B,ZDHHC14,DNMT3A,PSRC1,GM10036,SUGT1,AK8,TNFSF10,PTCD1,MEF2C,PTCD2,HELZ,GM4724,SUZ12,WLS,WIPI1,SYK,3222401L13RIK,ZFP119A,SYNE1,SARAF,TNFAIP8,BTG1,EPM2A,FCOR,HERPUD1,GPM6B,PTOV1,COG4,TSPAN33,PTP4A3,CLPB,PTPRCAP,PUS3,SAFB,KAT6A,BUB1B,MFN2,POLH,GIMAP6,BCDIN3D,NUDT22,TRIQK,ACTG1,SAA3,CD81,CLEC12A,HILPDA,GM5141,BAZ1A,TAGLN2,ACTN4,RYR1,FDXR,JUND,PLA2G16,UBOX5,UBR2,RUNX3,GOLT1B,TAP2,RUNDC3B,A430105J06RIK,JADE3,MMD,HIST1H3A,NPL,AI606181,ATP4A,ZFP942,DCAF17,RSAD2,RILPL1,GNE,NOP58,TBC1D17,ZFP952,ITGA9,CHAC2,CD7,CYB5D1,NNT,PLD4,AHRR,ATOX1,MORF4L1,GAN,COQ8B,RALGPS1,FGL2,WAC,TCF4,PNCK,NIT2,A330009N23RIK,DENND6A,CSF2RB,RASGRP3,TMEM267,RBM12B1,RPS23,HNRNPA0,CADM3,HNRNPF,AGPAT2,DEFB25,GABARAP,TEX2,G3BP2,EFNA4,RPP21,FILIP1L,CRYZL1,UPF2,1110008F13RIK,SMG5,SLC52A2,RPL23A-PS3,EGR2,VPS37B,HPSE,DDX58,ATAD2B,4933404O12RIK,TIFA,NECTIN2,CAMKK2,IMPDH1,ANKFY1,RPL13,RBPMS,FTH1,CCDC114,ARID5A,RC3H1,FSCN1,ADAM23,CTSW,VMAC,TIMM8A1,USE1,RP24-122D14.3,MSRB1,MT-CYTB,TIMP2,NATD1,RETN,CEP89,IDH2,ARXES2,ADORA2B,TMEM176B,MTA2,TMEM176A,IFI205,CEP78,PLEKHF1,MTAP7D3,SLFN9,CBLB,SLC7A6,IFI27,IFI27L2A,CEP295,EIF4E3,ADGRG6,DDHD1,MTRF1,TMED3,SLC8B1,UTF1,MYL4,ADCK5,TMEM106B,RIBC1,ADAT3,UVSSA,LOXL2
cDC1,NSMF,RAB39,ZFP626,DMTF1,AP2B1,CDC42EP2,S100A11,DPF2,CST3,ZFP24,SIRPB1B,KLRD1,TYW5,KMT2C,CEP76,NUDT21,STARD10,TMEM181A,NFIA,LCLAT1,DHRS7,OSBP,ZCWPW1,1110012L19RIK,RPL11,TALDO1,HPF1,CSRP2,PRMT2,VPS8,QDPR,RPL37A,KLHL12,ADAM19,RHOG,MS4A6C,ABHD13,CHD3,WDFY1,CFP,TBC1D24,PUS7,PITPNC1,ATP5G2,CCDC138,PEX5,PRDM10,BCL2L2,PLA2G16,LSG1,IL2RG,RABL3,POU5F2,MFAP3,WFDC17,SEMA4B,GNA15,CADM3,MTMR10,PNPLA8,CYFIP2,ITGAD,METAP2,IL15RA,SLC39A14,ADAT3,E130208F15RIK,DNASE2A,1810022K09RIK,SEPT9,CD63,BC025920,TROVE2,DUSP28,GM15889,TTC30B,GADD45A,POLD2,CXCR4,SMO,PARP1,CALHM2,MFN1,TRAPPC2,UBE3B,TMEM218,TSPAN5,TEX2,ARHGAP26,DUSP6,WWOX,ZFP598,NCAPG2,FAM162A,GM26910,CTSC,TMEM86A,PHF2,NDUFAF8,CTSH,CAMK1,SCARB2,GM14419,DNAJC24,CD9,GABARAPL2,SH3BGRL3,LIMD2,PTGR1,NME7,PLA2G12A,GM10073,TMEM176A,TMEM176B,IKBKAP,ATOX1,CCM2,OLFM1,SLC25A13,AGPAT3,SLC25A22,UBE2H,AMIGO1,CLEC10A,HMG20A,RNF11,CTNND2,CDCA5,KCTD12,RHPN1,RGS12,JUN,SLC35B1,CD8A,CXX1A,CXX1B,CD7,ZFP516,CD5L,SLC39A1,RECQL5,ZFP41,CD36,SLCO3A1,HDAC8,CD24A,CD209D,9930111J21RIK2,CCT2,A530099J19RIK,RORA,ZFP26,RAP1A,HMOX1,DCAKD,RAD21,RABIF,RAB7B,ZFHX2,LAD1,H3F3B,SNX24,H2-D1,QTRT1,ITGB3BP,CCDC180,GUSB,PYGO2,ABHD14B,PTPRA,SPN,ZBTB8A,ABL1,PSMD6,GTF2E1,PSMA5,SIK2,CAR2,DLGAP4,DMAP1,CAR1,CPTP,ZBTB18,RPL36,LMNA,IRF8,ACACA,CENPP,LPAR6,CAMK1D,CALM2,CADM1,RPLP2,PRDX4,2310031A07RIK,GPR171,PRDM15,C330027C09RIK,C330018D20RIK,GPR157,PPT1,RPS24,XCR1,LY6I,COTL1,WRAP53,BTLA,WHRN,GOT2,POLR3D,POLR2E,POLR1B,CERS4,PLVAP,RPS9,GNG5,PLPP1,E130102H24RIK,E2F2,PLCG1,COPE,BEX6,PKN2,AFF1,MCEMP1,SERPINF1,EED,PIGN,PIGF,TCTEX1D2,BC028528,PIANP,EIF4E3,TFRC,ELMOD3,ENAH,METTL7A1,B3GNTL1,PDPK1,PDIA5,B2M,MIER3,AW549877,ESPL1,TMEM104,TMEM108,PARP11,ATP6V0E,MOV10,MPEG1,TMEM168,P3H3,P2RY14,S100A4,TMEM177,P2RX7,IL12B,SELENOP,OXCT1,CHTOP,FAM117A,ZNRF1,IFI205,TMEM41A,ATAD2B,AMZ2,FAM219A,GCSAM,CLSTN1,TYROBP,FAM76A,IFI30,TNFAIP8L2,NRG2,1110037F02RIK,ANKRD33B,FBXO4,ANKRD50,CISD3,FBXO42,FCER1G,TOR1AIP2,SART3,SAT1,CKB,MYL12B,SBF2,IFITM3,ARHGDIB,FGR,NAAA,NAGA,TSPAN32,NEURL1B,CLEC9A,TRIP4,FTH1,CLEC4A2,APOA1BP,TRP53I13
cDC2 Mixed,YARS,PSTK,FAU,MTBP,STK10,4930532G15RIK,GPR162,TNFAIP3,XRCC1,TRAPPC8,CNOT9,TRIM32,CCT3,ACAP1,APH1A,TMEM189,EIF2AK3,MCPH1,ZFP292,WDR45,RHOX8,IL13RA1,RIN3,KIT,RNASE6,MKLN1OS,EDEM1,TMEM106C,GGACT,IL1B,GFRA2,PTGS2OS2,1810062G17RIK,E430025E21RIK,TPCN1,SH3BGRL3,BCO2,GBP7,PARP10,CRIP2,AGBL5,RPL28,UBE2E3,RPL39,OSER1,IFITM6,RPL9,CDC42EP2,ZNRF3,NEMF,OAS1C,TACC1,NUDT16,CD86,CNNM3,FKBP8,IPP,CLPP,NOC3L,ARHGEF3,H2-AB1,ZFP426,ZFP992,CNR2,HK2,COTL1,SCEL,TIMM8A1,TIMM8B,RPS27L,CLIP1,RPS27A,SDHAF2,ALG2,AHR,SEC61G,ORC6,BC043934,TEP1,BCDIN3D,RPL37A,ILF3,FAM172A,RPL21-PS4,NAIF1,PAPSS2,BCL2A1A,PBX3,ZFP36,AU019823,TXLNA,ETV3,PDZD11,RP24-496O17.7,ADAMTS6,MTERF1A,GM12166,CTSA,HARS2,GM12840,TTC36,IL16,ATP13A1,SIAE,RHOA,SIPA1L1,WIPF1,SIVA1,SLC1A4,EHF,CYB5A,KMO,EGR3,PNRC1,1600002K03RIK,2310035C23RIK,POLK,KBTBD11,ASB2,2310061I04RIK,GM35315,SLC44A2,DAG1,DAO,IGFBP6,SLMAP,ZBTB22,STX7,RABGGTB,GPR137C,DDX6,PPP1R9A,GNAL,DSCAML1,DPP4,TPR,TNFSFM13,ARHGEF12,GPKOW,LYST,DNAJB3,TCF3,TOMM70A,MALT1,TPM4,DGKE,DESI2,DENND4A,ARHGAP27,DUSP5,ARMT1,RAB8B,DDAH2,PPP1R12B,DCUN1D3,DCN,E130102H24RIK,E230001N04RIK,TRIM62,TRIM65,HEXDC,KBTBD6,ECHDC1,D8ERTD738E,POLB,TMEM256,RBM12B1,RBM43,TRP53BP2,REL,CXCL10,PIM1,PIK3R1,ZFP866,TMEM17,RHEB,AP1AR,JUND,JUNB,JRK,TTC25,RILPL1,HAUS6,PHF24,EPM2A,ANTXR2,TTI2,CTNND2,CTDP1,ERCC6L2,PFKFB2,ANKRD9,PCYT1B,ANAPC16,FAM160B2,H3F3B,UBC,HIST1H4F,P2RY10,UBE2G2,FAM76A,RPLP2,LBH,RPS24,NUP54,NUP133,RPS9,NUDT7,H2-EB1,4831440E17RIK,FBXW4,NRDE2,FFAR2,S100A11,S100A4,FGFR1OP2,GZMM,UQCC3,SAMD4B,CMPK2,CLU,URGCP,TGM2,SCD2,ZFYVE28,HMGXB3,NLRP1B,FOXJ3,SCN1B,USP28,FUNDC2,SEL1L3,UTF1,CLCN1,FYB,SEMA4B,NDEL1,AGO3,ZFP36L2,CHKB,GCHFR,SGOL2A,ZFP366,MYH9,SHCBP1,BICD1,TBC1D8,ADCY7,GM13166,GM13564,ZFP3,GM16998,CH25-588N10.2,ACE,WNK1,SLAMF8,MNDAL,TAP2,SLC2A6,GM28874,BORCS5,GM37494,ABCG3,GM43254,SLC5A6,5730455P16RIK,SLC6A13,YWHAZ,CD83,ZSCAN18,ZBTB10,GPR34,CD37,HSPA1A,SMEK1,CD244,LTB,BTG2,BTNL2,SNX29,GPR183,ZBTB3,ZUFSP,ZBTB45,GNB1L,9930111J21RIK1,IFIT1BL1,IFI30,MAP7,SPINT1,SRM,CALHM2,SRP54B,MAP3K14,SRSF10,MAP2K3,ICE1,SRSF5,GPATCH1,MALAT1
cDC2 Tbet+,CCRL2,LARP7,LETM2,RBM45,CDK16,HSH2D,RGS10,UQCC3,CD300LF,ZFP260,SSRP1,PSTPIP2,GM3550,ARF1,ARSA,TRIM23,GNGT2,4632404H12RIK,DGAT2,CD7,STK17B,PCBP3,LDLRAD3,BCL2L12,GUK1,SNRPB,VPS13A,BUB1B,SH3TC1,GM16576,S100A10,MASTL,DTX1,RAB35,ERRFI1,KHK,TES,TYROBP,MELK,DESI2,SFPQ,SLC38A1,SEC22C,FBXL5,AI837181,TOMM40,WFDC17,EGLN1,ASCC1,TOPBP1,IFI27L2A,SLC12A4,NDC80,CACNB3,GSR,NBL1,CLCN6,PLK3,ACSL1,LYRM9,TACO1,CSF1R,CNOT6L,VPS37A,RRAS2,FAM134A,PCNA,TNFSF13B,MED13L,RPS16,RHOB,HYAL1,CXCL16,SAYSD1,IGFBP6,COPA,ZFP953,NEURL3,MDM1,ADAM8,AAAS,ZFP950,CLIC1,E2F1,A430005L14RIK,AACS,LDB1,VAMP4,SERPINA3G,FAM118A,H2AFY2,FAM222B,FAM234A,PMM1,PPID,PLBD2,ZXDB,CEBPG,DHFR,SOWAHC,STAP1,SLC6A12,ARF2,MCOLN1,HOOK2,SVIL,MCM6,AP5S1,UBE2E1,MICU1,SPOP,AGPAT4,HNRNPA0,TLE3,SLC4A2,RRS1,TMEM248,CST3,PI4KB,MT-CYTB,FTL1,TLR1,HDC,SRSF7,CHSY1,GM6377,ISCU,GCSAM,MS4A6C,GPR141,HIVEP1,CWC25,ARHGAP6,FBXO5,SLC12A9,ACTR1B,RAD51C,ZRSR2,ZMYM2,INPP5D,PKNOX1,MIR17HG,INSL6,SPECC1,LIPO3,6030458C11RIK,TMEM176A,BACH1,RETN,YEATS4,IPP,MAPKAPK3,NUP98,MKKS,CASS4,IRF8,STAMBPL1,GRB2,DNAJC12,FIZ1,MAP3K7,ZCCHC17,P2RY14,RNF41,CYGB,OS9,TSEN54,PHACTR4,GLIPR1,D8ERTD738E,TMCO4,OLFM1,TMCC3,HGS,SEMA4A,ZFP868,RAB2A,2310022B05RIK,DCTD,FSCN1,GM9803,PAGR1A,GM9493,FFAR2,RAMP1,DRAM1,NR4A1,COTL1,SFT2D2,PLAC8,CHRNE,SPAG9,NOD1,S100A11,CD84,HSD17B4,HSP90AA1,E2F6,NFKB1,TNFRSF12A,RCBTB1,TNFRSF13B,GM26699,RRM2B,BMPR2,ZFP414,PSMD14,RBPMS,NCOA4,PLEKHO2,PPP1R8,HAVCR2,IFI27,IFITM1,IFITM6,FBXW2,USP6NL,PRKACB,LYZ2,GM14548,LZTS1,GM14305,CDC27,THAP11,HACD4,CD83,H3F3B,ACP2,DENND4A,TGM2,ANKRD12,EIF4G2,KLRB1B,TRAPPC6A,IL1R2,IL1RN,CLASP2,TRIB1,IL2RG,ENAH,PFN1,LZTS2,PGLYRP1,ADAT3,CPSF1,MRPL4,ERCC3,RNF34,CLUH,INTU,PGLYRP2,RAD50,MOB4,POLR3A,CAMKMT,ETS1,TSPO,TDRD3,MAGT1,RBBP6,GTF3C2,GPR35,PSAP,ALDH1B1,SUMO1,RPS27A,SNRNP27,PPP1R14A,RAC2,SUCLG2,TTPAL,CMTM7,AIM2,AIF1,CEBPD,PPP1R12A,MED31,UBA52,A930011G23RIK,MDH2,JOSD1,TCF25,ACADM,RPL23A-PS3,PI4K2A,GRN,JUN,KAT5,RTN4,PIK3R5,BRCA1,SLC25A53,SIGLECH,CD37,SNRPC,RPLP0,YARS,MAPK14,SLC25A25,KIF15
cDC2 Tbet-,NGLY1,ACCS,CCR9,EBI3,STRBP,CD36,1110059E24RIK,RNF103,NMI,IFI47,PCNA,PARD6A,CHD6,FCHSD2,CEACAM1,TBL1XR1,TXNDC15,MS4A7,TIMM8B,SNUPN,IFITM3,NR2C1,CXX1A,NKIRAS1,TPD52L2,CPT1A,SLC36A4,ZUFSP,CFAP126,S100A4,LSM14B,ZFP871,GPR83,ATG13,QPCTL,TBC1D13,CACNA1S,ZWINT,IRGQ,TTC7,BBC3,MYB,TXNRD3,DNAJB1,RNASE6,NUP210,TATDN2,B4GALT6,FCER1G,SPECC1,RBFA,SUN2,G3BP2,NIPAL3,CRYBG3,ANKRD12,APOL7C,DMKN,ZFP442,NCOA3,RAP2A,ATG4C,TCF19,HPGD,PRKCSH,NCOA7,STK38,HDDC3,PANX1,RANGAP1,KRTCAP2,SP140,SMUG1,MIOS,SULT2B1,ANXA6,9330151L19RIK,TRP53INP2,POGLUT1,PEX6,B630019K06RIK,TACSTD2,PTPRJ,EXOSC4,2310031A07RIK,RPL6,RPL4,MED22,SNRNP35,PIK3IP1,ANKRD52,PRR5L,LIMS1,CAB39,MAFB,PTPRC,RPS7,ITGB3BP,DAB2,AK2,ZKSCAN3,CASP2,FAM45A,DNAJC11,EP300,PRDX2,PXDC1,GLS,H2-M2,MRPL33,STX11,BRI3BP,DNM1L,TRIM6,PLBD1,IL10RA,ARAP2,SMIM8,SNX15,PTGIR,PDIA5,RLF,CXCL9,ACAA1A,NEK3,FAF2,SERPINB6B,RNASEL,S100A11,MIA3,GNAL,TSPAN32,HABP4,PPFIBP2,CX3CR1,RHOG,UBE2J1,MICAL2,APOE,POT1B,MS4A6C,S100A6,RASIP1,GM2A,CCL6,CCL9,SZRD1,ATP2A2,RPL38,APOBEC1,FCGR2B,IL1RN,ODC1,PPIL1,RIPK1,RPL24,ING1,GPR171,4930568A12RIK,MGL2,MGAT1,TNIP3,RIN2,TIMM21,MKRN1,CYSTM1,CLEC9A,XCR1,FTH1,MFSD4B4,MLEC,CLEC4B1,TNFSF9,LSP1,LST1,SIN3A,3110043O21RIK,TRPS1,LTB4R1,PGLYRP1,HSDL2,CCR7,CLEC4A3,LMTK3,SIGLECG,VEGFC,FCER2A,CLEC4A1,CDK2AP2,RPL13,RAPGEF1,PFN1,LY6E,UBE2B,NINJ1,KCNE3,TICAM2,ADAM23,NIF3L1,CLEC10A,LITAF,WFDC17,TNFRSF12A,CCDC109B,LYPLA1,TRMT112,PROSC,CTSS,RBM19,ATN1,FBXO42,SYNGR2,LILRB4A,SRSF5,NAAA,LYZ2,CCT7,PEX14,TMEM176A,TMEM176B,LGMN,PRR13,CYBB,NPC2,RNF19B,PYROXD1,ITGB5,RPS9,CD74,CD209A,H2-AB1,N4BP2L1,TMSB10,PSAP,RPS4X,BATF3,TYROBP,NPY1R,TBC1D4,H2-DMA,ABCA9,ARL5C,ALG6,RNF43,RPS24,H2-DMB1,CD24A,H2-EB1,MCEMP1,TMEM208,SPRED1,FAM213B,CARM1,TGFB1,STRN,GCNT2,CSF1R,CD300C2,CUTA,CAR2,RP24-167A12.1,H2-OA,DCTN3,SF3A3,ID2,FKBPL,SPINT2,PLAC8,NR4A1,SEC22B,CD302,RNF6,NTPCR,WDFY4,PLAUR,OSM,SEC61G,ENO3,MS4A6D,PTAFR,1110051M20RIK,CHST2,TALDO1,RAB7B,TRIM33,GALNT12,RAB6A,ACADVL,SELENOP,ALKBH8,MRPS7,ERN1,LAMP1,PRKAA1,TET3,SEPT1,RPS16,TARM1,PLEK,HACD4
