,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
CCR7hi DC,TBL1XR1,EDA,TMEM144,PPM1L,KCNG2,GMEB1,RGS12,AIFM1,CCDC125,SNTB2,PPP1R13L,SGIP1,SCIN,FANCG,RPS25,EHBP1L1,6430548M08RIK,GINS1,USP42,UTP23,IL4I1,SAMD11,SOD2,ZSCAN18,GM26981,GEN1,CDIPT,VSIG10,TNS4,QRSL1,GM26720,ZFP772,PDZK1IP1,TSHZ3,HIST1H3B,ATP6V1C1,SLC6A20A,GM5160,SERPINA12,TARBP1,PSD,CALM1,TMEM132C,TMEM267,TNFSF15,PYCRL,S1PR1,LDHA,CRACR2B,FBXL4,SLC27A2,KIF3C,UGT1A7C,ELP4,GM14410,BORCS8,ZFAT,SYMPK,SPEN,SUPT4A,ERBB3,RASGRP1,GCA,PHLDB1,PHKA2,FKBP7,SYAP1,KLHL35,GOLPH3L,PHF24,NUP210L,EPB41L4AOS,MRPS6,KRT18,LARP1B,SYNPO2,ACTG1,TIMM8A1,TMEM19,TACSTD2,PISD,SETMAR,BC005537,PSMB9,CCDC78,SMAD4,FZD5,GRIA3,CYP2AB1,LIMA1,RECQL4,GTF2H1,NPY1R,2210417A02RIK,FAM213B,GM7967,LIX1L,SLC8A1,RCSD1,D830044I16RIK,PEX3,CCDC117,USP54,OLFR1369-PS1,BC043934,OLFR212,RNF41,APOA2,1700029I15RIK,DCLK2,S100A5,RNF26,TBC1D22A,SLC39A14,1700022N22RIK,4930524J08RIK,TSPAN13,GM37168,H2-M3,CAPSL,KCNAB1,GM29336,GM28874,TMEM198,GM28043,GM28041,PORCN,AGPAT9,UBE2G1,NAP1L3,ZFP41,B230312C02RIK,GM26711,GK5,PPM1J,FCRLB,A430033K04RIK,ZFP239,2810021J22RIK,P2RY13,NLRC3,HIST1H3A,SSPO,VWA3B,VWF,DLL4,UBXN11,CDKN2B,GM15892,CDT1,ZMYND15,LYRM7,SEMA6D,GM15228,ARG2,CELSR1,CACNB1,9030617O03RIK,TMEM202,FHOD1,PCBP4,RRNAD1,PRG2,ATP5J,ARHGAP39,DOCK1,SEC1,MAPK14,SLC25A29,CHKA,RHOC,ZFP94,IFI44,EPS8L2,SPATS1,GM10655,DSCAM,IL12B,GLUL,MEX3A,TREML2,PRNP,MFGE8,BMP1,GM14418,PRRG4,GM15326,NID2,GM17324,NKX1-2,GM26620,LTA,GM37933,4930507D05RIK,IGFBP6,LITAF,RP23-242K3.5,GNG10,TTF2,GNG11,TAB1,GPAM,DUSP9,SHISA5,PHLPP1,SWAP70,ANKRD35,CROCC,TM7SF2,KIF18A,ADTRP,CORO1A,H2-DMA,PDGFRB,PCYT1B,STAM,TMCC3,IER3,3110070M22RIK,TNFSFM13,AKAP17B,DBIL5,CC2D2A,EFNB2,EFNA2,3222401L13RIK,TMEM123,FSCN1,TPPP3,GEMIN4,PSMB8,TICAM1,GLCCI1,GLIPR2,DSCAML1,6330408A02RIK,2610528A11RIK,TEX15,TMEM158,DKK2,GM26590,GM2A,TALDO1,PLAT,CXCR5,PIGV,GPX1,CRISPLD2,PFKFB3,ADORA2A,FAS,H2-AB1,STK38,HEATR9,CLU,PCGF5,PCDH1,FAM89A,SRC,PATZ1,IFNGR1,ENO2,INO80DOS,INSM1,SOCS2,CDK5R1,1700102P08RIK,TNFRSF9,TNFRSF4,ITGAE,FAM60A,OPRD1,SNX13,KBTBD6,CD63,CD200,1700030J22RIK,KLHL2,NUDT17,ZDHHC15,TNFRSF10B,LRMP,LSP1,ARC,NID1,ARHGAP22,SLC29A3,CACNB3,SLC22A17,MDC1,MDK,MDRL,WFDC21,RBBP9,FAM129C,SHARPIN,MRPS5,ATP4A,EXD1,GRAP
Monocyte,GPRC5B,AK8,RFX5,9930111J21RIK1,FAM161A,TRIM14,CMAH,FCGR1,MAT2B,ABHD4,CLCN1,GGACT,NUPR1,C130050O18RIK,XNDC1,MFSD2A,SLC12A8,ZFP341,TPCN1,SEMA4C,XKR5,SGIP1,GM15234,MFSD4B4,VEGFC,1810062G17RIK,TACSTD2,RPL3L,RP23-162P10.8,RP23-212M11.1,MGP,GM26511,EPHA2,FNDC10,GM36445,SAP30,REC114,LSMEM1,DNAJC10,WDR25,RHOX8,SLC27A2,NECTIN2,YPEL4,MAGEE2,PLATR27,TMEM198,F10,GM26542,2700012I20RIK,F9,GM26563,SLC2A12,ABLIM1,ZFP526,OLFR212,ZFP54,KCNAB3,KCNE3,KCNH4,IGFBP6,ZFP286,GM26761,DNAJC28,RPL36AL,KLRE1,GM26885,SDK1,ZFPM1,GM27017,RASSF8,SCML4,2200002J24RIK,GM28556,GZMM,GM29440,GM19590,ZFHX3,9130213A22RIK,CXCR4,GM35315,3110070M22RIK,TMEM65,PHLDB1,GM42595,GM44512,TNFRSF1A,AKAP5,GM44751,MAP10,SRC,MAP1B,TOP3A,CNBP,1700029J07RIK,HSD17B14,ZBTB5,TREML2,FGGY,GM4924,CLDN12,MDGA1,MED14,PEG12,TSHZ3,FMR1,FN1,SPATS1,MGST1,ANKRD10,FOPNL,SHCBP1L,FOS,MILR1,3300002I08RIK,PSMB3,SLC6A20A,SLC6A20B,CDK5R1,RUBCN,NID2,MRM2,UBE2D1,GM8973,PRIM2,MSN,CAGE1,UOX,GEN1,SFXN4,AQP11,AQP9,PPP2R5C,ARAP3,HERC6,BTNL2,MXRA8,BMP1,ZSWIM3,BEX1,HIST1H2AO,NFE2,POP4,GPATCH1,WDR59,P3H4,HHAT,GM12689,ARL4D,GM12258,GM10655,ZFP81,GLCCI1,SMIM19,GM14221,SMYD1,GM14327,GEMIN4,GM14418,GM15228,S1PR1,GAS2L3,GM15326,FSD2,HMGXB4,SPACA9,ZFP869,5330439K02RIK,ZFP661,GM16548,HPGD,HYAL3,ZFP874B,OLFR777,GM19325,ZFP93,ZFP605,FAM187B,GM1976,OLFR552,GM2004,RPL39,ZFP59,IFT74,GM20878,IGF1,ZFP57,STFA2L1,HAUS6,F930017D23RIK,STK26,STKLD1,ETFBKMT,ERP27,2700016F22RIK,INCA1,EPB41L3,GM26590,IRGC1,SLC2A9,RNF217,ITGA9,RNF180,SLC29A2,RNF144A,EHBP1,KBTBD6,RHOV,DUSP9,KIF14,DSEL,DOK4,DNAL1,KLRG2,DLGAP3,RDH5,DEGS1,SLC23A4,SDR42E1,SLC22A4,GM26981,ADCY9,SLC22A17,SLC1A4,TMEM138,RASL12,DCLK2,RASD1,D930048G16RIK,ZFP11,D6ERTD527E,ZFP105,D030025P21RIK,RALBP1,CUEDC1,AGER,LTF,GM42641,GTF3C3,AGRN,GM4349,SEL1L3,AHDC1,AHRR,TMEM8B,ZDHHC15,CTDSPL,MAGI2,TNFRSF22,TNNI3,MAPK12,SELENOK,TOX2,1700041G16RIK,COMTD1,MARCO,CMC4,1700029I15RIK,PTPRCAP,MDRL,MEX3A,CERCAM,TTC21A,PLEKHF1,TTLL3,GM527,CDKL5,NLRC3,ZP1,CD93,CD70,GM7102,NKRF,AOC2,MPPE1,APBB1,GM9242,PLPPR2,CATSPER2,CALCB,C5AR2,PPP1R13L,GNG7,BICD1,PCYT1B,UTP14B,SETMAR,GPR85,PPM1N,BCL9L,MYZAP,GOLGA7B,SERPINA11,BARX2,VSIG10L,GPR161,ATP8B4,WDR46,NETO2,RNASE4
Siglec-H DC,OSBPL9,TSSK4,XCL1,FDXR,ADM,ZFP993,RAMP2,SLC25A15,ZFP36L2,MCL1,MAGED2,CCDC51,EHBP1,PLXNA1,LRFN1,P4HTM,SPECC1L,BORCS6,MRPL1,LRRC3,TNS4,CTDSPL,PPP1R13L,SMARCA4,SLC25A42,DZIP1,CD82,LEFTY1,LYL1,E130309D02RIK,PROS1,SIRPB1B,B230317F23RIK,HS6ST1,RPUSD2,PRKCDBP,ERBB3,SLC27A2,SOCS1,CARMIL3,NUCKS1,KCNH4,INVS,STARD10,AUTS2,GM6904,ALS2CR12,AHRR,GM2004,CCL17,GEMIN4,CXCL16,TFE3,IFI44,GM26830,AA543186,CAPN7,TDRD3,TSPYL5,1700041G16RIK,BC043934,2900076A07RIK,NOXO1,HIST1H2BR,FANCD2,GM17509,TMEM86B,EXTL1,RIBC1,PTPN21,HIST1H3A,PTPN23,GM9484,4732491K20RIK,ZFP184,ZFP229,PLAC8,CCT6B,GATC,DLL4,9930022D16RIK,1810030O07RIK,DIEXF,FSCN1,JADE3,GM19325,DKK2,GSR,EXD1,GRK6,ATP1B1,TM9SF2,NUP210L,CHCHD2,GZMM,UTP14B,ATP11A,FTH1,ITGAM.1,ZFP526,ITGA9,SLC6A12,CEP89,KCNAB3,LPAR2,NUDT15,AY074887,CLEC12A,MARCH2,ATG2B,GRIA3,GM20498,GM1647,ZFP692,RAP1GAP,SLC8A1,KCTD17,CLEC4A4,EPS8L2,A130051J06RIK,F930017D23RIK,VKORC1,ZFP719,DFFB,OLFR212,MAPK11,DOK4,FMNL3,GM14221,CDKL5,AKAP5,MRC2,PSMC3IP,PLCD3,GADD45B,GM12689,PTEN,PRG2,RBPMS,HHAT,TBC1D19,STAC3,FGGY,SLC22A4,FADS2,GM12066,CD8B1,PTGR1,CD6,MGAT1,TNNT1,UBR2,RWDD2A,COCH,GARNL3,COG3,HIST1H2BL,MDRL,GAS2,RALGAPA1,LRP12,GM26590,GAS2L3,MED12L,1500011B03RIK,STARD5,ZFP251,CD209D,ZFP239,PNCK,HIST1H4F,MROH2A,MMS19,GM26610,ZFP202,ZFP93,TMEM198,GBP9,PDZK1IP1,WDR59,KIF24,CCR1,WDR6,TRMT1L,PNMA1,MFSD4B4,DSEL,GM10642,GLT1D1,SUGT1,TRP53I11,GM8369,CR2,RSPH3B,ZFP105,DCAF4,RBM18,PHLDB1,MYL4,GLS2,MAGEE2,AMD1,HMGA1,RP23-381H23.1,SNRPB,MEIG1,BMP1,GM5160,PI16,ZEB2,ARHGEF10L,RAB3IL1,AIRE,MYO1B,THAP7,DBIL5,GM26887,FAM136B-PS,KLRA17,SIGLECH,1110020A21RIK,NLRC3,CCDC158,WTIP,DYNC2H1,XKR5,RASSF8,1700109H08RIK,GM4724,IGHD,TMEM267,HOXA5,GM4631,RNF225,SERPINA11,TMEM33,GM45230,GM45043,TSPAN13,EFCAB9,CTSH,CTSW,TCF4,MS4A4A,PRPH,PDCL,GM43254,1700102P08RIK,EFCAB7,MYZAP,RBM12B1,HSD17B14,KNSTRN,LRRCC1,FAM193B,GM37494,ABHD14B,GM36445,E330009J07RIK,APOLD1,TMEM8B,GM35315,CXCL12,APOA2,YES1,SOX4,PIR,MKRN1,FASTKD5,GEN1,GM35000,MLF1,ADARB1,PARD6G,GM31108,LAG3,EDNRB,SGIP1,CYP7B1,GM29562,SPACA9,SFXN4,SETBP1,FAM57A,GM29440,ZSWIM3,SPATS1,ZSWIM6,EDC4,IDO1,ZUFSP,LTF,PILRA,CALCB,ANXA9,CACNB4,C920006O11RIK,ICAM1,1700066B19RIK,SLFN1
cDC1,LPCAT3,NAA20,DOCK11,NELFB,TRPC4AP,NRIP3,ABCC1,ZFP322A,ZFP317,IGF1R,LILRA5,ZFP26,ZFP146,LDLR,IFITM3,ABTB1,LMBRD1,ZFP101,AAGAB,ZFHX2,ZFC3H1,ZFAT,IFIT3,ACADL,LMNTD2,IFI30,ZDHHC21,IFI27L2A,IFI205,ZCWPW1,IFFO1,A530099J19RIK,IDUA,ICOSL,ACTR3,ACVR2A,HSPB6,ZFP455,LRSAM1,A530032D15RIK,ADAM17,HSF1,LY6I,XRCC1,XPO5,XCR1,HMGB3,MAN2A2,WRNIP1,HMG20B,AGPAT3,WDR90,MAPK1IP1L,MAPK3,HIST1H2BK,ILF3,HIST1H2AL,AIF1,HIST1H1A,HEXDC,HERC6,HEPACAM2,MDH2,AKT1,HEATR5A,MED6,VAV3,VAT1,AMER1,METTL7A1,AMZ2,MFSD8,HACD4,H2-Q6,H2-M5,ZFP60,H2-D1,AP3B1,LACTB,MMP12,MPEG1,UBA2,TYW5,GSTM5,TYROBP,GRPEL2,GRASP,GRAMD1A,MRPS7,TTC3,MSANTD1,GPR171,GPM6B,TSPAN2,GORASP1,MTMR2,GOLPH3L,MTOR,GNPTAB,TRP53I13,MTRR,KNL1,GNGT2,ARPC1B,TRMT1L,ARPC2,TRIP4,ARSB,TRIM39,GM9843,TRDMT1,GM8953,N4BP3,NAAA,GM5086,NAXD,ATP1B1,NCAPG2,GM37494,GM34342,GM33973,NCOA7,ATP6V0E,TNFRSF4,GM28875,KLK8,NDUFB11,TMX3,TMTC2,NEDD8,TMEM59,NFAM1,GM17586,GM1673,GM16286,TMEM218,TMEM209,NIFK,BATF3,NLRC4,KLHL24,NLRP1B,BC037034,NOTCH1,BCL3,NSL1,NT5DC2,GDA,THADA,GAS8,BTBD10,NUPR1,BTLA,OGG1,ORC5,TBC1D8,FTH1,P2RY14,PAM,CAR2,IRF1,FMO5,PCID2,KIFC5B,PCNX3,PCP4,SUPT5,CC2D2A,FFAR2,CCDC112,PDE4D,PDGFRB,PDIA5,STRBP,FCER1G,CCL22,IRF4,2310040G24RIK,PEX13,CCL25,2310031A07RIK,PEX6,CCNB1,PFN1,PGLYRP1,CCNL1,FBXL19,PHACTR4,CD200R1,CD209D,CD24A,PHTF1,PI4K2A,FAM64A,FAM57A,CD7,SPOPL,SPN,CD8A,CDC25A,PKNOX1,CDC42EP3,SP3,FAM149A,PLCB3,PLEC,PLPP1,CDKN2B,PLXNC1,PMEPA1,CDYL,POLD1,POLE2,POLQ,EXOC3L4,SMG5,CERCAM,ERLIN1,CGRRF1,SLC7A11,ERCC6,KDM4A,SLC44A5,SLC44A2,ITGB3BP,SLC41A2,PPP1R14A,PPP1R15A,SLC39A3,CHST10,PPP1R37,ENDOV,CIT,SLC31A2,ITPKB,SLC30A9,PPP6C,PPT1,EME1,CLASP2,CLEC9A,ELF2,CLMP,PRKCG,ZMAT5,EIF5A,EIF4E3,SIN3A,EHBP1,EEF2K,SH3BGRL3,PTBP1,COQ4,E2F8,PTPN6,DYNLT1C,1500011B03RIK,SERPINB1A,PURG,DYNC1I2,CRIP2,RAB11FIP5,RAB14,SELENOS,CRTC3,JAK3,RAB7B,DPP7,CSNK1G1,RAD54B,SC5D,SAT1,SAPCD2,CTSA,S1PR4,S100A6,S100A4,CUL5,DNAJA4,CWC15,RUNX2,CYP20A1,RRAS2,CYP4F18,RPS9,CYTIP,RHOA,RHPN1,JPX,RPS2,RILPL2,KANSL1L,RPLP1,0610030E20RIK,DENND4C,RNF130,RNF215,ROGDI,JTB,JUN
cDC2 Mixed,GM45230,PSD,UBE2D1,PAPD4,FGGY,KCNAB3,XKR5,EDNRB,IFI44,B230317F23RIK,GM26887,REC114,CDK2,HIST1H4N,SLC2A12,2210417A02RIK,CHRNB1,AKAP5,CDK20,CMAH,GM26981,ZFYVE28,PLA2G2D,HIST1H2AO,ZFP418,IL15RA,CLPP,TANGO2,RASA1,EXTL1,SERPINA11,NID1,RAD21,FSD2,ZFP869,LARGE2,ENO2,KIF1A,NEDD8,PRUNE2,HSD11B2,GM15326,D030025P21RIK,PTPRH,ANAPC7,GM2237,CORO7,FBXO38,BOD1L,DNHD1.1,MAPRE3,RP24-94F12.3,GZMM,RNASEH2B,PTGS2OS2,CD83,FOSL1,GM15892,DLGAP3,F930017D23RIK,ZFAND3,CD70,TRIM62,DCN,PNP2,CD8B1,ZFP773,WFS1,MAPK12,LRG1,PPP1R13L,RAB1B,PPP1R3B,SEMA4B,ACAD12,OLFR777,GM26620,PTGFRN,PCDH1,CPE,4933424G06RIK,VSIG10L,OLFR212,DOK2,CALCB,9930022D16RIK,HIST1H3D,KCNK7,ZFP972,4930562F07RIK,PDZD4,SLBP,UHRF1BP1,UTP14B,RALBP1,PCYT1B,PRDM9,GM5160,GM28043,GM15234,ZFP654,CLDN12,GM26590,GPR85,PKIG,LZTR1,GM11744,MLF1,CRACR2B,DHRS11,PIR,ARC,ARAP3,MAGI3,ZFP975,TIPRL,BZRAP1,FBXL20,1810014B01RIK,KIF24,NCOA5,STOX2,IQCH,GM4631,4732491K20RIK,DGKH,APLP1,GM15228,DNAJB3,KIF13B,GM26601,DYNC2H1,IL31RA,ERBB3,STAC3,4931440F15RIK,ZFP61,GM2004,PARD3B,ZDHHC15,HYAL3,CYP39A1,RHOV,MYL2,PTPN21,GEN1,PYGM,A430105J06RIK,HIST1H2BL,PRKCG,TCEAL5,HEBP2,SLC16A2,BMP1,SLC35F5,RP23-381H23.1,2700012I20RIK,ZFP772,TARBP1,RASD1,GM43254,2810414N06RIK,TMEM86B,CIB3,GM44148,RASL12,GM44751,MLKL,4930507D05RIK,GM5468,SLC38A9,ZFP874A,GM36445,RSPH1,RNF225,TCTE2,DLGAP4,GM9242,RAB4B,NECTIN2,RHOBTB1,TOP1,ZFP41,9530082P21RIK,NETO2,GM35315,GPAM,NAP1L3,CPN1,A130051J06RIK,MEIG1,RNF217,S1PR1,MDRL,GPRC5B,ZFP953,TET1,NLRC3,BTNL2,GM29440,RHOX8,FCGR1,FBXO5,FSTL3,ABTB2,ZFP105,ACACB,CREB3L3,EGLN1,MAPK8IP1,TGFB3,NOXO1,CHTF8,GM10655,MAP3K9,BORCS5,SCD3,MYZAP,RILP,ZBTB3,BEX1,BCL2L15,ADTRP,RNF180,1700109H08RIK,MYO7A,AGER,1700102P08RIK,GM27017,1700066B19RIK,AGPAT9,LSMEM1,AHRR,TTC30B,BC043934,SMO,SKIV2L,GM13166,CSTAD,GM26870,DNAJC28,TCN2,TXLNA,PPM1N,GM16712,LMNTD2,WFDC18,GM13830,CTNS,POLH,UBE2G1,IFI214,AMIGO1,WDR54,STK26,CTSW,WDR26,MS4A4A,DCLK2,SEL1L3,PAQR7,PARD6A,PLSCR2,IGFBP6,PLPP3,ATP11B,PLEKHF1,AOC2,SEMA4C,IL27RA,ATF7IP,GM14410,GM14418,GM26563,CXCR5,SEPT10,GM26535,APOA2,KIT,ASB5,RPL39L,DPF1,CLCN1,FADS2,D730003I15RIK,ZSWIM3,ARSI,PDZK1IP1,CYP2AB1,ETFBKMT,1110002J07RIK,F9,DOCK9,KCTD21,KCTD17,PHLDB1,EXD1,GM20109,KBTBD6,USP54
cDC2 Tbet+,MANEA,UBL3,WDR37,PIN4,KLRK1,BOLA2,TTLL5,ZFP36L1,ABHD14B,GATC,PGPEP1,HSD17B7,HAVCR2,ZFP579,ATP6V1G1,DAD1,ID3,USP48,EIF2AK3,TSC22D3,MEX3C,UBA52,GPX4,AKAP9,AU019990,NOL6,SRGN,SYPL,PYROXD1,TGM2,SGK1,SYT11,UPF3B,H2AFJ,TEX14,GSTM5,DGKD,PCNX3,YWHAH,EMP3,PEBP1,WDR61,MED27,CDC26,GM10260,HPS5,CXCL16,FGL2,CTU1,RHOB,XAB2,NR4A1,SLC22A5,RPL10A,TMED7,TXNDC9,SMAD4,RBM45,LDAH,ZFP953,PRDM2,CD2BP2,AK157302,EGR2,BC049715,HOMER3,HPGD,SPN,AHR,BCL9,SPECC1,HSP90AA1,RPL23A-PS3,HERC6,B3GALT4,B230219D22RIK,HSPA2,ID2,BTG2,SF3B2,HELZ2,HELB,MUTYH,IFITM6,DRAM2,DPP8,HDAC7,ZFP39,TMEM64,9530068E07RIK,ING3,RNF7,CASS4,RPL29,UNC50,TSPYL4,DKKL1,SVIP,2810029C07RIK,SNRPF,DESI2,ATF6B,TTC3,PCYOX1,MICU1,VASP,CCRL2,TCF25,DDX27,CD300LD,ISG15,FAM160B1,METTL18,GORASP1,FAM195A,SNRPD3,FAM53B,RPS27A,ARHGEF6,DDX1,ARHGEF10,PGLYRP2,MED31,KAT6A,ARHGAP6,GM14548,GM14305,TAF11,TTYH3,3300005D01RIK,RAC2,AI597479,ACP5,CDKN2AIPNL,PI4KB,1600014C10RIK,PIM1,MBD5,MBD2,SMPDL3A,MAX,FHAD1,GM10036,ZFYVE26,MAPKAP1,STK38L,KIF9,KIT,CRTAP,MAP2K2,ANKLE2,CETN3,GFRA2,CHPT1,ZC3H15,RGL2,SLC25A51,GALNT12,FOXO4,ALPK1,ZDHHC8,FTL1,LIN7C,THUMPD2,PRADC1,WBP1L,TMED5,RUBCN,0610012G03RIK,CNTD1,RUNDC3B,ACO2,SLC44A1,PPM1K,CLPX,LRP6,PPP1R11,LRCH1,TBX21,AIM2,ZFP870,AIF1,STAU1,APOBEC1,APTX,SRSF7,ZFP639,BACE1,SPATA2,SPAG4,SOCS6,CCDC84,CD24A,CD37,CD83,SLC7A5,CMTM7,SLC3A2,AEBP2,CNOT6L,SLC12A4,DDX47,DDX5,DENND4A,DHRS4,DNAJC10,ADAP1,DOLK,XLR,ACTR1B,EIF3J2,EMB,EPSTI1,WHRN,SAFB2,S100A11,FFAR1,FFAR2,TMCC3,FSCN1,RTN1,RSL1,GCH1,RSAD1,PPP1R12A,GM3550,GM4950,RPS26,RPS25,GM9493,GM9803,GRAMD1B,GRK2,RPLP0,GSR,RPL6L,H3F3B,RPL27-PS3,RPL27,HIST2H4,HOOK2,USP35,HPSE,HSH2D,ABCB10,HSPA1A,IER5,IFI27,IFITM1,TMEM176A,TMEM176B,IL1R2,9930111J21RIK2,IL1RN,RNF111,JUND,KAT5,RILPL2,KDM1B,KDM3A,KLHDC1,UBE2Q1,LCP2,LPIN1,RBPMS,LYZ2,TMEM268,MAEA,MAPRE1,MCM10,MFHAS1,MIR17HG,TANGO6,RAB12,TSPO,MT-CYTB,TMEM67,PTP4A2,NIF3L1,NME4,NR4A2,TRIM32,NRDE2,TRIM27,OGG1,PSMB3,PSD4,PSAP,PCGF3,TRAF4,PGGHG,PGLYRP1,PHAX,PIAS4,PLK3,PLOD3,TNS3,PMS1,PQLC1,PPP1R14A
cDC2 Tbet-,SHCBP1L,TACSTD2,ADAM23,ZFP365,MTHFSD,FAM122B,SVIL,MSRB2,TRABD2B,MS4A7,COA5,MS4A6D,MS4A6C,RAB38,ZFP39,SUMF2,ADORA2B,RAB8B,FAM212A,CLEC4B1,TAGAP1,TALDO1,CLEC4A2,CLEC4A1,MYOF,MPHOSPH6,TARM1,RAMP1,CLEC12A,AGPAT9,CLEC10A,AGTPBP1,MKRN1,TRF,STRN3,NAIP6,MGLL,AI839979,TOMM6,MGL2,AIF1,ENO1,MGEA5,RBL1,RBM15B,STK38,ACAP3,FBXO42,TBC1D4,STAT5B,MED20,EMC8,CINP,NDUFA3,MDGA1,AC168977.1,MCEMP1,NDUFS2,FCGR2B,ZC3H11A,FCGR3,MBD5,ZBTB49,COX5A,PSMD12,MARCKS,ST8SIA1,MAP2K4,ANKRD12,NEK8,PSMC3IP,CHST2,FH1,FITM2,TNNI3,FKBPL,ANKRD52,CPSF7,LYZ2,FLT3,TNIP3,SRSF9,ABCB4,LY6E,RIPK1,ABCA9,TCF12,PSAP,EIF2AK1,FOXR1,LTB4R1,NIN,PRRG4,NINJ1,FTH1,LST1,LSP1,AP4S1,YLPM1,FTL1-PS1,FTSJ3,FXN,GAK,TDP1,LRP1,EFHD2,EFCC1,NOCT,NOD1,NOP10,NOTCH4,NPC2,SPRYD3,GBP8,SPINT2,RNF19B,LMO4,9530059O14RIK,TNFRSF12A,RNF217,NR2C2AP,CRYBG3,RNF43,LILRB4A,APOBEC1,PRKCZ,PRKCSH,APOE,LGMN,APPL1,ZFP748,SPATS1,LEMD3,CEP72,LDLRAD4,NUBP2,SPATA2L,LCMT2,CEP170,LAT2,TNFAIP1,LARP4,NUP88,TSPAN14,GGT5,ARHGAP26,GM10184,DYNC2H1,ARHGEF3,RPL28,ODC1,GM13373,KLRK1,ARL5C,OGT,CEACAM1,WFDC17,PPT2,CSF1R,OLFR1160,CDK6,KLHDC8B,RPL8,KIZ,OSM,TGFBI,KIF1A,RPS18,KIF13B,WDR59,SMIM5,DSN1,KCTD21,ATF3,ZFP91,ATF4,KCNE3,CD74,SMARCA4,JUNB,GM28557,ATOX1,ZFP938,ATP11B,TUSC3,ITGAX,ITGA4,RUNDC3B,PPP1R14A,ISOC2B,CD302,TWF2,GM43796,CTSC,IRGC1,VTA1,DOK4,DNASE1L2,IRF2BPL,IQGAP2,PPM1N,IQCH,CD300C2,2700046G09RIK,SLC7A1,PPIL1,2700012I20RIK,CD209A,INTS7,IMMT,CXCL12,CXCL16,AW549877,IL2,SART3,IL1RN,SAT1,DNAJB12,IL18,IL15RA,TYROBP,SLC36A1,CCL9,TLE3,CCL6,SCLY,SCT,TLN2,IFITM1,CCDC53,BC030867,SLC27A4,SLC26A6,IFI30,GOT1,IER5,BCL2L12,DHRS11,POLR2E,UTP20,GPR83,PEX19,UTP14B,PFDN1,ID2,SLC25A17,GRAMD4,PGD,PGLYRP1,1700123O20RIK,SLC22A15,SLC16A2,CYBB,CCDC109B,HYPK,SEC61B,TMEM27,SEC63,SEL1L3,HSPA8,TMCO3,DDX47,1700056E22RIK,CAT,PLXDC2,H2-AA,BNIP1,SELL,TMEM11,CYP4F37,DDT,CYSTM1,CAR2,H2-AB1,SENP1,H2-DMB1,HOXA7,CYTH4,SEPT1,HOMER1,PIK3CD,SEPT6,TMEM176B,H2-EB1,USF3,HMGCL,UCKL1,HACD4,HILPDA,C2CD2,HEXB,CALCRL,DAD1,PITPNM2,HAUS8,PLCL1,PLBD1,HERC1,PLA2G7,PLAC8
