,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
CCR7hi DC,TSN,TMC8,SNX15,1700112E06RIK,IRF4,RBP1,FABP5,TERF2IP,EZH2,APBB1,MAN2B1,ZFP869,ESPL1,ZFP229,APOO-PS,PPDPF,EPM2A,RPL19,RPUSD2,ZFP791,PPP2R2D,TROVE2,ZFP93,PPCS,TMOD3,PDLIM1,NEFH,TCEAL5,LRRC20,TSC22D2,MBNL2,FEM1B,ARMCX2,TESC,FMN1,NDUFS7,SETMAR,OLFR259,MDK,FOXO1,ZFP772,TTC21A,RP24-395P13.1,GPN1,PRPF39,SLC5A3,NDUFAF7,MED1,SPRED1,MIA2,UBAC1,D17H6S53E,PDCD1LG2,ATP8B2,AKNA,TAF10,OLFR212,UBE2Q1,CTRC,CSNK1A1,ZFP995,AKAP5,PSME2,6330408A02RIK,COX5A,GCA,HEBP2,RNASE6,HIP1,4930568A12RIK,OGFOD3,RFC1,SDC2,CLEC1B,GM3839,BEX6,PBLD2,YIPF1,PTPRH,GM38079,HSD17B12,TMEM115,RHOC,SMIM13,MTAP7D3,CDK5R1,PLXNA1,CDC42EP3,AGER,LARP7,INSM1,FAM3B,FAM26F,RBL2,GM10282,FAM129C,ADAM11,CD3D,GM10655,RND2,SNX9,GM12840,IER5,SMIM24,RAB27A,IL7R,NAA38,2610528A11RIK,PFKFB3,IL10RA,RAB26,CCDC14,C030037D09RIK,MYZAP,MYBPC3,IL12B,MYEF2,CARF,CAPSL,PPIE,FAM120AOS,GM16519,NPRL2,LAD1,RGS1,GLCCI1,OPRD1,KLHL8,GEN1,GM26535,AK6,NOA1,FXYD2,FUOM,FUNDC1,TMEM205,FTO,FOXP4,NT5C2,FNIP2,SPACA9,FMNL2,FGF11,KIT,NID1,ALOX5AP,FBXL17,FBXL15,ZFP799,FBF1,NFKBIL1,SMPDL3B,GM31108,TNFSF15,LSP1,ANKRD13A,PDZK1IP1,FAM174A,ANXA3,AOC2,MAGI3,F930017D23RIK,PLEKHG5,EXD1,KIF13B,TDP1,APOE,RAP2B,ZFP870,ZFP202,EPB41L4AOS,ARC,EMD,EGR1,EFNA2,RAP1B,GM7967,GM9484,NECTIN1,ABCC1,DUSP8,ARL6IP5,MBNL1,DSCAML1,PLCL1,OTUB1,TSSK4,SLC6A8,ASB2,ZFP946,ZDHHC14,GPR85,DNAH2,1700102P08RIK,ATF2,METTL1,GPX1,DDX1,PSD,DDB2,DAP3,ATP4A,H1FX,ATP5J2,CYP2R1,CXCR5,SLC35F5,CXCL16,ZFP983,CTSB,SYNPO2,UBQLN1,CRYAB,IWS1,CRISPLD2,SLC35A1,SYNE1,BACE1,SRC,BANK1,CORO1A,UNK,PCED1B,COMMD5,ISCU,UQCRC1,HIST1H3E,COCH,IRS2,NBN,CLU,CLPB,HIST2H3C2,USP54,PIGX,RNF19B,HNRNPH2,CHPF,BEX1,CHKA,MRVI1,CEP78,HSPD1,MSS51,BMP1,CDKN2B,SLC1A4,STIP1,CD93,NABP2,VSIG10L,CD200,IFNGR1,CCNC,CCL25,ZMYND15,PAPSS2,BTF3,IL4I1,MXD1,MYO7A,IL15,SEC61A2,WNK1,IL1RN,REM1,ADORA2A,ANKRD33B,ARG2,ARHGEF10,ATP2B1,ZBTB43,CACNB3,WAS,CD63,CHTOP,DKK2,TSPAN3,ENO2,TNFRSF9,TNFRSF4,FAM89A,FSCN1,TMEM158,TEX15,GNL2,SWAP70,STAM,SOCS2,MARS,MED22,NUDT17,SELPLG,PDGFRB,PLBD1,PLEKHG3,RPS17,PRNP,RASGRP1,GM2A
Monocyte,RTCA,FAU,FAM46A,RBM5,4930403P22RIK,GM26590,ADAM22,FBXO11,TMEM202,HAUS3,KIFC3,PIGO,CPSF7,TNFRSF22,ZFP526,TLR7,FAAP20,GLTSCR2,ZBTB42,OGG1,HIST1H2BF,JRK,2700046G09RIK,VDAC1,FKBP4,AC149090.1,GM17655,1700109H08RIK,RP24-167A12.1,NAT6,PEG12,GID4,CALM3,XRCC6BP1,SAMD11,NFE2L3,ENPP1,CD300LD,KCNH4,YEATS4,RAMP2,PPARG,1700029J07RIK,WBP1,AKAP5,NUMBL,GEMIN4,HIST1H2AB,DHRS9,NFS1,HGF,SLC6A20A,ZFP523,MTERF2,RAB3IL1,HIST1H2BH,TRPC4AP,CEP55,PDZD4,WDR54,TMEM67,CCNI,NXPE5,GM26664,ARL4D,SLC2A9,FASN,GM19325,AC168977.1,RFLNB,GK,CDC5L,SLC16A3,GM17430,TOP3A,PRADC1,KCNK7,GIMAP6,CYP7B1,PHF11D,DCAF8,PRDM2,ERLIN2,CXCL12,HES7,FAM178A,MRC2,TIMM22,GANAB,FNIP2,FNIP1,GGNBP1,DEFB25,ZFP229,NEDD1,PLEKHO1,STON2,SENP5,SEMA4C,ZSWIM8,GM6904,RPL31,HSPA1A,GM5468,GM525,LACTBL1,MGLL,ZFP184,STX17,HSD17B11,RWDD1,ZFP202,LATS2,GLIS2,PSMA6,PANK2,PDZK1IP1,PLAC8,LGALS2,RTCB,PARD6A,PARL,E130311K13RIK,GM4419,LILRA5,RPS2-PS6,FN1,LAMB2,RPP40,DYNC2H1,UBE2V2,RPL6L,UBE2Q2,RPL41,RPL39,SCYL1,C5AR1,ZFP772,KLRA2,GM38399,UQCC3,EFHD1,UBA3,UBA1,RPF2,CBR1,UQCRC2,SERHL,KLHDC1,DUBR,LRRC29,CBX4,LRRC51,GM340,MYL4,RNF144A,ZFP831,RND2,RNASE4,RLIM,ADSSL1,SFSWAP,EHBP1,ACE,LY6E,LY6I,BMP1,RILPL1,GM28556,GNAL,GM28285,UTP14B,RGP1,KBTBD6,SLC16A2,UVRAG,SLC22A17,GNG5,SLC23A4,RGAG4,MXRA8,OAS3,AHDC1,REV1,ABLIM1,GM26610,AHRR,ITGA9,ITGA2B,SLC41A1,GM26563,ISPD,SLC4A8,GM26542,NUPR1,NUP85,MTL5,SLC9A3R2,GPAM,BBS4,DOK3,SMIM8,COCH,CROCC,NDUFAB1,SMPDL3B,TRIM59,RBM12B1,GM26534,RASSF8,VSIG10L,CD300E,CD33,GEN1,CD68,TREM3,IL15,SPARC,ZFR2,IKZF3,RABGGTB,GPR85,GM20342,AA543186,FCGR4,ALDH6A1,ALG10B,FAM53C,GFOD2,SRCAP,CDC42EP3,A430046D13RIK,PTTG1IP,IFI204,PTGR1,CEBPB,TNS4,SSU72,ERO1L,ERP27,STFA2L1,PHF24,MDRL,MEA1,MED14,2700097O09RIK,DNAJB14,9030617O03RIK,HPGD,HP,HOXA5,MGP,MGST1,ANGPT1,EXOC6,HMGCS1,PRDM11,FUS,ZBED5,ZBTB25,4931414P19RIK,CHORDC1,TCF7L1,TCIRG1,CHRNB1,H2-AA,4930558J18RIK,H2-DMA,H2-DMB1,4930507D05RIK,H2-EB1,FABP4,CISD2,TEX15,TMEM222,CLCN1,ZDHHC15,TGS1,PILRA,CUEDC2,PNP2,NGRN,TMEM185B,FSD2,MPST,TIAM2,4632428C04RIK,NLRP1A,TIRAP,PLEKHG2,TMEM168,GLCCI1,NLK,FAM120AOS,FAM129C,FAM132A,HAVCR1,AP2A2,GLRX2,TMEM126A
Siglec-H DC,CEP290,SMARCAD1,PAXIP1,JADE1,ATP1B1,PHPT1,GPX4,FASTKD5,USP11,SPATS1,3830403N18RIK,LMNB2,EP400,IKBKB,FADS3,PYGO2,PDRG1,RPP21,YIF1B,GM27017,RBMX2,PUS3,PHLDB1,SEL1L3,BTBD3,SAFB,LEKR1,PPM1H,HSD17B11,TRIM59,AGPAT2,SNRNP70,TAP2,PI16,NAGA,CD300LD,CD300C,GM14418,CD6,ATE1,CD22,DMWD,NAPSA,KIF22,MYZAP,PIGH,KLF2,MYO6,ZBTB16,GM12840,RAP1B,ZNHIT1,ELF2,RPL21-PS4,EIF2S3X,GM10642,QSOX1,NR2F6,CHMP1B,PFDN5,ZFP566,ZFP568,GNAI2,DPP9,TMEM267,AK6,GM10020,HINFP,ZFP36L1,MT-CO1,1700047I17RIK2,PEX5,HPSE,ADAM23,TM9SF2,CCDC6,NLRP3,D17H6S53E,CRYZL1,CNIH4,1700030J22RIK,USE1,TBCA,DHX32,RPL39L,ARL14EP,MID2,EPM2A,EGR2,RAB11FIP5,MDRL,GM6377,GM20878,DHRS1,VEZF1,MARCH3,FGL2,GPR65,RASSF5,TCEA3,NXN,LY96,CTNNB1,TCEANC,OBFC1,PRDM11,RWDD2B,EFCC1,FAM136A,CTPS2,NHLRC1,EFCAB7,RIC8B,UPB1,GM26664,RILPL1,CLEC4A3,IFRD2,GM26669,CLEC2D,SEPT6,ZCCHC11,SEPT4,PLCD3,LACTB2,GSTO1,ULK2,SARAF,TNFSF10,SORL1,CTSW,DNTTIP2,FADS2,CUL1,TOP3A,A530032D15RIK,PLEKHF1,MTF2,GTF2B,S100A4,EDNRB,CYP4F18,DEPDC7,TSPYL5,SENP1,CXCL16,A130051J06RIK,JUND,NEU1,DENND1C,STYX,OTUD5,BLNK,P3H4,SART1,4930507D05RIK,CH25-588N10.2,SUCLA2,H2-DMB2,HES1,TREML4,EVI5,GABARAP,MAGEE2,TEX30,ZFP11,DTWD1,BTBD1,CHRNB1,CYCS,RBM38,RNF145,WBP5,ITPK1,ID2,DUSP6,GM4349,WDR6,CYB5R3,RAB3IL1,IDH2,ICOSL,DUSP7,SELPLG,ZFP830,TNNI3,IFI30,CYP7B1,S100A3,A430105J06RIK,A530064D06RIK,GSR,SMIM14,RALGPS1,PPP2R5B,ACP1,EHBP1,ZFP606,TUBB3,MT-CYTB,GPM6B,PSMC2,GPKOW,RUNDC3A,MYL4,HDAC3,ZFP518A,COX6A1,TMEM50A,ZFP438,MAU2,AK8,ALS2CR12,GM4724,DAB2,GM4631,ZFP202,TMEM176B,NECTIN2,CHMP2B,SULF2,HSPA13,ZFP119A,DOLK,MFGE8,CHIL5,RPS19,JMJD7,ANXA9,SLC52A2,CFP,RBPMS,TPM1,PLD4,NFS1,SYK,2310022B05RIK,ZCCHC6,GM26511,RDH5,GM20707,TMED5,LY6I,CDKAL1,URB1,TMED1,NME4,SNX18,SIGLECH,CD9,CD8B1,GM1647,CD86,CD79B,CD7,DNAAF5,ATAT1,RPL23A-PS3,CD209E,CD209D,NOXO1,SIRT1,CCR1,FASTKD1,MICU1,PTPRCAP,MRM2,SPACA9,GM10036,LRRC1,RGS2,LRIG2,LRFN1,SLA2,XBP1,KLRD1,TIFA,CAMKMT,TGIF2,VPS37B,PDXK,TCF4,SOX4,TGFBI,TCF7L1,LAG3,FSCN1,BCL2A1A,SLC25A29,PYGL,BCL2L14,GATSL3,GATAD2B,FTH1,BEST1,PCGF2,BTG1,PCBP4,LEFTY1,SLC8A1
cDC1,KLRD1,HNRNPK,TTC21B,GMFG,FAHD1,1110008F13RIK,RPL37A,PI4KA,ATP5E,TM7SF3,PPT1,SLC25A13,FUS,ETFDH,PITRM1,IBA57,GM26520,PIGK,6720489N17RIK,CCPG1,IRF1,MPP7,HEPACAM2,ABTB1,FAM199X,FAM149A,PIGF,SART1,2310031A07RIK,TBXAS1,PXYLP1,CADM1,IRF8,SAP130,AKR1B10,FAM212A,HDC,TMTC2,FAM214A,HDAC1,BNIP2,IQCC,PRDM15,TMX1,NFIC,GM21887,HAUS8,FYB,ZFP516,ATP1A3,CST3,DDR1,DBN1,SLC35B4,NME9,TNFRSF13B,TBC1D20,SRC,FAF2,CCNE2,NF2,WAC,CACFD1,PRKAR2A,SAA3,LTBR,ITGA8,S1PR4,LSR,DBF4,FAAH,VAT1,S100A4,PLA2G7,9930021J03RIK,CKAP2,DOCK8,RFTN1,TCTEX1D2,EXOSC8,TARM1,MND1,HIST1H2BG,SLC8A2,PFKP,SLC8B1,GM43796,1810044D09RIK,FAM76A,TMEM43,TANGO2,GM43848,CD200R1,JTB,ST3GAL3,ANKFY1,HIST2H2AC,TALDO1,ETS1,RUNX2,1810022K09RIK,CD209D,WDFY4,SLC25A3,ARHGEF1,SLC25A20,UTY,ESPL1,A430005L14RIK,TNS3,PLEKHG3,CD24A,CAAP1,FARSA,ATP5SL,TEX2,LRRC1,TOMM20,SLIRP,HK3,IL15RA,H2-Q6,GM4707,PLIN2,PLPP1,CAPZA2,GM10036,RSBN1L,UTP15,LPIN1,SLC16A6,KBTBD7,SPOP,RAP1B,TOP2B,STARD3NL,TMEM218,MAVS,RRP36,GM5786,NDUFA9,C2CD2,LPCAT4,KCTD14,DSCAML1,CCDC86,TXNDC15,4933434E20RIK,DST,TLR1,STARD5,ENKD1,PDLIM5,TXNL4B,ENDOD1,ZEB2,USP34,ZDHHC9,SPIB,CAR2,TYROBP,GUSB,EMD,CD36,RPS9,GUK1,ASCC2,CENPP,CD4,PDIA5,DENND4C,ACVR2A,FCER1G,GIMAP6,CCDC82,AMZ2,PDE3B,PRDX2,WHRN,TMEM176B,PDCD2L,RNF13,1500011B03RIK,DESI2,RPS24,TGS1,SEPT3,PRR5,MS4A7,ALKBH2,WLS,HOXA7,BEX6,RNF126,SEPT9,TRIP13,NATD1,KIF2C,LIMD2,LILRA6,GCSAM,CLEC4B1,PTPN6,GCLC,ZFP971,GNAQ,SVIL,CASP4,SPATA24,RHBDF2,RPS10,POLR3H,BUB1B,DNAAF2,CD7,AEBP2,SMPDL3B,XCR1,CLEC9A,OAF,KLHL12,NAGLU,IFI30,TMEM108,BRCA2,PTPN7,ARRDC3,LCLAT1,APH1A,DUSP6,RPLP2,PBX1,ACTR2,SIGLECH,IFI27L2A,PATZ1,UNC45A,SNAP29,DYNC1I2,CREBRF,CLK4,HSDL1,TRIM56,IFI205,RIPK2,XPNPEP3,RPL36AL,CD8A,NAAA,SEZ6L,IER5,EEFSEC,BCL3,CEP83OS,MT1,MESDC2,XRCC4,CERS4,UFSP2,GPC1,FTH1,CYB5A,GRPEL2,MYSM1,LAIR1,CD9,BRI3,DHRSX,CYB561A3,ECT2,ECI2,KNTC1,UBE2W,STXBP3,CLTA,MED6,GPR171,PPIA,ID2,SUB1,FUCA1,RNF113A2,CXX1B,RPL11,E2F7,ICOSL,LAD1,P3H2,E130102H24RIK,SH3BP1,MXD4,UBTD1,ABCA2,ARPC1B,P2RY14,DIAPH1,UBQLN2,RAB7B,CDC5L,HAUS3
cDC2 Mixed,CUL9,MKL2,RPSA,PYROXD1,RARG,GM29440,GM26870,GM26734,GM26664,XRCC6BP1,RASSF8,RBM42,REL,RFWD3,GM35315,GM20517,GM20109,GM19325,GM17509,XPO4,PTRH1,GM3839,GM43254,GM14327,GM13564,RGS2,PTPRH,GM568,RHOQ,PTGR1,GM10645,GLCCI1,RHOX8,YDJC,GMEB2,ZFP446,GEN1,GCSH,RILPL1,GCH1,GATSL2,GOLPH3,GPCPD1,GABARAPL2,GPR132,RND3,FUCA2,GPR18,PTBP1,RP2,GZMM,RP24-94F12.3,H1F0,FGR,FFAR2,FCRLA,H3F3B,RPL21-PS4,PSMA8,FAN1,HERPUD1,ZFP568,RPL36AL,ZFP574,RPL39L,PSD,ZFP27,RPS23,PRMT9,FAM160B1,RPS24,RPS26,FADS6,F930017D23RIK,PRG2,WTIP,OLFR1369-PS1,PPT2,S1PR1,SAMD11,PPT1,PPP1R8,ENTPD6,SAYSD1,HSD17B2,ELP5,HSPA1A,PPP1R1A,EIF3A,EGR4,PPIH,SEL1L3,E4F1,SENP1,E230001N04RIK,SERGEF,DYNC2LI1,DYNC2H1,ZFP652,PPDPF,DUSP7,DPP8,SFT2D3,WHRN,IGLC2,DOCK10,ZFP202,IL1B,IMMT,SIDT2,DNAJB3,DMKN,DIDO1,IMPA1,DHX32,DHDH,ITGA4,DENND4A,SIK1,ITSN1,SLA2,SLAMF8,JMJD6,D830044I16RIK,D6ERTD527E,JUNB,CYP4F16,CYP2AB1,CXCR4,SLC1A4,SLC25A16,ZFP128,JUND,PLEKHN1,CUL2,PLATR27,CTDSPL,ZFP772,CTCF,PKD1,SLC25A42,SLC3A2,SLC41A1,CPT2,COQ8A,COQ4,KDM6B,COPS8,SLC44A2,COMMD5,COA4,SLC48A1,CNST,CNR2,CNIH1,CMC4,CLPB,SLC7A14,CLN8,KIF22,KLF13,CLCN1,ZFP865,KLF2,KTN1,CFP,CFAP45,CEPT1,SMO,SNAI1,PIM1,SNW1,SPATS1,ZFP90,CDS1,CD86,CD83,ZFAT,CD68,PILRA,PIK3IP1,PIGV,CD33,WDR41,CD27,CD209E,WDR4,CCL17,CCDC66,CCDC63,ZFP948,PFKFB2,PEX3,SRGN,LSP1,STK26,CALM1,LTB,CACYBP,MALAT1,PDHX,BTG3,BTG2,SUFU,BRAF,MAN1C1,SULT1A1,ZDHHC3,TAPBP,BCL7A,BCL2L15,TCF3,BC043934,BARX2,TDP1,MAPK12,MARCH3,TELO2,MARCH8,THEM4,TIGD5,MGAT2,MMP12,ASB2,ASB1,MORC3,PCYT1B,MORF4L2,MRC2,TMEM104,MRM2,PCED1B,MS4A4C,APOC1,MYO1G,NATD1,NCBP2,TMEM143,NCKAP1L,ZKSCAN7,NCOA4,ANKRD35,TMEM219,ANKDD1A,TMEM267,AMOT,TMEM29,TMEM33,ALG3,NDUFB11,ALG10B,NELFB,PARD6G,NFRKB,AKAP5,AK3,TMTC2,TNFAIP8L2,TNFRSF10B,AGPAT4,NGRN,ADPRHL2,ADH5,TNFSFM13,TNNI3,NIT1,ADAM11,VPS53,TOB2,ACBD6,TOR1B,TPM4,NLRC3,PAQR3,ABCD4,PADI2,ABCA5,NOB1,VPS37D,A130051J06RIK,P2RY6,NPLOC4,TRPS1,NSMCE4A,TSPYL5,TTC25,NUAK2,4632428C04RIK,4632415L05RIK,TTF2,TUBB6,NUMBL,TULP4,UBA52,UBC,OAS1C,1700029J07RIK,OPRD1,1110065P20RIK,OLFR212
cDC2 Tbet+,NPC2,TSPAN5,MCM4,TBC1D30,NCEH1,MCCC2,DTX3L,TBX21,SPECC1,CWF19L2,KCMF1,KYNU,GPR155,SUCLG2,HEATR1,RPL13,CYGB,ORAI2,2610507B11RIK,CXCL16,MRPL13,LRPAP1,DLGAP5,TDRD3,MTA1,KNTC1,SELENON,WDR1,TSPO,1810022K09RIK,TGFBI,PRDX1,MROH1,ZFP444,ARIH2,SPN,B4GALT6,IBA57,MICU1,MCCC1,SYAP1,GM10260,MTHFSL,KEAP1,PCGF2,A930011G23RIK,MTG2,SFT2D2,ZCRB1,TTC32,H2AFY2,CD24A,TUBGCP5,TCEA2,KDM5C,PPIL2,RPS19,BIN3,1700017B05RIK,POLR3GL,SF3B4,RCBTB1,POLR1B,GM9493,AS3MT,COX5B,ARSK,RGS3,ANTXR2,NDUFS1,SLC38A9,TMEM261,CST3,CRISPLD2,COX6A1,TNFRSF12A,COMT,SFXN2,TMEM167B,ACSF3,MSL3,KAT5,RPL23A-PS3,CYTH4,H3F3B,D8ERTD738E,PTPN3,SGOL1,MT-CYTB,CLUH,HERC6,MLST8,TM2D2,CLIP1,CIT,MTFR1L,DECR1,TRAPPC3,MINK1,GZF1,CHMP6,CEP162,DHFR,PYGL,PRKAB2,CDYL2,ADAT3,CDK16,SELENOP,CD37,CD27,TYROBP,DPP8,ADPRM,ITGB2,UBASH3B,DUSP11,UBE2E1,ADSSL1,HMGN2,SIGLECH,DYNLT1F,CARMIL1,UBE4A,E2F1,HNRNPA0,RPS15,UHRF1,EHMT1,EIF2AK3,ZFP748,EIF3C,PPIL4,PIM1,C1QTNF4,BYSL,BTG2,RALGDS,ISCA1,USP28,NEK1,MAPKAPK3,PIP4K2A,NEK2,OSM,RAP1B,HSH2D,ERP44,BMP2K,BEX6,MAP3K8,MAP1LC3B,PCGF6,MALT1,BCL2A1B,RPS27A,NEURL3,SRSF5,VASP,AIF1,SQSTM1,KLF2,IRF8,LTB4R1,KLF3,ZFP868,VPS36,LRRK1,B130006D01RIK,NIPA2,AU020206,4932438A13RIK,ATP1B3,GNG12,SAR1A,ATG4D,REL,WDR74,IER2,LRP8,NPLOC4,RENBP,SLC25A45,NR2C1,SNRK,GAS2L3,GCH1,AKAP8,ARSB,NR4A2,IFI27L2A,SLC25A53,ARHGEF11,PDSS1,LIMD2,GM6377,PKMYT1,ARHGEF10,ARHGAP6,GM10036,LACTB,YEATS4,LENG1,LEKR1,PLOD1,IFITM3,LDHB,LARP7,GM15853,ZCCHC11,AMZ2,SLC3A2,MRPS9,OLFM1,GM15706,RIPK2,RNF146,LEFTY1,RILPL2,LIG1,ZFP953,GM7160,PDE4A,RGS9,FSCN1,SOX4,FKBP7,FKBP5,FFAR2,2310022B05RIK,KLHDC2,RBPMS,SQLE,KIT,SRSF1,LYZ2,PGLYRP1,STRA6L,EPS8,EME1,RABGAP1,TBC1D4,TBCA,MDH2,DRAM2,GSN,GSPT1,GSR,TGFB1,DHRS13,DESI2,DENND4A,DDIT3,TMEM106A,D5ERTD605E,RSF1,TMEM176A,MRPL4,PSAP,CNBD2,CMTM7,RPL27-PS3,CLSPN,JUN,ACTR1B,JMJD6,RPL7,TRIB1,ADGRE1,CDC27,CD83,UBA52,PPP1R3F,NCOA4,PPP1R14A,HOOK2,PPP1R11,AGPAT4,NEIL3,ISG15,BMYC,AI480526,UTP6,NEURL1B,NFKB1,B4GAT1,AIM2,NOD1,WDR77,NR4A1,IFI27,PMEPA1,IFITM1,PLAC8,IFITM6,S100A11,IL1R2,IL2RG,ZCCHC6,TGM2
cDC2 Tbet-,KIF1BP,ZC3H12C,BHLHB9,HBB-BS,PPTC7,KYNU,RNF19B,WARS,UBE2Q1,LOCKD,KLHDC8B,RNF169,RSL1D1,OSGEP,GM4950,PPT1,TRIQK,PXMP2,RPL13,RNF146,GOT1,HDAC5,GPSM2,SELENOS,PFDN1,SEPT1,DDIT3,GLS,ATG4B,MARCKS,RPL8,ADAM15,EXOSC9,FCGR3,H2-Q10,H2-OA,CHURC1,MRPS9,CSF1R,ATP6V1F,CYB5R4,UNK,NINJ1,ARL5C,NR4A3,TOR1A,STXBP6,IBA57,H2-DMB1,VPS13C,CD300C2,KLRB1B,TMEM5,SCRIB,EXOSC3,GABPB2,HYAL3,LITAF,KLRA17,SLC25A32,1110032F04RIK,B430306N03RIK,KLHL7,ZRANB1,ADGRE4,PLBD1,PIK3C3,NCAPH2,GM6133,GBP3,PQLC1,PTGIR,ZC3HC1,CTSH,TACSTD2,PSMC5,NAGLU,STRBP,SRSF5,UBXN2B,BCL2L11,ANPEP,MTHFS,RNASE6,TMC4,4930451G09RIK,CKS2,COTL1,PLA2G7,MAP4K4,KYAT3,KLF3,S100A4,ID3,FAH,FCER2A,AB124611,LMTK3,FAM195A,RPS16,TRF,KLC4,NFAT5,RPS19,ARL14EP,FTSJ3,RPS2,PSMB9,SMARCC2,TMEM11,MED20,TAGAP1,RIOK3,STK38,NF2,ZFP703,PRMT1,MRPS2,CAV2,TNNI2,LDHB,CARD10,PURG,RHNO1,POP4,ALG10B,CD36,RPS24,AHCY,SIRPA,FAM173B,MS4A6C,USP46,DUSP3,PKIB,ZBTB5,SH3GL1,ING2,ING4,JPX,CHCHD1,SNAPC5,CDC25A,TYROBP,ORMDL2,VAMP5,GNPTAB,CD14,FBF1,LAMP1,2810004N23RIK,SOCS3,2700062C07RIK,SEC62,FAM208B,GPX4,RIN2,GPX1,ATPIF1,AGPAT3,CHD8,PLTP,RILPL2,PDIA5,BTG2,HSH2D,CUTA,CCDC90B,MAMSTR,SYNGR2,FXN,WHRN,SPSB3,DCPS,ZYG11B,OMA1,PFKFB4,HIST2H2AC,MPLKIP,MPP1,HNRNPD,CDC42EP2,TUBA1B,GPR4,TBC1D4,MRPS12,MAFB,MPZL3,CHMP2A,GM9844,PDHX,WDR59,PRKAA1,HIVEP1,PRKCSH,LY6E,CHST2,FBXO42,ECH1,FCGR2B,FAM114A2,CYP4F37,GPR146,CDK2AP2,WDR61,IRF8,RPUSD4,KCNE3,WDR7,YIPF4,ATG16L1,LRRC42,ARHGAP31,TSPO,DPH3,TNFSF9,FGL2,IFI204,1700061G19RIK,SMIM5,IFI205,SPATA13,HOGA1,EMILIN2,ARHGEF10,ETNK1,SHISA5,MTRF1L,GPATCH2L,PMF1,IFI211,CCL9,CCL6,ODC1,ACSL1,PXDC1,PUS1,LYZ2,CLEC4A1,HPGD,SNX21,GPR171,WFDC17,CTSS,TNFRSF12A,RPS9,TMEM176B,CLEC4A3,TMEM176A,WDFY4,CLEC4B1,APOE,CLEC10A,RAB7B,CNOT8,TET3,GSR,SPECC1,FMNL3,EEF1G,TNIP3,BCL10,IL1RN,LST1,MGL2,PBXIP1,PLAC8,LTB4R1,PLAUR,CCDC109B,OSM,H2-AA,PARP3,H2-AB1,S100A6,H2-DMA,H2-EB1,CSF2RB,CYBB,CD209A,SIGLECG,HACD4,TRAPPC5,LGMN,CAR2,ABCA9,SEMA4F,FTH1,ID2,ADAM23,RPL27A,NAAA,PGLYRP1,CD74,MS4A6D,SELENOP,MCEMP1,CD24A,SVIL,PIGM
