,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
CCR7hi DC,GM14410,HSF2,RP24-167A12.1,CCNYL1,SPAG4,MAN1A2,FOXA1,MRC2,GM19684,PDSS2,FBXO10,PIGW,GM9776,TMEM261,ERO1LB,SH3GLB1,D130017N08RIK,HDGF,GM26698,OGT,TMEM144,MRPS2,TLE2,RILPL1,INO80DOS,GM2A,CCDC114,AA543186,SERPINA12,RHOC,TNNT1,ZFP438,LMTK3,IMPA2,EFCAB9,RFLNB,ARC,TMEM132C,LPAR2,TMEM158,COCH,IL15RA,TMEM123,IL12B,CAGE1,DIDO1,INSM1,EFHD1,ZBTB39,RND2,TNFSFM13,LRFN1,GM37933,IGFBP4,RCSD1,CSNK1G1,GM20109,CC2D2A,CACNB3,LSP1,LTA,RASGRP1,RAP2B,YARS2,A330009N23RIK,FAM35A,LY75,ZFP36L2,RAP1A,GM18025,IFNGR1,FCHO1,1700030J22RIK,DUSP14,MAGI3,ZFP60,IFIT1BL1,MALSU1,MAMLD1,D030025P21RIK,ZFP608,IFI44,GM28874,GM42641,RNF115,ARID3A,PUF60,TMCC3,PTPN21,SLC16A2,XKRX,FGD3,SEL1L3,IRF1,PTPDC1,SLC22A17,TNFRSF9,EFNA2,PSME1,FGL2,PSMA8,ABHD15,IRF4,DBIL5,EPS8L2,HYLS1,SLC25A29,HVCN1,SEC61A1,WFDC21,TNFRSF4,EPSTI1,LAMP1,2010110K18RIK,SLC25A37,MED12L,4930426I24RIK,CCDC91,IRGC1,PRNP,TRP53INP1,PRKAR2A,CXCR5,SLC33A1,2010109A12RIK,ZFP738,MED24,PRKAB2,CLU,PRG2,HLX,APBB1,MEIG1,SLC52A3,FLYWCH1,ZFP318,HIST1H4K,GM13564,METTL3,GM28556,PPP1R3F,CXCL16,HIST1H2BR,HIST1H2BN,TIMM8A1,TSPAN3,RP23-242K3.5,SLC6A20B,SLC6A6,ERCC6,HIST1H1A,2610528A11RIK,RP23-353K11.3,SLC9A2,FAM129C,CXCL10,SDC4,MGP,MID2,GM10655,HGF,CAR5B,SCPEP1,WBSCR27,BOD1L,AGTRAP,EGR3,MLKL,TTC30A1,PNP2,HERC2,RPL21-PS4,HEPACAM2,MORF4L1,ZCCHC6,SMO,6330408A02RIK,RPL5,RPL8,HEATR9,AGAP2,AGAP1,PLEKHG5,ANGPT1,6030468B19RIK,KLHL8,ANGPTL6,PLBD1,FSCN1,MRPS33,PILRA,MRRF,CCSER2,DMWD,RPS12-PS3,CGREF1,2810414N06RIK,TGFB3,MSS51,GLIPR2,SNX33,SOAT2,MTAP7D3,DNM1L,SOCS2,PIFO,MTFP1,MTFR1L,TMEM79,MYL2,DSCAML1,MYLIP,H2-DMA,TMEM220,CD1D1,ADORA2A,ANXA3,DENND1B,MYO7A,VAV2,PHACTR4,DKK2,CDK5R1,PGLYRP1,F9,PFKP,SPG7,GM7967,DYM,TEX15,FXYD2,ENPP5,PEX10,CUL4B,ZFP202,BC022687,SRC,DUSP9,ADCY6,ENO2,RPS8,CRISPLD2,1810024B03RIK,SSPO,4732491K20RIK,DLL4,ST8SIA4,EDEM1,ADAMTS6,PCK2,GPX1,PCGF5,PCBP4,STAP2,ATP6V1G1,NETO2,GEMIN8,PARD6G,NFATC3,PAQR3,UBQLN1,EIF2B2,DUSP22,GALNT3,EXO1,S100A9,KIF14,TMEM267,OVCA2,TCEAL5,OTOF,NKX1-2,0610037L13RIK,SUPT6,ORC5,OPRD1,CD63,GCHFR,SV2A,SVIL,SWAP70,CDKL5,ACP6,KIF13B,FANCB,4930507D05RIK,SYNPO2,GCA,GMFG,NPHP4,FAM89A,TALDO1,GNG11,ANKRD35,GNG10,AZIN2,4930445N18RIK,NUDT17,CDKN2B,UPF2
Monocyte,EIF4EBP2,THNSL1,GM20109,TIPARP,STAR,FAM71B,CYP39A1,GM26761,HIST1H4K,3300002I08RIK,FAM136B-PS,GM6297,GM527,GM21994,CD36,POU5F1,KRBA1,DPF1,GRIPAP1,SCNN1A,THOC7,BACE1,PYGM,MOB4,NFIA,ICK,BC068281,TYROBP,DSEL,GM9008,KIF14,CAB39,ERP27,ITGA2B,RFX2,GM10643,CLDN12,DDX27,BICD1,MYL4,FANCB,TGTP1,GFOD2,TTC36,SNX33,TNFSF10,SOAT2,PLPPR2,DNAJB4,GM29125,ELAC2,PPM1J,LRP12,ALG3,ZFP229,EXOC8,HMGCS1,RND2,KCNH4,ERMP1,MCCC2,ZFP566,ZFP563,CADM4,ZFP518B,ZFP459,CD300LD3,CD70,CDC42,CDC73,C1QTNF6,C130050O18RIK,CDK20,CDKL5,ZFP341,CLEC2L,CMTR1,BPNT1,COCH,ZFP202,CR2,CTDSPL,CTLA2A,ZFP11,ZFP105,ZFAT,BCL7C,D030025P21RIK,D130017N08RIK,DCLK2,ZDHHC15,DCUN1D5,DDI2,DNAJC12,ZC3H13,DOK3,DSE,DUSP7,DUSP9,DZIP1,BARX2,ZBTB16,EFHD1,EHBP1,ENAH,B3GLCT,ERBIN,EYA1,F10,FADS2,FAM187B,FAM35A,FAM83D,FANCI,FEM1B,FGFRL1,WTIP,FOXA1,GATA3,ART3,GCHFR,GLT1D1,GM10655,GM10767,GM13564,GM14410,GM14418,GM1647,GM16548,GM17655,GM19325,GM20517,GM20878,GM21814,GM26511,GM26535,GM26563,GM26620,GM26785,GM26887,GM26899,GM28556,GM3839,GM42641,GM4419,VPS8,GM45509,GM5148,GM5150,GM525,ANXA9,GM5464,GM5617,GMEB1,ANKRD35,GNAL,GNG7,GOLGA7B,H2-DMA,H2AFJ,HECW2,HIST1H2BL,HIST1H2BN,HIST1H2BR,HIST2H2AA2,HP,ALDH5A1,HSD11B2,HSPB1,HYAL3,IFI30,IFIT1BL1,IFIT3B,IGF1,IGFBP4,USP1,IL27RA,AHDC1,IL7R,ISPD,ITGAM.1,ITM2A,UOX,KCP,KRT18,ADSSL1,UBTD1,MAGEE2,MAP3K7,MAPRE3,MARCO,MCC,MCMDC2,MFSD4B4,MITF,MRC2,ADAMTS6,MRPS33,MTERF2,MYZAP,NANP,NCS1,NECTIN2,NEDD9,NFE2,ZFP972,NLRC3,NME7,TTC28,ACER3,ACAP3,NUFIP2,ACAD12,NUPR1,ACAA2,NXN,ABLIM1,OARD1,OLFR212,P2RY13,PEG12,PIK3R3,PIR,PLPP3,PLXNB2,PNCK,PPDPF,AA543186,AA415398,PPM1N,TRIM45,A430033K04RIK,PSIP1,TRIM2,PTGFRN,RASL12,RBBP9,REPIN1,RNF217,RNF5,RP23-212M11.1,RP23-242K3.5,RP24-167A12.1,RPL21-PS4,RPS2-PS6,TOMM20,S1PR5,4933406P04RIK,TNS4,SAFB2,4930568A12RIK,4930562F07RIK,SCD3,TNPO1,TNNT3,SCLY,TNFSFM13,4930445N18RIK,SDF2L1,4930426I24RIK,SDK1,4632428C04RIK,SDR42E1,3222401L13RIK,TNFRSF22,SEL1L3,SERPINH1,SH3GL3,SHPK,2700046G09RIK,2700016F22RIK,2700012I20RIK,SIKE1,SLC12A5,SLC16A2,TMEM86B,2210417A02RIK,SLC6A20A,SLFN9,2010110K18RIK,SLPI,SNED1,1810011H11RIK,1700109H08RIK,SPATA7,SPATS1,STFA2L1,1700047I17RIK2,STXBP4,SV2A,1700030J22RIK,1700029J07RIK,TCEAL5,1700028J19RIK,TMEM144,TIAM2,TICAM2,1110020A21RIK,TLR5,HHAT
Siglec-H DC,PDZD4,TOE1,4930562F07RIK,GNG7,D130040H23RIK,CD300LB,XPNPEP3,HIST2H3C1,UBE2Q2,THEM6,TTC30A1,AOC2,DPF1,EHD1,PCYOX1,CACNA1F,RAB11FIP2,ABCD2,CDK20,SNX22,ZFP710,ITGA8,ZFP953,PECR,MRM2,SBF2,DKK2,CSTF3,CCAR1,RND2,SCD4,HEBP2,MFSD4B4,VANGL2,GPATCH2,ALDH5A1,CDK8,MFGE8,1700008O03RIK,GLT1D1,TNFRSF22,GTPBP4,ZFP40,DLL4,SLC8A1,DMKN,DIAPH1,ZFP459,DMWD,BST2,SMAD5,GM21814,BMS1,ZFP438,ZFP526,GM2004,PARD6G,BMP1,SLC5A3,DENR,ZFP566,SLC52A3,SMIM3,SLC52A2,GM26511,TRIP4,DDX3X,AK8,ZFP59,DDX39B,HSD11B1,DNAJC4,MDRL,GM17509,GM16998,BEST1,NCEH1,ZFP606,TRP53BP2,GNAL,CALCA,TSC1,GM26563,SLC2A9,GM16712,CALCB,DPYS,DCTN3,A430005L14RIK,A430033K04RIK,GM1647,TNNI3,4930445N18RIK,BC043934,A530064D06RIK,HNRNPH3,BC022687,SNX18,BC004004,TTC30B,DUSP9,TTC36,TNFSF10,ZFP664,PI16,LIPT1,GM26764,BARX2,MEIG1,AA415398,KCP,LRRC49,ZFP26,LRRC51,PNCK,SOX4,SLC16A2,MARCO,AA543186,SLC12A5,LIMD1,TMUB2,PLD4,SPACA9,CYP7B1,IPCEF1,MRPL15,RDH5,3222401L13RIK,ITCH,AY074887,GM26981,AY036118,HSPB1,PRG2,PLCD3,SPI1,ZFP11,ZFP105,PTGFRN,MRPL16,HSPH1,GM28041,ATRX,HAVCR1,CCDC125,SIGLECH,GM10655,KDR,TMEM267,ZFP809,U2AF2,PPP1R13L,HMGA1-RS1,CTXN1,CTU1,UBALD1,EHBP1,SRP72,EIF2B2,GM10101,NECTIN2,2810004N23RIK,CCDC82,2700046G09RIK,UBE2N,TMEM189,SS18,KIF13B,ZDHHC15,LEKR1,TMEM175,LEFTY1,ATAT1,SERPINB6B,SERPINA12,CCR1,SERPINA11,TMEM151B,RHEB,PRKCDBP,ARXES2,TMEM144,GM31108,CD200R1,STAR,2310061I04RIK,SEPT4,RAB3IL1,CD209D,NUP35,MS4A6D,POLQ,EPM2A,LTF,LBHD1,UMAD1,SELPLG,UOX,MFHAS1,SEL1L3,ZFP963,GSTP3,LARGE2,RILP,IDH3A,ADAM11,KIF23,USP3,LAG3,MYZAP,ARHGAP30,CD6,2200002J24RIK,FAH,STT3B,GCHFR,LY6I,UST,GSR,PSMC2,CD8B1,GRK6,FAM136B-PS,GM9776,CD9,APOLD1,TIMP2,GATA3,GRIPAP1,APOC1,HIST1H2BR,HIST1H2BN,SASH1,MAN1C1,FAM187B,GM44751,RNF180,QSOX1,JADE3,FAM193B,APEH,PIR,GM45230,PHF14,PRPH,RNF24,SV2A,MYL4,VMAC,ANXA9,GRIA3,GPM6B,GM4724,CNN3,FZD5,FARSB,PYGM,GPR146,FBXO10,KRBA1,1700030J22RIK,XXYLT1,NFE2,PXMP2,RRP1B,KLHL21,ANGEL2,RP23-353K11.3,RP23-381H23.1,GM5464,TAF3,FBXO6,CELF4,TANGO2,FTH1,GPRC5B,WDR48,FSTL3,PCMT1,RPS2-PS6,OSBPL11,HIST1H2BF,FSCN1,PTS,IQCH,KLRA7,1110020A21RIK,WEE1,1110008L16RIK,TEFM,IFT57,RPL7,TCTE2,CFL1,GM8013,TCF7L1,TCF4,CHIL5,MAGEE2
cDC1,UBC,PPP3CC,RBFA,SNX3,SERHL,FAM149A,CTNNBIP1,RAP1B,TBC1D23,CD209D,IFITM6,SSBP4,RP2,ANKRD11,GPR85,IFITM3,ERGIC2,RNF5,FNDC3A,1810014B01RIK,MTERF4,H2-M2,PDIA4,ANKRD46,H3F3A,LY6I,PTPN7,BC028528,TPST2,ARL6,DBN1,2310040G24RIK,PPARD,ERCC6L,PHC2,IFRD2,POLR3H,PRDM10,FAM89A,DAP,PIANP,TMED1,B4GALT3,IL1RN,PTGES3,SPCS1,GM42715,ARID1B,NDST1,PTPN1,4930532G15RIK,EAF1,PTPN11,NAPG,DCTN2,NPLOC4,NFATC1,HINT3,APH1A,CIAPIN1,PLEC,ABHD2,GALNT7,PSD,ACE,ST3GAL5,TRMT112,RAB11FIP1,NCAPG2,HERC2,CEP68,TPRKB,FBXO34,TNFRSF4,CST3,S100A4,MRPL55,YEATS2,PIGF,BCL2L11,FYCO1,HOXC4,HAUS7,TNFAIP2,KRR1,GID8,TYROBP,APOBEC1,BBS5,GCSAM,GLIPR2,UBXN11,AP3M2,ARHGDIB,DNAJB5,SLAMF9,BTG3,CENPV,SLC8B1,NHP2L1,GPR171,CCP110,KMT2E,ARID2,RASSF4,RB1,E130102H24RIK,TTC38,C2CD2,INPP5K,MRPS22,NFKBIE,NRGN,SDHA,INSL6,H2-Q10,GATM,PSMD8,ECHDC1,GAPT,MARCKS,LYL1,AAGAB,SAT1,GADD45B,SNX16,GADD45A,RFXANK,BC025920,EIF2D,NUPR1,GPRC5A,ELMO2,EMB,PPP6C,GM13620,MED20,MAN2B1,DDX19B,IL7R,VANGL2,SERPINF1,ALYREF,RMI2,STK39,ENO1,ASXL1,ABCB10,GPSM3,ODC1,ABCB7,IFI30,CCDC90B,DCTN4,NDUFAF8,HSPA5,CEP97,ATAD3A,MLH3,GM6576,VPS16,SVIL,FTH1,VPS35,HNRNPUL1,IL2RG,VPS8,RNF213,POLR3K,IGBP1,RNF25,TMEM86A,CREG1,S1PR5,BDP1,ROGDI,PNPLA2,PLPP1,AIFM2,SLC30A9,PLIN2,EXOSC8,CYP4F18,GNE,SFI1,RPAIN,PLA2G12A,NCBP1,TMEM143,FN3KRP,PKN2,P2RX7,TMEM138,CAMSAP2,CD36,PIP4K2A,PABPN1,CXX1A,GM27010,CXCR5,FAM189B,IRF8,ITGA8,CD24A,ATP6V0B,RPL7,LRP8,CUEDC2,CTSZ,ZCWPW1,ZFP991,CTSH,IL15RA,FAM65B,S100A6,ZCCHC4,ZCCHC24,YJEFN3,HIST1H2AI,ZCCHC10,PEX2,FANCF,RPS24,MPP7,PDK3,RPS6KA3,PDIA5,TNIP2,GPAA1,ZBTB38,ZC2HC1A,PDCD7,CAR2,DYNLT1C,RAB7B,NAAA,GM43672,RUFY3,RPS9,SLC25A40,ICE1,RPS19,RP24-94F12.3,TRIM14,CFAP20,TRIM24,CERCAM,DCUN1D2,ZFP799,GM14326,DDX51,GPR146,RET,GM7535,SLC4A11,LAD1,GPR161,DHX58,NFKB2,DIRC2,MS4A6C,MS4A4A,HAX1,TAB1,MGST1,ANKRD33B,SEPT6,LPAR3,PRPF31,GABPB1,PRMT2,TMEM176B,PPT1,1110019D14RIK,VAT1,TAF11,CD93,CD8A,POLM,ZFP142,KLF16,PLEKHA1,AHR,AGPAT3,MAP3K12,P2RY14,WIPF1,FMN1,XCR1,SH3BGRL3,SH3D21,KIF3C,CLEC9A,CIZ1,IFI205,CLEC4A3,PAPSS2,PCCA,FBXO3,FCER1G
cDC2 Mixed,TRIM3,HIST2H3C1,2510009E07RIK,SMEK1,ZFP110,GM14327,PNCK,MXRA8,REST,GM26887,CPN1,ATXN1,XK,GM13889,TMOD2,TCEAL5,9930022D16RIK,CTLA2A,SRD5A1,E2F6,MARCH9,GM26535,BCORL1,ZBTB3,LIN52,CALHM2,DPF1,MAGEE2,CALCB,GM29367,GPR160,TNNT3,D930048G16RIK,ZFP7,TALDO1,D630036H23RIK,CDYL,DOK2,KCNH4,INTS6,CLMP,ADAP2,FIG4,IGLC2,SERPINH1,G6PC3,ALDH1B1,PTPRH,SLA,CRELD2,AMIGO1,RP24-395P13.1,ZFP11,CXX1C,WFDC21,TLE2,PDK2,RNF225,MGP,1700064M15RIK,NPTXR,TNFRSF10B,GM37168,4732491K20RIK,CREB3L1,JRK,MXRA7,PYGO2,JAGN1,ZFP472,ZFP459,TIMM8A1,CROCC,GM17509,FAM96A,SLC35A2,PGAP3,2810414N06RIK,NKX1-2,GM527,4930426I24RIK,OLFR777,RILPL1,DQX1,SPACA1,OTUD3,ZFP661,PSD,ABCB4,GM28041,ZFP869,RBM6,NXPE4,LBR,PRPH,FAM187B,ZFP770,GM45250,1700041G16RIK,GM9920,MED18,FAM129C,IFITM5,ATP10A,TNFSF10,FAN1,GALNT3,DAO,PTGS1,ZFP839,SESN1,DHRS9,A430033K04RIK,TREML2,PFKFB2,PACSIN3,ZFP438,GM26764,FAM69A,RPL28,GPR83,ZFP41,D730045B01RIK,MARCH8,GLYR1,MAMLD1,ARL4D,EPM2A,PLA2G15,PHF20,FADS6,NHLRC2,4930507D05RIK,C030037D09RIK,FCGR1,COL17A1,COL4A1,TMEM202,MAP1B,RBBP9,ANKRD35,RASSF4,RBX1,MAN2A2,HSP90AB1,P2RY13,2010110K18RIK,DPYS,DPY19L1,DUSP7,WDR54,CD83,HOXA5,RASL12,OLFR212,MBTPS1,WFDC18,REM1,RFLNB,PAF1,MDM1,DUSP9,DOK4,2700012I20RIK,TNNT1,TNNI3,GM12066,STFA2L1,GM13564,CFB,RASD1,RAPGEF4,TNFSFM13,DNHD1.1,PARD6G,GCHFR,PARP2,RAMP2,IFNGR2,CHCHD3,SMIM24,EDNRB,EFHD1,XKR5,HIST1H2BR,GM16548,GM17259,HIST1H2BH,ADGRG6,GM17541,TNFRSF22,CHST14,EHBP1,CHTOP,PYGM,GM18025,DMWD,SUSD6,TNFRSF13B,SV2A,DMKN,GM20109,HIST1H1A,RNF180,ZFP54,SLC4A9,GM26511,PTGFRN,CBX8,FUK,PDZD11,CLDN12,GM26664,FSD2,ENOPH1,IMMT,HEBP2,GM26698,HEATR5A,NLRC3,IMPA1,EPB41L3,ABHD14B,GM26885,GM26899,MRC2,PHF24,4930445N18RIK,PHLDB1,1700029I15RIK,CAR3,GM26910,DCN,TCN2,1700028J19RIK,H1F0,SLC16A2,MRPL30,DCLK2,SLC12A5,DBIL5,LARGE2,GM28151,PIFO,FGGY,IQCH,GM28556,PRG2,PIK3R6,IRGC1,EXOSC5,COPB2,RSPH1,TGM2,ZBTB25,F9,GM28707,GM29125,CPE,NEURL4,PLCD3,GM29440,TTC36,GM340,ITSN1,RUNDC3A,NECTIN2,MTFP1,GPAM,MTSS1,ZFP202,FANCB,TMEM267,AA543186,PPP1R10,JUNB,JUND,SERPINA12,SAG,PPM1N,GM44751,BC043934,KIF14,KIF13B,GM45043,SAMSN1,MYO7A,CXXC1,SEL1L3,9130213A22RIK,KCMF1,GM9803,KCNAB3,CXCR5,ZFP105,KCP,GM6712,UTP14A,CTU2,MCMDC2
cDC2 Tbet+,LRMP,SNRPA,LYPLA2,ZFP706,DRG2,MKNK2,NIP7,SSRP1,MAP1LC3A,STAP2,NDUFAB1,FAM32A,SLC35A1,B4GALT6,TRMT6,AKAP17B,RPL36AL,POLL,GSTM4,CHPT1,NPY1R,COX5A,SWT1,KYNU,WDR37,ATP1A3,8030462N17RIK,IDUA,UTP23,USF2,ERCC3,TXNDC17,PSMD7,OLFM1,PKMYT1,LIAS,MT-CYTB,RIC1,LDHB,IER3IP1,RNF166,UBE2B,ICOSL,RNF213,SNRPB2,ZFP512,ANXA11,EPSTI1,UPF3B,GM10260,PTBP3,TNKS2,ISG20,RETN,RP24-286J21.7,NBN,FKBP3,CCDC59,GTF2A1,PRIM1,EIF4A3,UXT,ZCCHC6,ATP5O,RPL29,PPP1R14A,TUBB3,NMNAT3,GM2A,TTF1,CLCN3,NFKBIA,MRPL28,PIK3R6,ZC3H18,OAZ2,DDX10,WDFY4,TMEM186,MFSD4A,TRMT10C,PLRG1,CCNC,HHEX,CD72,SPN,DCTN5,METTL7A1,VASP,SGK3,PGRMC2,FAM49A,SLC35B4,CREM,PHKA1,CTSH,B3GNT5,CEP350,HNRNPA0,MSMO1,WDR11,WDR59,SSR1,HIPK3,CTSS,NOL11,DCUN1D3,IMPDH1,RAB11FIP2,TRPS1,DDX50,GUF1,CEP164,CARMIL1,NOL6,INAFM1,LZTS2,LYZ2,FFAR2,PUF60,ZFP638,CSF1R,RABL3,CSF3R,ZFP626,RAC2,APC,ADAT3,PCSK5,MRPL23,ZFP60,E2F1,RBPMS,PCBP3,DIP2B,LIX1L,LIPO3,RFK,FAM60A,ACTR1B,APOBEC1,RILPL2,RIPK2,RNASEH2A,MPPE1,FLYWCH1,MAP3K8,APP,RNMTL1,LAG3,APTX,ACOT7,MAP4K5,PAPSS2,RPL27-PS3,RPS17,PSAP,RPS26,DUSP19,RPS27A,MRPS22,COMT,RPUSD2,KLHL26,ZFP236,S100A11,KDM5C,PDRG1,FOXJ2,ARHGAP1,CMTM7,SELENOM,CLUH,FBXW2,CLSPN,EIF2AK3,ARHGAP30,OTUD7B,FSCN1,ITFG2,PDXK,PRCP,SFPQ,ISG15,MPHOSPH10,SFXN2,ISCA1,SGK1,IPP,EIF4G2,ABCB1B,ABCB1A,IL2RG,SLC30A1,GABBR1,ZFP953,AW209491,CHMP2B,OPA3,IFITM6,A930011G23RIK,IFITM1,ANKRD13A,IFI27,IFI209,IER5,PPM1D,DHRS4,EME1,SNAI1,ARID3B,PPARG,ALDH1B1,GAN,POP5,SNRPE,SNX12,DDX28,SOWAHC,PGLYRP1,HSP90AA1,HSH2D,METTL17,DHRS13,SPECC1,NFIA,CEP44,ST13,MEX3C,NFKB1,HK1,HIST1H2BK,HIC1,ARMC8,ZKSCAN14,TBCA,HEATR6,MTRF1L,HACD4,TGM2,AGPAT4,H3F3B,H2AFJ,NCOA4,THEM4,ERMP1,CDC27,PLK3,PLK2,TIMM8B,CYGB,CYLD,VPS37C,ERP44,DENND4A,CD86,CD83,GSR,VMP1,PLAC8,NHLRC3,GSN,GRK2,TMEM167B,NRG2,TMEM176B,CD37,BACH1,4833418N02RIK,NR4A1,GPR35,GPR180,MYO1E,CD14,TOP1MT,TOR4A,CCRL2,GM9493,TRIAP1,DOLK,TRIB1,EYA3,TRIM3,2810408A11RIK,PI4KA,TRIM5,GM6710,GM6377,NOLC1,GM568,BMP2K,TSPAN32,TSPO,TSPYL4,GM14548,NOD1,NME4,TXNIP,UBA52,NKTR
cDC2 Tbet-,SSR1,CD24A,DDX17,AP5S1,CCDC166,TIPIN,ABI1,VPS45,SLAMF9,MRVI1,MS4A6C,MS4A6D,MS4A7,ZFP386,LILRB4A,LGMN,MSTO1,LDLRAD4,MTERF2,ZFP407,LAS1L,LARP7,ABCA9,ABCB7,MRPS14,MTPN,MYO1H,KLRK1,ZBTB49,NABP1,NABP2,KIF5B,KIF3C,ACSL1,NCOA4,ZFP446,ACTR6,XRCC6BP1,ADAT1,KCNC3,ADORA2B,NEFH,ITPK1,ITGB3BP,LRP1,ADTRP,WNT11,WFDC18,WFDC17,WDTC1,NINJ1,IQCH,WDR41,NOC4L,AIM2,NPC2,VWA8,LRRC47,IL1RN,VWA1,MRPL19,NR2C1,IL12RB2,NRADD,NRG2,IGFBP4,NT5M,IER5,LRRK1,ANGPT1,LRRK2,ID2,IBA57,ANKZF1,ANTXR2,HSPA8,AP2B1,ODC1,HSDL2,ZFP607B,OGT,HPS6,HPGD,HOXA7,APIP,HNRNPM,URB2,APOBEC1,APOE,HNRNPA3,ARCN1,UHRF1,LSP1,HMGCL,ARG2,HK1,PAFAH1B3,UBXN2B,LTB4R1,ZFP653,HIST1H4B,HIST1H2BR,UBL5,UBE2Q2,ARL5C,LY6E,TYROBP,TXNIP,HACD4,PDZD4,TUBB6,TUBB4B,H2-EB1,PEX16,H2-DMB1,H2-AB1,H2-AA,PGLYRP1,ATP5C1,GSTK1,GSR,ATP5O,LYRM4,TSPO,GPR83,GPR4,PIK3IP1,LYZ2,GPD2,B630019K06RIK,PLA2G7,PLAC8,PLAT,BBS5,PLEK,GNAS,PLEKHM1,GMPPB,TPRA1,PLTP,GM7102,GM6133,MAFB,ZFP784,BECN1,PNP,PNP2,POLR2F,BLZF1,TNIP3,TNFSF9,BMP2,BMP2K,POT1B,TNFRSF13B,TNFRSF12A,PPP1R1A,TMEM62,TMEM57,C1GALT1C1,C1QB,PPT2,TMEM222,TMEM208,PRICKLE3,CALM2,TMEM176B,TMEM176A,TMEM159,TMEM131,GLUL,GINS3,PSMC1,CARNS1,CBARP,TLE3,PTAFR,CBY1,CCDC109B,TIRAP,CCDC127,TIFA,PTTG1,FXYD2,TGS1,FTSJ1,FTL1,FTH1,TGFBI,CCL5,CCL6,CCL9,ZFP950,FOXR1,FMNL1,RAB3IL1,CD209A,TCAIM,CD36,RAMP1,RANBP2,FCGR3,RAP2A,CD74,TBC1D2B,FBXO4,FBXO3,MGL2,CD93,FBL,FASTKD5,TARM1,FAM65B,ZFP994,RCSD1,TACC3,TAB1,CDK5R1,FAM221B,SUSD1,SURF2,RFK,FAM193B,SUGT1,RHBDD1,STXBP1,RHOT2,RIN2,F8A,STK11IP,MFSD13A,CFL2,RNF167,CHCHD3,CHCHD5,CHD2,STAP2,CHIL5,SSH2,CHST2,CIB2,ENPP4,CISH,ENO1,ENG,CLASP1,RPL28,CLEC10A,CLEC1B,CLEC4A1,MCEMP1,CLEC4A3,CLEC4B1,CLEC4D,SPRYD3,RPP40,RPS18,SPINT2,CNBD2,RSPRY1,S100A4,S100A6,E130102H24RIK,ZNRD1,SAMD15,ZNRF1,SNX10,SNTA1,SNRPG,DUSP23,COX7C,COX8A,SNAI1,SCN2B,CRIP1,SDHA,DONSON,SEC61B,MDM4,SEC62,DNAL4,DNAJC19,CTSA,CTSL,CTU1,SLC39A7,SLC39A6,SLC38A1,CXCL16,DGKH,SH2D5,DDX3Y,SHISA5,DAD1,DDIT3,SIGLECG,SLC16A2,DCUN1D3,DCTN1,MED22
