,0
0,NOC2L
1,AL645608.7
2,HES4
3,C1orf159
4,TTLL10
5,TNFRSF18
6,TNFRSF4
7,SDF4
8,INTS11
9,DVL1
10,CCNL2
11,VWA1
12,ATAD3B
13,ATAD3A
14,AL645728.1
15,FNDC10
16,AL691432.4
17,AL691432.2
18,FO704657.1
19,CDK11A
20,PRKCZ
21,MORN1
22,PLCH2
23,TTC34
24,ARHGEF16
25,TPRG1L
26,TP73
27,ICMT
28,HES2
29,ESPN
30,TNFRSF25
31,PLEKHG5
32,ZBTB48
33,THAP3
34,UTS2
35,TNFRSF9
36,ERRFI1
37,RERE
38,SLC2A5
39,GPR157
40,SPSB1
41,TMEM201
42,CLSTN1
43,CTNNBIP1
44,CASZ1
45,TARDBP
46,SRM
47,EXOSC10
48,FBXO6
49,MTHFR
50,AL021155.5
51,KIAA2013
52,TNFRSF8
53,TNFRSF1B
54,DHRS3
55,TMEM51-AS1
56,FHAD1
57,AL031283.1
58,EFHD2
59,AGMAT
60,SLC25A34
61,AL450998.2
62,ARHGEF19
63,FBXO42
64,SZRD1
65,SPATA21
66,NECAP2
67,CROCC
68,BX284668.5
69,ATP13A2
70,SDHB
71,RCC2
72,ARHGEF10L
73,IGSF21
74,UBR4
75,AKR7A3
76,CAPZB
77,MICOS10
78,NBL1
79,HTR6
80,OTUD3
81,PLA2G2A
82,CDA
83,PINK1
84,PINK1-AS
85,HP1BP3
86,EIF4G3
87,NBPF3
88,LINC01635
89,CDC42
90,CDC42-IT1
91,C1QA
92,C1QC
93,C1QB
94,LUZP1
95,ZNF436
96,ID3
97,ELOA
98,GALE
99,PNRC2
100,RCAN3
101,CLIC4
102,RUNX3
103,SYF2
104,RSRP1
105,AL031432.3
106,LDLRAP1
107,AL606491.1
108,MAN1C1
109,AL031280.1
110,STMN1
111,PAFAH2
112,PDIK1L
113,AL391650.1
114,ZNF593
115,CEP85
116,UBXN11
117,CD52
118,CRYBG2
119,ZNF683
120,DHDDS
121,HMGN2
122,GPATCH3
123,TRNP1
124,SLC9A1
125,FCN3
126,BX293535.1
127,FGR
128,SMPDL3B
129,AL353622.1
130,MED18
131,PHACTR4
132,RAB42
133,AL360012.1
134,GMEB1
135,YTHDF2
136,LAPTM5
137,ZCCHC17
138,AC114488.3
139,AL445248.1
140,TMEM39B
141,KPNA6
142,TXLNA
143,AL049795.1
144,SYNC
145,YARS
146,S100PBP
147,AK2
148,TRIM62
149,ZSCAN20
150,ZMYM6
151,ZMYM1
152,AC004865.2
153,CLSPN
154,AGO3
155,COL8A2
156,TRAPPC3
157,EVA1B
158,MRPS15
159,CSF3R
160,GNL2
161,CDCA8
162,MTF1
163,INPP5B
164,UTP11
165,POU3F1
166,LINC01685
167,AL139260.1
168,MACF1
169,BMP8A
170,PABPC4
171,HPCAL4
172,MFSD2A
173,PPT1
174,AL050341.2
175,SMAP2
176,ZFP69
177,SCMH1
178,FOXO6
179,ZMYND12
180,PPCS
181,AC098484.4
182,P3H1
183,AL512353.1
184,SLC2A1-AS1
185,TIE1
186,HYI
187,TMEM53
188,ARMH1
189,TCTEX1D4
190,BTBD19
191,PTCH2
192,EIF2B3
193,HECTD3
194,ZSWIM5
195,HPDL
196,TOE1
197,TESK2
198,PRDX1
199,AKR1A1
200,CCDC17
201,GPBP1L1
202,PIK3R3
203,POMGNT1
204,RAD54L
205,NSUN4
206,FAAH
207,MKNK1
208,ATPAF1
209,KTI12
210,BTF3L4
211,ZFYVE9
212,PRPF38A
213,COA7
214,ZYG11B
215,ZYG11A
216,SCP2
217,SLC1A7
218,LINC01771
219,YIPF1
220,LRRC42
221,TMEM59
222,CYB5RL
223,MRPL37
224,TTC22
225,LEXM
226,DHCR24
227,MIR4422HG
228,PLPP3
229,TACSTD2
230,LINC01358
231,AC099791.2
232,PATJ
233,L1TD1
234,DOCK7
235,ITGB3BP
236,PGM1
237,ROR1
238,JAK1
239,LEPROT
240,LEPR
241,AL513493.1
242,PDE4B
243,SLC35D1
244,IL23R
245,IL12RB2
246,SERBP1
247,WLS
248,ANKRD13C
249,NEGR1
250,TYW3
251,ST6GALNAC3
252,PIGK
253,AK5
254,MIGA1
255,NEXN
256,DNAJB4
257,AC103591.3
258,IFI44L
259,ADGRL4
260,LINC01781
261,ADGRL2
262,TTLL7
263,AL359504.2
264,PRKACB
265,DNASE2B
266,CTBS
267,AL359762.1
268,SSX2IP
269,WDR63
270,MCOLN3
271,SYDE2
272,C1orf52
273,SELENOF
274,HS2ST1
275,LINC01140
276,AC099063.4
277,GBP5
278,AL596214.1
279,LRRC8B
280,LRRC8D
281,ZNF326
282,CDC7
283,TGFBR3
284,GLMN
285,EVI5
286,RPL5
287,DIPK1A
288,MTF2
289,DR1
290,FNBP1L
291,AL049796.1
292,DNTTIP2
293,GCLM
294,CNN3
295,ALG14
296,TLCD4
297,DPYD
298,FRRS1
299,SLC35A3
300,SASS6
301,CDC14A
302,VCAM1
303,SLC30A7
304,AC093157.1
305,S1PR1
306,VAV3
307,VAV3-AS1
308,HENMT1
309,AL160171.1
310,PRPF38B
311,STXBP3
312,GPSM2
313,TMEM167B
314,AL356488.2
315,KIAA1324
316,PSMA5
317,ATXN7L2
318,CYB561D1
319,CSF1
320,STRIP1
321,AL160006.1
322,RBM15-AS1
323,RBM15
324,LAMTOR5
325,KCNA2
326,KCNA3
327,LRIF1
328,DRAM2
329,AL390195.2
330,WDR77
331,TMIGD3
332,RAP1A
333,INKA2
334,WNT2B
335,CAPZA1
336,RHOC
337,MAGI3
338,PTPN22
339,AP4B1-AS1
340,BCL2L15
