,0
0,LINC00115
1,KLHL17
2,PLEKHN1
3,HES4
4,TTLL10
5,TNFRSF4
6,C1QTNF12
7,AL162741.1
8,UBE2J2
9,INTS11
10,CPTP
11,CCNL2
12,MRPL20
13,ATAD3C
14,ATAD3A
15,SSU72
16,AL645728.1
17,FNDC10
18,AL691432.2
19,CDK11B
20,CDK11A
21,NADK
22,AL109917.1
23,AL590822.2
24,FAAP20
25,SKI
26,RER1
27,PLCH2
28,AL139246.5
29,TNFRSF14
30,AL139246.3
31,MMEL1
32,TTC34
33,PRDM16
34,MEGF6
35,DFFB
36,NPHP4
37,ICMT
38,GPR153
39,ACOT7
40,AL031848.2
41,HES2
42,TNFRSF25
43,CAMTA1
44,VAMP3
45,PER3
46,TNFRSF9
47,PARK7
48,AL034417.4
49,ERRFI1
50,SLC45A1
51,ENO1-AS1
52,SLC2A5
53,SPSB1
54,PIK3CD
55,LZIC
56,KIF1B
57,PGD
58,PEX14
59,AL139423.1
60,FBXO2
61,DRAXIN
62,PLOD1
63,MFN2
64,TNFRSF8
65,DHRS3
66,PRDM2
67,KAZN
68,FHAD1
69,AL031283.1
70,EFHD2
71,CTRC
72,AL121992.1
73,PLEKHM2
74,SLC25A34
75,EPHA2
76,AL109627.1
77,CPLANE2
78,FBXO42
79,LINC01772
80,NBPF1
81,BX284668.5
82,BX284668.6
83,ATP13A2
84,SDHB
85,ALDH4A1
86,EMC1-AS1
87,AKR7A2
88,CAPZB
89,MICOS10
90,NBL1
91,HTR6
92,PLA2G2A
93,UBXN10-AS1
94,CAMK2N1
95,CDA
96,PINK1-AS
97,DDOST
98,HP1BP3
99,EIF4G3
100,ECE1
101,USP48
102,CDC42-IT1
103,C1QB
104,EPHB2
105,ZNF436
106,ZNF436-AS1
107,TCEA3
108,E2F2
109,ID3
110,PITHD1
111,GALE
112,FUCA1
113,CNR2
114,PNRC2
115,STPG1
116,NIPAL3
117,NCMAP-DT
118,RUNX3
119,AL445471.1
120,RSRP1
121,TMEM50A
122,LDLRAP1
123,AL606491.1
124,SELENON
125,MTFR1L
126,STMN1
127,CEP85
128,CD52
129,CRYBG2
130,ZNF683
131,DHDDS
132,HMGN2
133,RPS6KA1
134,ZDHHC18
135,NUDC
136,KDF1
137,WDTC1
138,SYTL1
139,MAP3K6
140,WASF2
141,BX293535.1
142,AHDC1
143,FGR
144,AL020997.5
145,SMPDL3B
146,XKR8
147,EYA3
148,PTAFR
