,0
0,LINC01128
1,PLEKHN1
2,HES4
3,ISG15
4,TTLL10
5,TNFRSF18
6,TNFRSF4
7,SDF4
8,VWA1
9,ATAD3B
10,SSU72
11,FNDC10
12,PRDM16
13,SMIM1
14,RPL22
15,ESPN
16,TNFRSF25
17,CAMTA1
18,UTS2
19,TNFRSF9
20,PARK7
21,ENO1
22,SLC2A5
23,GPR157
24,PIK3CD
25,PIK3CD-AS2
26,CTNNBIP1
27,RBP7
28,KIF1B
29,PGD
30,CENPS
31,SRM
32,FBXO2
33,AGTRAP
34,MTHFR
35,AL021155.5
36,TNFRSF1B
37,DHRS3
38,PRDM2
39,KAZN
40,TMEM51
41,EFHD2
42,UQCRHL
43,EPHA2
44,CROCC
45,PADI2
46,PADI4
47,RCC2
48,AKR7A2
49,SLC66A1
50,CAPZB
51,MICOS10
52,NBL1
53,PLA2G2A
54,UBXN10
55,CDA
56,KIF17
57,CDC42
58,C1QA
59,C1QC
60,C1QB
61,EPHB2
62,E2F2
63,ID3
64,RPL11
65,GALE
66,FUCA1
67,CNR2
68,RCAN3
69,CLIC4
70,RUNX3
71,SYF2
72,RSRP1
73,STMN1
74,SH3BGRL3
75,CD52
76,ZNF683
77,HMGN2
78,RPS6KA1
79,MAP3K6
80,FCN3
81,WASF2
82,AHDC1
83,FGR
84,THEMIS2
85,EYA3
86,PTAFR
87,ATP5IF1
88,AL360012.1
89,LAPTM5
90,SNRNP40
91,SERINC2
92,LINC01226
93,CCDC28B
94,LCK
95,MARCKSL1
96,KIAA1522
97,TMEM35B
98,SFPQ
99,CLSPN
100,SH3D21
101,CSF3R
102,ZC3H12A
103,MEAF6
104,CDCA8
105,NDUFS5
106,MACF1
107,BMP8B
108,MYCL
109,MFSD2A
110,CAP1
111,PPT1
112,COL9A2
113,SMAP2
114,RIMS3
115,SCMH1
116,HIVEP3
117,YBX1
118,EBNA1BP2
119,CDC20
120,ATP6V0B
121,ARMH1
122,KIF2C
123,RPS8
124,PLK3
125,PTCH2
126,UROD
127,PRDX1
128,NASP
129,GPBP1L1
130,TAL1
131,ORC1
132,LINC02812
133,HSPB11
134,TMEM59
135,PLPP3
136,TACSTD2
137,JUN
138,NFIA-AS2
139,ROR1
140,JAK1
141,AK4
142,LEPROT
143,AL513493.1
144,PDE4B
145,TCTEX1D1
146,SLC35D1
147,IL23R
148,IL12RB2
149,DEPDC1
150,SRSF11
151,PTGER3
152,NEGR1
153,NEXN
154,DNAJB4
155,AC103591.3
156,ADGRL4
157,LINC01781
158,ADGRL2
159,TTLL7
160,PRKACB
161,DNASE2B
162,GNG5
163,MCOLN2
164,COL24A1
165,ODF2L
166,LINC01140
167,LMO4
168,GBP1
169,GBP2
170,GBP5
171,LRRC8C
172,CDC7
173,TGFBR3
174,EVI5
175,RPL5
176,MTF2
177,FNBP1L
178,BCAR3
179,CNN3
180,TLCD4
181,DPYD
182,CDC14A
183,VCAM1
184,S1PR1
185,VAV3
186,PRPF38B
187,KIAA1324
188,SORT1
189,GSTM2
190,GSTM1
191,GSTM3
192,CSF1
193,KCNA3
194,CD53
195,DRAM2
196,DENND2D
197,CHI3L2
198,WDR77
199,C1orf162
200,RAP1A
201,CTTNBP2NL
202,CAPZA1
203,RHOC
204,PPM1J
205,LINC01357
206,PTPN22
207,HIPK1-AS1
208,HIPK1
209,BCAS2
210,DENND2C
211,CSDE1
212,CD58
213,CD2
214,TENT5C
215,PHGDH
216,REG4
217,NOTCH2
218,AC253572.2
219,FCGR1B
220,AC245014.3
221,CD160
222,TXNIP
223,AC239799.2
224,LINC02805
225,LINC01138
226,PDE4DIP
227,AC245297.3
228,FCGR1A
229,HIST2H2AA4
230,PLEKHO1
231,ANP32E
232,C1orf54
233,ADAMTSL4
234,MCL1
235,CTSS
236,C1orf56
237,CDC42SE1
238,TNFAIP8L2
239,RFX5
240,TDRKH-AS1
241,RORC
242,THEM4
243,S100A10
244,S100A11
245,LOR
246,S100A9
247,S100A12
248,S100A8
249,S100A6
250,S100A4
251,S100A3
252,RAB13
253,RPS27
254,TPM3
255,ATP8B2
256,IL6R
257,PBXIP1
258,CKS1B
259,KRTCAP2
260,PKLR
261,RUSC1
262,ARHGEF2
263,SSR2
264,LMNA
265,SEMA4A
266,HDGF
267,SH2D2A
268,NTRK1
269,ETV3
270,FCRL5
271,FCRL3
272,FCRL2
273,FCRL1
274,CD5L
275,CD1D
276,CD1A
277,CD1C
278,CD1B
279,CD1E
280,SPTA1
281,MNDA
282,PYHIN1
283,IFI16
284,AIM2
285,ACKR1
286,FCER1A
287,DUSP23
288,FCRL6
289,SLAMF8
290,TAGLN2
291,LINC01133
292,PEA15
293,SLAMF6
294,CD84
295,SLAMF1
296,CD48
297,SLAMF7
298,LY9
299,CD244
300,ITLN1
301,TSTD1
302,FCER1G
303,APOA2
304,AL592295.5
305,FCGR2A
306,HSPA6
307,FCGR3A
308,FCGR3B
309,FCGR2B
310,FCRLA
311,SH2D1B
312,PBX1
313,MGST3
